app;server avg; server sd;client avg; client sd; client js avg; client js sd;
phpmyadmin;8.5;1.89;20.14;9.72;159.36;480.52
dokuwiki;10.41;2.16;17.37;8.34;38.61;12.98
opencart;15.01;0.48;12.16;6.39;47.92;12.07
phpbb;9.29;3.41;25.66;8.96;29.39;23.25
phppgadmin;18.93;5.91;52.37;31.78;19.11;6.43
mediawiki;14.71;2.57;13.7;6.07;28.59;4.18
prestashop;10.49;1.62;25.89;10.92;40.1;9.85
vanilla;19.98;2.14;8.89;1.62;53.46;13.78
dolibarr;14.41;1.43;27.29;9.01;13.86;8.25
roundcubemail;8.8;2.07;10.7;1.42;39.18;2.8
openemr;14.89;2.49;19.61;6.68;29.74;6.88
kanboard;1.4;0.69;9.83;3.34;862.48;1406.87
