1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig
3;CyclomaticComplexity ; 0.0194061738869413 ; ; 0.062256892569156 ; ; 0.000246401029838223 ; ; 0.251036709031854 ; *; 0.00109871221428129 ; ; 0.0266947603663264 ; ; 0.0988027471606827 ; *; 0.0103371700915874 ; ; 0.27806804462717 ; *; 0.0207908227118372 ; 
4;NPathComplexity ; 0.00850113645745568 ; ; 0.0713457831756574 ; ; 0.0183888090370414 ; ; 0.211563450252106 ; *; 0.00587188466639481 ; ; 0.000408463881655709 ; ; 0.146631271905478 ; *; 0.00555714306637018 ; ; 0.084393663042867 ; ; 0.000663873219617443 ; 
5;ExcessiveMethodLength ; 0.0584668879524583 ; *; 0.0375569661645696 ; ; 0.0215400623970914 ; ; 0.206397552527846 ; *; 0.000946196186566378 ; ; 0.16813171785204 ; *; 0.14125090486677 ; *; 0.0109360400715111 ; ; 0.00773039163949934 ; ; 0.0925744179343816 ; *
6;ExcessiveClassLength ; 0.1254253465331 ; *; 0.00772395860134618 ; ; 0.00495878583667173 ; ; 0.307493972474247 ; *; 0.00884275592617969 ; ; 0.16861067363856 ; *; 0.0207582843820773 ; ; 0.0263296064430639 ; ; 0.0625146801041782 ; ; 0 ; unique <=2
7;ExcessiveParameterList ; 0.0105274646268893 ; ; 0 ; unique <=2; 0.00872196998495312 ; ; 0.0455524092320458 ; ; 0.0828048926906645 ; *; 0 ; ; 0.139026622119911 ; *; 0 ; unique <=2; 0.013319787030884 ; ; 4.99381384183715e-05 ; 
8;ExcessivePublicCount ; 0.0326343331024026 ; *; 0.00389653604374346 ; ; 0.000679549573425827 ; ; 0.0886073880566674 ; ; 0.00233159822568087 ; ; 0.00765860144714185 ; ; 0.119492115903507 ; *; 0 ; unique <=2; 0.0136351142515658 ; ; 0 ; 
9;TooManyFields ; 0.000663900764186121 ; ; 0.0202551071662602 ; ; 1 ; ; 0.230084650364181 ; *; 0.00339971272592251 ; ; 0.11883180349796 ; *; 0.0215656972088578 ; ; 0.0257637364994163 ; ; 0.0579589393164596 ; ; 0 ; unique <=2
10;TooManyMethods ; 0.0142435056386207 ; ; 0.00493007440833197 ; ; 0.000280267375392075 ; ; 0.0958390513868181 ; ; 0.00418904275839997 ; ; 0.23194612074573 ; *; 0.0934721317871084 ; *; 0.0295436911393773 ; ; 0.214365200409802 ; *; 0 ; unique <=2
11;TooManyPublicMethods ; 0.117276854193997 ; *; 0.0533506885576684 ; ; 0.00790357975745965 ; ; 0.144712979544994 ; *; 5.50986100743875e-05 ; ; 0.02017745375784 ; ; 0.0458138750158406 ; ; 0.012625993419383 ; ; 0.248101552664752 ; *; 0.0198479878451546 ; 
