CS; r^2; p; issig
CyclomaticComplexity ; 0.0207908227118372 ; 0.251818785545656 ; 
NPathComplexity ; 0.000663873219617443 ; 0.838562025871056 ; 
ExcessiveMethodLength ; 0.0925744179343816 ; 0.0137335932396643 ; *
ExcessiveClassLength ; 0 ; 0 ; unique <=2
ExcessiveParameterList ; 4.99381384183715e-05 ; 0.955446406263451 ; 
ExcessivePublicCount ; 0 ; 0 ; 
TooManyFields ; 0 ; 0 ; unique <=2
TooManyMethods ; 0 ; 0 ; unique <=2
TooManyPublicMethods ; 0.0198479878451546 ; 0.262974144266075 ; 
ExcessiveClassComplexity ; 0.0299064989262247 ; 0.168327542100292 ; 
NumberOfChildren ; 0.0595295950253141 ; 0.0501563787122315 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0109127310563076 ; 0.407589311540764 ; 
DevelopmentCodeFragment ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ; 
UnusedLocalVariable ; 0.0787246090692379 ; 0.0235807009343427 ; *
UnusedPrivateMethod ; 0 ; 0 ; unique <=2
UnusedFormalParameter ; 0.0717389057988524 ; 0.0309989761137835 ; *
embed.JS ; 0.00620772213175785 ; 0.532717082409827 ; 
inline.JS ; 0 ; 0 ; 
embed.CSS ; 0.00798308340396388 ; 0.479077016951436 ; 
inline.CSS ; 0.00722876015573222 ; 0.500698737144671 ; 
css.in.JS ; 0.000777696197942884 ; 0.825470730223318 ; 
css.in.JS..jquery ; 0.137938295067195 ; 0.00231923650532284 ; *
max.lines ; 0.0148634735647585 ; 0.333313984779273 ; 
max.lines.per.function ; 0.0166241039655943 ; 0.306017789993094 ; 
max.params ; 0.0179745497945679 ; 0.286992094228661 ; 
complexity ; 0.0146056366171809 ; 0.33757404393795 ; 
max.depth ; 0.0157308175628573 ; 0.319489926723667 ; 
max.nested.callbacks ; 0.0276841105908269 ; 0.185281002450021 ; 
