CS; r^2; p; issig
CyclomaticComplexity ; 0.27806804462717 ; 0.00809865375081768 ; *
NPathComplexity ; 0.084393663042867 ; 0.168474639784625 ; 
ExcessiveMethodLength ; 0.00773039163949934 ; 0.682884637961644 ; 
ExcessiveClassLength ; 0.0625146801041782 ; 0.238664805506524 ; 
ExcessiveParameterList ; 0.013319787030884 ; 0.591257253501375 ; 
ExcessivePublicCount ; 0.0136351142515658 ; 0.586869677628568 ; 
TooManyFields ; 0.0579589393164596 ; 0.257122717560213 ; 
TooManyMethods ; 0.214365200409802 ; 0.0227044011468987 ; *
TooManyPublicMethods ; 0.248101552664752 ; 0.0132468076436867 ; *
ExcessiveClassComplexity ; 0.13694075143934 ; 0.0750895620830834 ; 
NumberOfChildren ; 2.29676647037698e-05 ; 0.982268596860937 ; 
DepthOfInheritance ; 0 ; 0 ; unique <=2
CouplingBetweenObjects ; 0.0315072523372608 ; 0.406662897641935 ; 
DevelopmentCodeFragment ; 0.248939422704512 ; 0.0130682173681553 ; *
UnusedPrivateField ; 0.16617348422526 ; 0.0480103905836752 ; *
UnusedLocalVariable ; 0.0144321868276903 ; 0.576060949978392 ; 
UnusedPrivateMethod ; 0.1493684518398 ; 0.0621066090722873 ; 
UnusedFormalParameter ; 0.170133247644525 ; 0.0451757255717583 ; *
embed.JS ; 0.0230086943019735 ; 0.479225836450105 ; 
inline.JS ; 0.0111857003359046 ; 0.622824038641804 ; 
embed.CSS ; 0.0511282686718659 ; 0.28803680609706 ; 
inline.CSS ; 0.00554337578828795 ; 0.729525555285363 ; 
css.in.JS ; 0.0421689003380715 ; 0.335740252955535 ; 
css.in.JS..jquery ; 0.308716154353499 ; 0.00482015391468099 ; *
max.lines ; 0.168540924128267 ; 0.0462954260525746 ; *
max.lines.per.function ; 0.143420800534082 ; 0.0680153502372075 ; 
max.params ; 0.0110247082272258 ; 0.625351784954986 ; 
complexity ; 0.000268964882204633 ; 0.939371550201279 ; 
max.depth ; 0.115496794323362 ; 0.104202498686003 ; 
max.nested.callbacks ; 0.0475541926750289 ; 0.305989799720197 ; 
