CS; r^2; p; issig
CyclomaticComplexity ; 0.251036709031854 ; 0.00479789861668452 ; *
NPathComplexity ; 0.211563450252106 ; 0.0105459205206019 ; *
ExcessiveMethodLength ; 0.206397552527846 ; 0.0116687280230158 ; *
ExcessiveClassLength ; 0.307493972474247 ; 0.00147320227675545 ; *
ExcessiveParameterList ; 0.0455524092320458 ; 0.25744914365851 ; 
ExcessivePublicCount ; 0.0886073880566674 ; 0.1101358270933 ; 
TooManyFields ; 0.230084650364181 ; 0.00731238621814384 ; *
TooManyMethods ; 0.0958390513868181 ; 0.0959593653351453 ; 
TooManyPublicMethods ; 0.144712979544994 ; 0.0381016918805398 ; *
ExcessiveClassComplexity ; 0.302036785546323 ; 0.00165665226563058 ; *
NumberOfChildren ; 0.0510942892399228 ; 0.229716905507331 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0461332418006547 ; 0.254365305710265 ; 
DevelopmentCodeFragment ; 0.0258459015117396 ; 0.396059842342707 ; 
UnusedPrivateField ; 0 ; 0 ; 
UnusedLocalVariable ; 0.0262390481939532 ; 0.392442821785917 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2
UnusedFormalParameter ; 0.265538925198302 ; 0.00356639906549164 ; *
embed.JS ; 0.00320857267909207 ; 0.766230619806718 ; 
inline.JS ; 0.00104997178269377 ; 0.865023528241033 ; 
embed.CSS ; 0.296273778213377 ; 0.00187373721618955 ; *
inline.CSS ; 0.00232186131995578 ; 0.80037940810736 ; 
css.in.JS ; 0.0964097147359339 ; 0.0949242453794529 ; 
css.in.JS..jquery ; 0.0826422947262561 ; 0.123466130382655 ; 
max.lines ; 0.265337150137385 ; 0.00358125391020586 ; *
max.lines.per.function ; 0.252609036879003 ; 0.0046470013308242 ; *
max.params ; 0.111387306838622 ; 0.0714802802005794 ; 
complexity ; 0.0765394111723166 ; 0.138875731215105 ; 
max.depth ; 0 ; 0 ; unique <=2
max.nested.callbacks ; 0.0770926088216146 ; 0.137398267251457 ; 
