CS; r^2; p; issig
CyclomaticComplexity ; 0.0103371700915874 ; 0.586279174951467 ; 
NPathComplexity ; 0.00555714306637018 ; 0.690221207515093 ; 
ExcessiveMethodLength ; 0.0109360400715111 ; 0.575572534756451 ; 
ExcessiveClassLength ; 0.0263296064430639 ; 0.383142049837538 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2
ExcessivePublicCount ; 0 ; 0 ; unique <=2
TooManyFields ; 0.0257637364994163 ; 0.388371811437101 ; 
TooManyMethods ; 0.0295436911393773 ; 0.355183220026456 ; 
TooManyPublicMethods ; 0.012625993419383 ; 0.547290148286393 ; 
ExcessiveClassComplexity ; 0.0140438477014659 ; 0.525463288805793 ; 
NumberOfChildren ; 1 ;  all cs=1 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.000442031758180296 ; 0.910616096118145 ; 
DevelopmentCodeFragment ; 0 ; 0 ; unique <=2
UnusedPrivateField ; 0 ; 0 ; unique <=2
UnusedLocalVariable ; 0.0361189339385914 ; 0.305816465192877 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2
UnusedFormalParameter ; 0.0322508312027633 ; 0.333700111889275 ; 
embed.JS ; 0.123170241904336 ; 0.0528895824703483 ; 
inline.JS ; 0.0735484598617496 ; 0.140015057103103 ; 
embed.CSS ; 0.0980200661399083 ; 0.0863550690196047 ; 
inline.CSS ; 0.0834806139284103 ; 0.114928886574021 ; 
css.in.JS ; 0.0529970228773925 ; 0.212800076132047 ; 
css.in.JS..jquery ; 0.0940733421929082 ; 0.0932966319039779 ; 
max.lines ; 0.0220014882389983 ; 0.425833002323132 ; 
max.lines.per.function ; 0.0253357432941265 ; 0.392393156490175 ; 
max.params ; 0.0413683629559341 ; 0.272456254159161 ; 
complexity ; 0.0381762164225557 ; 0.292175804513063 ; 
max.depth ; 0.0912922246663697 ; 0.0985314021575861 ; 
max.nested.callbacks ; 0.099897022569548 ; 0.0832420939208717 ; 
