CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.425298319921597 ; 0.01 ; * ; 0.328608636121355 ; 0.343333333333333 ; 
NPathComplexity ; 0.585254177475409 ; 0 ; * ; 0.257599890573776 ; 0.563333333333333 ; 
ExcessiveMethodLength ; 0.431079456430857 ; 0.00666666666666667 ; * ; 0.287266989393771 ; 0.493333333333333 ; 
ExcessiveClassLength ; 0.600866608559097 ; 0.00333333333333333 ; * ; 0.189261873336075 ; 0.82 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0.672094337135715 ; 0 ; * ; 0.572686189363184 ; 0.00333333333333333 ; *
TooManyFields ; 0.645148379549419 ; 0 ; * ; 0.315718779716293 ; 0.34 ; 
TooManyMethods ; 0.645148379549419 ; 0 ; * ; 0.277874862597351 ; 0.463333333333333 ; 
TooManyPublicMethods ; 0.425298319921597 ; 0.0166666666666667 ; * ; 0.245287238160246 ; 0.633333333333333 ; 
ExcessiveClassComplexity ; 0.622954631781293 ; 0 ; * ; 0.165328441152892 ; 0.876666666666667 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.382549298897594 ; 0.04 ; * ; 0.354554797119301 ; 0.2 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.410770967746256 ; 0.0133333333333333 ; * ; 0.150796022385659 ; 0.883333333333333 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.319794195002974 ; 0.1 ;  ; 0.134176811255559 ; 0.933333333333333 ; 
embed.JS ; 0.683079249012331 ; 0 ; * ; 0.249376752845458 ; 0.576666666666667 ; 
inline.JS ; 0.22014134916512 ; 0.103333333333333 ;  ; 0.240537730358728 ; 0.613333333333333 ; 
embed.CSS ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
inline.CSS ; 0.485766924163013 ; 0 ; * ; 0.234156826193213 ; 0.613333333333333 ; 
css.in.JS ; 0.376211786973622 ; 0.00666666666666667 ; * ; 0.192772230385442 ; 0.773333333333333 ; 
css.in.JS..jquery ; 0.547574323515241 ; 0 ; * ; 0.274428753383061 ; 0.52 ; 
max.lines ; 0.277425451562467 ; 0.02 ; * ; 0.280106517958508 ; 0.446666666666667 ; 
max.lines.per.function ; 0.316455613450672 ; 0.00666666666666667 ; * ; 0.28878664182508 ; 0.466666666666667 ; 
max.params ; 0.332789710988776 ; 0.0533333333333333 ;  ; 0.408819717930663 ; 0.13 ; 
complexity ; 0.406306435337736 ; 0.0133333333333333 ; * ; 0.472778323104613 ; 0.05 ; *
max.depth ; 0.407186636524399 ; 0.00333333333333333 ; * ; 0.202975456483832 ; 0.766666666666667 ; 
max.nested.callbacks ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
