CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0687915081571287 ; 0.306666666666667 ;  ; 0.116871448610019 ; 0.0233333333333333 ; *
NPathComplexity ; 0.0463530694912659 ; 0.846666666666667 ;  ; 0.104338861118859 ; 0.0566666666666667 ; 
ExcessiveMethodLength ; 0.0558608783449861 ; 0.456666666666667 ;  ; 0.0616600628150875 ; 0.483333333333333 ; 
ExcessiveClassLength ; 0.118103001740301 ; 0.0166666666666667 ; * ; 0.081915282015789 ; 0.18 ; 
ExcessiveParameterList ; 0.0610391486560919 ; 0.35 ;  ; 0.0764912513489578 ; 0.273333333333333 ; 
ExcessivePublicCount ; 0.0681593230050552 ; 0.443333333333333 ;  ; 0.110232041247455 ; 0.03 ; *
TooManyFields ; 0.12645419233112 ; 0.01 ; * ; 0.0660767885126345 ; 0.386666666666667 ; 
TooManyMethods ; 0.100815477324478 ; 0.05 ; * ; 0.119215242815737 ; 0.01 ; *
TooManyPublicMethods ; 0.0833848943672111 ; 0.356666666666667 ;  ; 0.126282508750193 ; 0.00666666666666667 ; *
ExcessiveClassComplexity ; 0.0846842356378998 ; 0.196666666666667 ;  ; 0.11626569378523 ; 0.00666666666666667 ; *
NumberOfChildren ; 0.192577120906245 ; 0 ; * ; 0.0484634914019892 ; 0.706666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0905341392732365 ; 0.0433333333333333 ; * ; 0.0682849184171924 ; 0.373333333333333 ; 
DevelopmentCodeFragment ; 0.133343231605271 ; 0.00333333333333333 ; * ; 0.0513642288668967 ; 0.626666666666667 ; 
UnusedPrivateField ; 0.0742795179341713 ; 0.133333333333333 ;  ; 0.0408364738582574 ; 0.8 ; 
UnusedLocalVariable ; 0.0339783555075632 ; 0.906666666666667 ;  ; 0.0773931912297169 ; 0.25 ; 
UnusedPrivateMethod ; 0.0941705017738557 ; 0.0933333333333333 ;  ; 0.0999296327027314 ; 0.0466666666666667 ; *
UnusedFormalParameter ; 0.0579196704881411 ; 0.516666666666667 ;  ; 0.0461483385864209 ; 0.75 ; 
embed.JS ; 0.0519927744765555 ; 0.556666666666667 ;  ; 0.0483610566276672 ; 0.733333333333333 ; 
inline.JS ; 0.0868037811413453 ; 0.106666666666667 ;  ; 0.0904353784917958 ; 0.116666666666667 ; 
embed.CSS ; 0.106250726410027 ; 0.0333333333333333 ; * ; 0.0485740880071454 ; 0.696666666666667 ; 
inline.CSS ; 0.101530931568178 ; 0.0366666666666667 ; * ; 0.0547502226446552 ; 0.593333333333333 ; 
css.in.JS ; 0.0621659559186196 ; 0.753333333333333 ;  ; 0.112376186178538 ; 0.03 ; *
css.in.JS..jquery ; 0.0442205480658487 ; 0.713333333333333 ;  ; 0.0762459918866021 ; 0.236666666666667 ; 
max.lines ; 0.113698732667654 ; 0.00333333333333333 ; * ; 0.0868299382514071 ; 0.136666666666667 ; 
max.lines.per.function ; 0.0677113281986592 ; 0.243333333333333 ;  ; 0.080253109665688 ; 0.216666666666667 ; 
max.params ; 0.150930198837899 ; 0 ; * ; 0.0623641484633552 ; 0.48 ; 
complexity ; 0.134562463883471 ; 0 ; * ; 0.0756012556833978 ; 0.233333333333333 ; 
max.depth ; 0.0595993084511503 ; 0.186666666666667 ;  ; 0.0852520687303109 ; 0.133333333333333 ; 
max.nested.callbacks ; 0.049546683776748 ; 0.3 ;  ; 0.0836312319070569 ; 0.156666666666667 ; 
