1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;86;;;;
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig;;;;;;;;
3;CyclomaticComplexity ;0.063541032; * ;0.168541851;  ;0.339457569;  ;0.351393142; * ;0.148089736;  ;0.077383544;  ;0.088020163;  ;0.125377925;  ;0.214401411;  ;0.150405494;  ;; *      *             ;**;2; #      #             ;••; |      |             ;||
4;NPathComplexity ;0.091118415; * ;0.168541851;  ;0.259367328;  ;0.351393142; * ;0.098280885;  ;0.038660571;  ;0.124203289; * ;0.125377925;  ;0.236888737;  ;0.096050639;  ;; *      *      *       ;***;3; #      #      #       ;•••; |      |      |       ;|||
5;ExcessiveMethodLength ;0.085697006; * ;0.318571373; * ;0.51220009; * ;0.351393142; * ;0.098280885;  ;0.070435407;  ;0.132991239;  ;0.125377925;  ;0.330785585;  ;0.146684045;  ;; *  *  *  *             ;****;4; #  #  #  #             ;••••; |  |  |  |             ;||||
6;ExcessiveClassLength ;0.073042363; * ;0.204645235;  ;0.378333435;  ;0.098925423;  ;0.054634894;  ;0.070435407;  ;0.137892597;  ;0.125377925;  ;0.171739988;  ;0;;; *                 ;*;1; #                 ;•; |                 ;|
7;ExcessiveParameterList ;0.101884014; * ;0;;0.17133803;  ;0.155776516;  ;0.13033924;  ;0;  ;0.118881972;  ;0;;0.518470971; * ;0.099897516;  ;; *            *   ;**;2; #            #   ;••; |            |   ;||
8;ExcessivePublicCount ;0.073042363; * ;0.318405841; * ;0.39829485;  ;0.223746237;  ;0.076516175;  ;0.155238508;  ;0.132991239;  ;0;;0.135426397;  ;0;  ;; *  *               ;**;2; #  #               ;••; |  |               ;||
9;TooManyFields ;0.088907171; * ;0.426212376; * ;1;  ;0.278252582;  ;0.076910849;  ;0.105821471;  ;0.200086671; * ;0.125377925;  ;0.06840698;  ;0;;; *  *          *     ;***;3; #  #          #     ;•••; |  |          |     ;|||
10;TooManyMethods ;0.098588335; * ;0.298603574;  ;0.39829485;  ;0.241400407;  ;0.041936224;  ;0.1021807;  ;0.168037786; * ;0.125377925;  ;0.360043584; * ;0;;; *            *    * ;***;3; #            #    # ;•••; |            |    | ;|||
11;TooManyPublicMethods ;0.145031164; * ;0.168541851;  ;0.525701748; * ;0.232724491;  ;0.098280885;  ;0.095851998;  ;0.116676859;  ;0.125377925;  ;0.520211798; * ;0.056574213;  ;; *    *            *   ;***;3; #    #            #   ;•••; |    |            |   ;|||
