1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
3;CyclomaticComplexity ; 0.0635410319381301 ; 0.04 ; 0.168541850944134 ; 0.563333333333333 ; 0.339457569190019 ; 0.0833333333333333 ; 0.351393142031091 ; 0.0433333333333333 ; 0.148089736166565 ; 0.153333333333333 ; 0.077383544045872 ; 0.0866666666666667 ; 0.088020162502136 ; 0.22 ; 0.125377924914208 ; 0.543333333333333 ; 0.214401411491045 ; 0.5 ; 0.150405494311556 ; 0.113333333333333 
4;NPathComplexity ; 0.0911184154005832 ; 0.00666666666666667 ; 0.168541850944134 ; 0.563333333333333 ; 0.259367327997935 ; 0.35 ; 0.351393142031091 ; 0.0433333333333333 ; 0.0982808849196569 ; 0.366666666666667 ; 0.0386605712244375 ; 0.196666666666667 ; 0.124203288672156 ; 0.04 ; 0.125377924914208 ; 0.543333333333333 ; 0.236888736583112 ; 0.556666666666667 ; 0.096050638921586 ; 0.416666666666667 
5;ExcessiveMethodLength ; 0.0856970062037117 ; 0 ; 0.31857137304394 ; 0.0466666666666667 ; 0.512200089801713 ; 0.00333333333333333 ; 0.351393142031091 ; 0.0433333333333333 ; 0.0982808849196569 ; 0.416666666666667 ; 0.0704354070936657 ; 0.646666666666667 ; 0.132991239493162 ; 0.256666666666667 ; 0.125377924914208 ; 0.543333333333333 ; 0.330785584824255 ; 0.396666666666667 ; 0.146684045025453 ; 0.113333333333333 
6;ExcessiveClassLength ; 0.0730423632904398 ; 0.0166666666666667 ; 0.204645235190056 ; 0.376666666666667 ; 0.378333434788217 ; 0.06 ; 0.0989254225969121 ; 0.596666666666667 ; 0.0546348936158178 ; 0.896666666666667 ; 0.0704354070936657 ; 0.56 ; 0.137892597431306 ; 0.156666666666667 ; 0.125377924914208 ; 0.476666666666667 ; 0.171739987789286 ; 0.67 ; 0 ; 0 
7;ExcessiveParameterList ; 0.101884013670527 ; 0 ; 0 ; 0 ; 0.17133802953262 ; 0.386666666666667 ; 0.155776516065179 ; 0.673333333333333 ; 0.130339239987525 ; 0.256666666666667 ; 0 ; 0 ; 0.118881971888393 ; 0.276666666666667 ; 0 ; 0 ; 0.518470970989949 ; 0.02 ; 0.0998975161981537 ; 0.06 
8;ExcessivePublicCount ; 0.0730423632904398 ; 0.0166666666666667 ; 0.318405841046228 ; 0.05 ; 0.398294849575297 ; 0.0533333333333333 ; 0.223746236903774 ; 0.0866666666666667 ; 0.0765161754136616 ; 0.636666666666667 ; 0.155238508098826 ; 0.0533333333333333 ; 0.132991239493162 ; 0.2 ; 0 ; 0 ; 0.13542639749354 ; 0.89 ; 0 ; 0 
9;TooManyFields ; 0.0889071705594004 ; 0 ; 0.426212375637328 ; 0 ; 1 ;  all cs=1 ; 0.278252582298012 ; 0.253333333333333 ; 0.0769108488188258 ; 0.576666666666667 ; 0.105821470766799 ; 0.323333333333333 ; 0.200086671181467 ; 0.01 ; 0.125377924914208 ; 0.413333333333333 ; 0.0684069803798453 ; 0.906666666666667 ; 0 ; 0 
10;TooManyMethods ; 0.0985883351217381 ; 0.0233333333333333 ; 0.298603573963254 ; 0.0866666666666667 ; 0.398294849575297 ; 0.0533333333333333 ; 0.241400407015779 ; 0.06 ; 0.0419362243544491 ; 0.936666666666667 ; 0.102180699519321 ; 0.303333333333333 ; 0.168037785884317 ; 0.0366666666666667 ; 0.125377924914208 ; 0.413333333333333 ; 0.360043583821637 ; 0.00333333333333333 ; 0 ; 0 
11;TooManyPublicMethods ; 0.145031164323346 ; 0 ; 0.168541850944134 ; 0.563333333333333 ; 0.525701748108708 ; 0 ; 0.23272449125345 ; 0.306666666666667 ; 0.0982808849196569 ; 0.23 ; 0.0958519976915343 ; 0.363333333333333 ; 0.116676858513606 ; 0.173333333333333 ; 0.125377924914208 ; 0.466666666666667 ; 0.520211797751311 ; 0.0233333333333333 ; 0.0565742129524313 ; 0.593333333333333 
12;ExcessiveClassComplexity ; 0.0635410319381301 ; 0.06 ; 0.248262537895141 ; 0.256666666666667 ; 0.296822470014334 ; 0.23 ; 0.222277922884379 ; 0.113333333333333 ; 0.0987729829638181 ; 0.32 ; 0.0934056523407358 ; 0.05 ; 0.137892597431306 ; 0.0166666666666667 ; 0.125377924914208 ; 0.413333333333333 ; 0.251192370088501 ; 0.41 ; 0.112422466608732 ; 0.303333333333333 
13;NumberOfChildren ; 0.141156983740246 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.238234958768172 ; 0.116666666666667 ; 0.0897963228863489 ; 0.226666666666667 ; 0.0907939003816139 ; 0.346666666666667 ; 0.128976501769627 ; 0.0966666666666667 ; 1 ;  all cs=1 ; 0.214401411491045 ; 0.29 ; 0.166293277357226 ; 0.0733333333333333 
14;DepthOfInheritance ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.029850667333791 ; 0.443333333333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 
15;CouplingBetweenObjects ; 0.0730423632904398 ; 0.16 ; 0 ; 0 ; 0 ; 0 ; 0.230315654485817 ; 0.126666666666667 ; 0.201406464219135 ; 0.02 ; 0.0603427090305409 ; 0.63 ; 0.163763318503614 ; 0.0366666666666667 ; 0.125377924914208 ; 0.466666666666667 ; 0.173587390424882 ; 0.613333333333333 ; 0.121750264380793 ; 0.33 
16;DevelopmentCodeFragment ; 0.150667603391518 ; 0 ; 0.341264749438349 ; 0.0433333333333333 ; 0.58175948813026 ; 0 ; 0.351393142031091 ; 0.0433333333333333 ; 0.133429418813964 ; 0.176666666666667 ; 0.0931002849785822 ; 0.33 ; 0.18168385883366 ; 0.0233333333333333 ; 0 ; 0 ; 0.326472006460042 ; 0.226666666666667 ; 0 ; 0 
17;UnusedPrivateField ; 0.159187991225039 ; 0 ; 0 ; 0 ; 0.435087818217614 ; 0.03 ; 0 ; 0 ; 0.119292028496544 ; 0.05 ; 0.121202163312131 ; 0.0466666666666667 ; 0.113720290729695 ; 0.22 ; 0 ; 0 ; 0.0684069803798453 ; 0.906666666666667 ; 0 ; 0 
18;UnusedLocalVariable ; 0.0943841308031195 ; 0.02 ; 0.316943148894831 ; 0.0333333333333333 ; 0.378333434788217 ; 0.04 ; 0.399887431375628 ; 0.0233333333333333 ; 0.0674985802682089 ; 0.786666666666667 ; 0.122942595261097 ; 0.27 ; 0.106697646712964 ; 0.0933333333333333 ; 0.125377924914208 ; 0.413333333333333 ; 0.303139559633689 ; 0.443333333333333 ; 0.112422466608732 ; 0.22 
19;UnusedPrivateMethod ; 0.0680727473102487 ; 0.0266666666666667 ; 0 ; 0 ; 0.455473745508614 ; 0.0233333333333333 ; 0 ; 0 ; 0.102014450968475 ; 0.323333333333333 ; 0.0653861823874351 ; 0.333333333333333 ; 0.127762424007849 ; 0.133333333333333 ; 0 ; 0 ; 0.172869770125477 ; 0.433333333333333 ; 0 ; 0 
20;UnusedFormalParameter ; 0.103150136696857 ; 0.01 ; 0.256276945354222 ; 0.126666666666667 ; 0.27348967039698 ; 0.286666666666667 ; 0.236596670733583 ; 0.436666666666667 ; 0.0546348936158178 ; 0.9 ; 0.0890078154617163 ; 0.06 ; 0.14368542490772 ; 0.113333333333333 ; 0.125288995687648 ; 0.296666666666667 ; 0.52442148768469 ; 0 ; 0.162801675158206 ; 0.0833333333333333 
