CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.088020162502136 ; 0.22 ;  ; 0.0494162889162847 ; 0.94 ; 
NPathComplexity ; 0.124203288672156 ; 0.04 ; * ; 0.0600714546127482 ; 0.893333333333333 ; 
ExcessiveMethodLength ; 0.132991239493162 ; 0.256666666666667 ;  ; 0.0538545126174001 ; 0.92 ; 
ExcessiveClassLength ; 0.137892597431306 ; 0.156666666666667 ;  ; 0.114410159432053 ; 0.39 ; 
ExcessiveParameterList ; 0.118881971888393 ; 0.276666666666667 ;  ; 0.0846111016542228 ; 0.74 ; 
ExcessivePublicCount ; 0.132991239493162 ; 0.2 ;  ; 0.0713512781863629 ; 0.816666666666667 ; 
TooManyFields ; 0.200086671181467 ; 0.01 ; * ; 0.151795121134819 ; 0.173333333333333 ; 
TooManyMethods ; 0.168037785884317 ; 0.0366666666666667 ; * ; 0.127613946694942 ; 0.336666666666667 ; 
TooManyPublicMethods ; 0.116676858513606 ; 0.173333333333333 ;  ; 0.0965086571001292 ; 0.54 ; 
ExcessiveClassComplexity ; 0.137892597431306 ; 0.0166666666666667 ; * ; 0.106972449142683 ; 0.436666666666667 ; 
NumberOfChildren ; 0.128976501769627 ; 0.0966666666666667 ;  ; 0.0763252106067616 ; 0.706666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.163763318503614 ; 0.0366666666666667 ; * ; 0.0896953462301698 ; 0.62 ; 
DevelopmentCodeFragment ; 0.18168385883366 ; 0.0233333333333333 ; * ; 0.25517556387476 ; 0.00666666666666667 ; *
UnusedPrivateField ; 0.113720290729695 ; 0.22 ;  ; 0.0676061519029244 ; 0.876666666666667 ; 
UnusedLocalVariable ; 0.106697646712964 ; 0.0933333333333333 ;  ; 0.0762221918807785 ; 0.813333333333333 ; 
UnusedPrivateMethod ; 0.127762424007849 ; 0.133333333333333 ;  ; 0.103584197340527 ; 0.493333333333333 ; 
UnusedFormalParameter ; 0.14368542490772 ; 0.113333333333333 ;  ; 0.168749729306126 ; 0.0933333333333333 ; 
embed.JS ; 0.12693175299489 ; 0.0233333333333333 ; * ; 0.0520471788940942 ; 0.926666666666667 ; 
inline.JS ; 0.114942936363449 ; 0.146666666666667 ;  ; 0.189960082157677 ; 0.0466666666666667 ; *
embed.CSS ; 0.181470159620498 ; 0.0333333333333333 ; * ; 0.103868863512798 ; 0.506666666666667 ; 
inline.CSS ; 0.132991239493162 ; 0.0266666666666667 ; * ; 0.0622183205142483 ; 0.91 ; 
css.in.JS ; 0.129464545812847 ; 0.126666666666667 ;  ; 0.0707342233910684 ; 0.78 ; 
css.in.JS..jquery ; 0.202016713753431 ; 0.03 ; * ; 0.278290359243188 ; 0.00333333333333333 ; *
max.lines ; 0.112182884210806 ; 0.0366666666666667 ; * ; 0.0557434853072707 ; 0.95 ; 
max.lines.per.function ; 0.14314800959052 ; 0.09 ;  ; 0.127324889475263 ; 0.373333333333333 ; 
max.params ; 0.152002073509122 ; 0.0766666666666667 ;  ; 0.193915705079191 ; 0.04 ; *
complexity ; 0.16470800859365 ; 0.05 ; * ; 0.191223616929457 ; 0.0366666666666667 ; *
max.depth ; 0.189986387644629 ; 0 ; * ; 0.151142012143205 ; 0.233333333333333 ; 
max.nested.callbacks ; 0.135092796736233 ; 0.276666666666667 ;  ; 0.104204994514232 ; 0.516666666666667 ; 
