CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.150405494311556 ; 0.113333333333333 ;  ; 0.0592846740440829 ; 0.83 ; 
NPathComplexity ; 0.096050638921586 ; 0.416666666666667 ;  ; 0.116535236033706 ; 0.29 ; 
ExcessiveMethodLength ; 0.146684045025453 ; 0.113333333333333 ;  ; 0.130026942865029 ; 0.133333333333333 ; 
ExcessiveClassLength ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessiveParameterList ; 0.0998975161981537 ; 0.06 ;  ; 0.0479592043487117 ; 0.886666666666667 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyMethods ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyPublicMethods ; 0.0565742129524313 ; 0.593333333333333 ;  ; 0.18013996874671 ; 0.0333333333333333 ; *
ExcessiveClassComplexity ; 0.112422466608732 ; 0.303333333333333 ;  ; 0.14765062689745 ; 0.09 ; 
NumberOfChildren ; 0.166293277357226 ; 0.0733333333333333 ;  ; 0.148347880103445 ; 0.0466666666666667 ; *
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.121750264380793 ; 0.33 ;  ; 0.165930804848591 ; 0.0333333333333333 ; *
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.112422466608732 ; 0.22 ;  ; 0.0735331724171281 ; 0.666666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.162801675158206 ; 0.0833333333333333 ;  ; 0.130620271933849 ; 0.156666666666667 ; 
embed.JS ; 0.0644480751873662 ; 0.583333333333333 ;  ; 0.142366611512164 ; 0.0733333333333333 ; 
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.0993620174245343 ; 0.06 ;  ; 0.0878055530380528 ; 0.576666666666667 ; 
inline.CSS ; 0.100101799048653 ; 0.113333333333333 ;  ; 0.137882664629338 ; 0.163333333333333 ; 
css.in.JS ; 0.161228271213561 ; 0.133333333333333 ;  ; 0.0841618164557036 ; 0.506666666666667 ; 
css.in.JS..jquery ; 0.129465152935947 ; 0.123333333333333 ;  ; 0.0789462491800796 ; 0.61 ; 
max.lines ; 0.137201990157302 ; 0.123333333333333 ;  ; 0.115647505042586 ; 0.263333333333333 ; 
max.lines.per.function ; 0.0975756768203488 ; 0.31 ;  ; 0.0605381544029796 ; 0.816666666666667 ; 
max.params ; 0.244291096523918 ; 0.00333333333333333 ; * ; 0.102393031092192 ; 0.29 ; 
complexity ; 0.255591830424663 ; 0 ; * ; 0.0919859907489234 ; 0.46 ; 
max.depth ; 0.255591830424663 ; 0 ; * ; 0.0919859907489234 ; 0.46 ; 
max.nested.callbacks ; 0.111002940514784 ; 0.296666666666667 ;  ; 0.141691785487037 ; 0.13 ; 
