CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.351393142031091 ; 0.0433333333333333 ; * ; 0.306349468815342 ; 0.313333333333333 ; 
NPathComplexity ; 0.351393142031091 ; 0.0433333333333333 ; * ; 0.306349468815342 ; 0.313333333333333 ; 
ExcessiveMethodLength ; 0.351393142031091 ; 0.0433333333333333 ; * ; 0.306349468815342 ; 0.313333333333333 ; 
ExcessiveClassLength ; 0.0989254225969121 ; 0.596666666666667 ;  ; 0.17012124342032 ; 0.78 ; 
ExcessiveParameterList ; 0.155776516065179 ; 0.673333333333333 ;  ; 0.287479817348077 ; 0.393333333333333 ; 
ExcessivePublicCount ; 0.223746236903774 ; 0.0866666666666667 ;  ; 0.19278251720997 ; 0.736666666666667 ; 
TooManyFields ; 0.278252582298012 ; 0.253333333333333 ;  ; 0.162295811786319 ; 0.816666666666667 ; 
TooManyMethods ; 0.241400407015779 ; 0.06 ;  ; 0.222485819914168 ; 0.623333333333333 ; 
TooManyPublicMethods ; 0.23272449125345 ; 0.306666666666667 ;  ; 0.332702227308961 ; 0.223333333333333 ; 
ExcessiveClassComplexity ; 0.222277922884379 ; 0.113333333333333 ;  ; 0.146743488325287 ; 0.836666666666667 ; 
NumberOfChildren ; 0.238234958768172 ; 0.116666666666667 ;  ; 0.153092058258181 ; 0.836666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.230315654485817 ; 0.126666666666667 ;  ; 0.217488655769001 ; 0.67 ; 
DevelopmentCodeFragment ; 0.351393142031091 ; 0.0433333333333333 ; * ; 0.306349468815342 ; 0.313333333333333 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.399887431375628 ; 0.0233333333333333 ; * ; 0.271870387892866 ; 0.43 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.236596670733583 ; 0.436666666666667 ;  ; 0.296335332009243 ; 0.356666666666667 ; 
embed.JS ; 0.333340531268898 ; 0.106666666666667 ;  ; 0.221998026985365 ; 0.62 ; 
inline.JS ; 0.408247065020163 ; 0 ; * ; 0.257406908949243 ; 0.43 ; 
embed.CSS ; 0.182447557952034 ; 0 ; * ; 0.122699281806365 ; 0.92 ; 
inline.CSS ; 0.571577193798227 ; 0.00333333333333333 ; * ; 0.2843774121278 ; 0.41 ; 
css.in.JS ; 0.343031109225864 ; 0.0133333333333333 ; * ; 0.291254549755823 ; 0.34 ; 
css.in.JS..jquery ; 0.172812539988716 ; 0.316666666666667 ;  ; 0.182159968360835 ; 0.756666666666667 ; 
max.lines ; 0.351397429399848 ; 0.15 ;  ; 0.208967202022761 ; 0.696666666666667 ; 
max.lines.per.function ; 0.217485747114219 ; 0.47 ;  ; 0.248665650731466 ; 0.516666666666667 ; 
max.params ; 0.278252582298012 ; 0.173333333333333 ;  ; 0.312696324608804 ; 0.276666666666667 ; 
complexity ; 0.314396385246982 ; 0.09 ;  ; 0.315060347725087 ; 0.303333333333333 ; 
max.depth ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
max.nested.callbacks ; 0.185226825697246 ; 0.22 ;  ; 0.143749433889233 ; 0.883333333333333 ; 
