CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.122370369028686 ; 0.57 ;  ; 0.175546331359382 ; 0.513333333333333 ; 
NPathComplexity ; 0.130693046482732 ; 0.373333333333333 ;  ; 0.200165236092553 ; 0.316666666666667 ; 
ExcessiveMethodLength ; 0.215288770998225 ; 0.41 ;  ; 0.281012401401065 ; 0.193333333333333 ; 
ExcessiveClassLength ; 0.126220585548869 ; 0.936666666666667 ;  ; 0.219234682009312 ; 0.35 ; 
ExcessiveParameterList ; 0.144190663616851 ; 0.92 ;  ; 0.282545247286529 ; 0.14 ; 
ExcessivePublicCount ; 0.193231144766049 ; 0.63 ;  ; 0.201117769919466 ; 0.476666666666667 ; 
TooManyFields ; 0.274517233240709 ; 0.146666666666667 ;  ; 0.2772463499795 ; 0.16 ; 
TooManyMethods ; 0.142316455370154 ; 0.793333333333333 ;  ; 0.269251341332789 ; 0.106666666666667 ; 
TooManyPublicMethods ; 0.120460449990177 ; 0.906666666666667 ;  ; 0.136680407762131 ; 0.756666666666667 ; 
ExcessiveClassComplexity ; 0.109581680711185 ; 0.06 ;  ; 0.213982402289628 ; 0.246666666666667 ; 
NumberOfChildren ; 0.18691962689179 ; 0.443333333333333 ;  ; 0.146262306500279 ; 0.616666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.185404751362929 ; 0.54 ;  ; 0.118005905009573 ; 0.86 ; 
DevelopmentCodeFragment ; 0.232099451181599 ; 0.186666666666667 ;  ; 0.323526834536354 ; 0.0166666666666667 ; *
UnusedPrivateField ; 0.151200103360703 ; 0.783333333333333 ;  ; 0.106182605661276 ; 0.906666666666667 ; 
UnusedLocalVariable ; 0.123479671909951 ; 0.576666666666667 ;  ; 0.13357195173913 ; 0.733333333333333 ; 
UnusedPrivateMethod ; 0.177368017971033 ; 0.546666666666667 ;  ; 0.228444530615352 ; 0.206666666666667 ; 
UnusedFormalParameter ; 0.158781754956273 ; 0.72 ;  ; 0.225933477581832 ; 0.36 ; 
embed.JS ; 0.123092177035391 ; 0.413333333333333 ;  ; 0.0916637931453639 ; 0.893333333333333 ; 
inline.JS ; 0.111449592116882 ; 0.73 ;  ; 0.143123828867366 ; 0.683333333333333 ; 
embed.CSS ; 0.159680663051995 ; 0.85 ;  ; 0.189814490402855 ; 0.54 ; 
inline.CSS ; 0.15032845289857 ; 0.403333333333333 ;  ; 0.176520905955266 ; 0.506666666666667 ; 
css.in.JS ; 0.320136325415269 ; 0.0233333333333333 ; * ; 0.188331155114089 ; 0.44 ; 
css.in.JS..jquery ; 0.316717287058689 ; 0.156666666666667 ;  ; 0.258061889312007 ; 0.203333333333333 ; 
max.lines ; 0.110120491302895 ; 0.513333333333333 ;  ; 0.0985540860846136 ; 0.893333333333333 ; 
max.lines.per.function ; 0.304258748794022 ; 0.103333333333333 ;  ; 0.251298687258738 ; 0.223333333333333 ; 
max.params ; 0.291923622887039 ; 0.116666666666667 ;  ; 0.301753102694499 ; 0.09 ; 
complexity ; 0.316312117406118 ; 0.0766666666666667 ;  ; 0.206322155065246 ; 0.35 ; 
max.depth ; 0.331768889452032 ; 0 ; * ; 0.242386558089647 ; 0.173333333333333 ; 
max.nested.callbacks ; 0.218381421295585 ; 0.45 ;  ; 0.330262385372283 ; 0.0433333333333333 ; *
