CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.213883083312944 ; 0.333333333333333 ;  ; 0.156318428877232 ; 0.83 ; 
NPathComplexity ; 0.143677312420784 ; 0.553333333333333 ;  ; 0.149172500222288 ; 0.79 ; 
ExcessiveMethodLength ; 0.208687151907628 ; 0.236666666666667 ;  ; 0.12611747089018 ; 0.92 ; 
ExcessiveClassLength ; 0.185656772152139 ; 0.606666666666667 ;  ; 0.253941024195844 ; 0.416666666666667 ; 
ExcessiveParameterList ; 0.370461766740707 ; 0.03 ; * ; 0.247487848764623 ; 0.363333333333333 ; 
ExcessivePublicCount ; 0.157930032749442 ; 0.576666666666667 ;  ; 0.165053547206239 ; 0.74 ; 
TooManyFields ; 0.144620815931537 ; 0.823333333333333 ;  ; 0.246317824633319 ; 0.333333333333333 ; 
TooManyMethods ; 0.163782300684998 ; 0.57 ;  ; 0.105142250505662 ; 0.98 ; 
TooManyPublicMethods ; 0.126315865575829 ; 0.426666666666667 ;  ; 0.143016174544432 ; 0.736666666666667 ; 
ExcessiveClassComplexity ; 0.147572220968681 ; 0.68 ;  ; 0.174409586223807 ; 0.61 ; 
NumberOfChildren ; 0.230110368060247 ; 0.11 ;  ; 0.0870635925996341 ; 0.933333333333333 ; 
DepthOfInheritance ; 0.086268048709264 ; 0.196666666666667 ;  ; 0.112922972962556 ; 0.0166666666666667 ; *
CouplingBetweenObjects ; 0.286384953702153 ; 0.18 ;  ; 0.209133539854527 ; 0.53 ; 
DevelopmentCodeFragment ; 0.282148022270612 ; 0.153333333333333 ;  ; 0.227849459324466 ; 0.413333333333333 ; 
UnusedPrivateField ; 0.311641280556944 ; 0.01 ; * ; 0.163330584641095 ; 0.573333333333333 ; 
UnusedLocalVariable ; 0.106785103645777 ; 0.96 ;  ; 0.218776764884215 ; 0.55 ; 
UnusedPrivateMethod ; 0.268614549790722 ; 0.17 ;  ; 0.160518176868288 ; 0.666666666666667 ; 
UnusedFormalParameter ; 0.19063545364641 ; 0.596666666666667 ;  ; 0.252372071658515 ; 0.42 ; 
embed.JS ; 0.159106078879699 ; 0.456666666666667 ;  ; 0.134470884524744 ; 0.883333333333333 ; 
inline.JS ; 0.15063701554214 ; 0.703333333333333 ;  ; 0.242682202264842 ; 0.346666666666667 ; 
embed.CSS ; 0.175404225031962 ; 0.303333333333333 ;  ; 0.152446013443771 ; 0.79 ; 
inline.CSS ; 0.208929702150739 ; 0.426666666666667 ;  ; 0.251014519308088 ; 0.22 ; 
css.in.JS ; 0.151404823578158 ; 0.51 ;  ; 0.222282927213773 ; 0.563333333333333 ; 
css.in.JS..jquery ; 0.230457098001281 ; 0.55 ;  ; 0.228073625205932 ; 0.506666666666667 ; 
max.lines ; 0.195832007129085 ; 0.416666666666667 ;  ; 0.135098753370342 ; 0.783333333333333 ; 
max.lines.per.function ; 0.129983290739484 ; 0.643333333333333 ;  ; 0.118856990386905 ; 0.896666666666667 ; 
max.params ; 0.240286531207086 ; 0.363333333333333 ;  ; 0.270608612321306 ; 0.18 ; 
complexity ; 0.219248127790106 ; 0.296666666666667 ;  ; 0.176172572255058 ; 0.44 ; 
max.depth ; 0.17737662343556 ; 0.593333333333333 ;  ; 0.173506890925989 ; 0.593333333333333 ; 
max.nested.callbacks ; 0.326890943506081 ; 0.05 ; * ; 0.239938619031606 ; 0.273333333333333 ; 
