CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.167024468365269 ; 0.773333333333333 ;  ; 0.224834142017831 ; 0.436666666666667 ; 
NPathComplexity ; 0.167024468365269 ; 0.773333333333333 ;  ; 0.224834142017831 ; 0.436666666666667 ; 
ExcessiveMethodLength ; 0.167024468365269 ; 0.773333333333333 ;  ; 0.224834142017831 ; 0.436666666666667 ; 
ExcessiveClassLength ; 0.188878316414517 ; 0.63 ;  ; 0.223951136351348 ; 0.46 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyFields ; 0.165202434735256 ; 0.723333333333333 ;  ; 0.214079779477751 ; 0.403333333333333 ; 
TooManyMethods ; 0.165202434735256 ; 0.723333333333333 ;  ; 0.214079779477751 ; 0.403333333333333 ; 
TooManyPublicMethods ; 0.165202434735256 ; 0.733333333333333 ;  ; 0.214079779477751 ; 0.446666666666667 ; 
ExcessiveClassComplexity ; 0.145005985477021 ; 0.773333333333333 ;  ; 0.266488716924387 ; 0.23 ; 
NumberOfChildren ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.165202434735256 ; 0.733333333333333 ;  ; 0.214079779477751 ; 0.446666666666667 ; 
DevelopmentCodeFragment ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedLocalVariable ; 0.145005985477021 ; 0.773333333333333 ;  ; 0.266488716924387 ; 0.23 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.1561266101366 ; 0.383333333333333 ;  ; 0.154227937342878 ; 0.586666666666667 ; 
embed.JS ; 0.345182669641685 ; 0.246666666666667 ;  ; 0.356940528020982 ; 0.236666666666667 ; 
inline.JS ; 0.284060449368336 ; 0.33 ;  ; 0.338355924679891 ; 0.173333333333333 ; 
embed.CSS ; 0.281047044372054 ; 0.45 ;  ; 0.365113575386738 ; 0.233333333333333 ; 
inline.CSS ; 0.194415014832163 ; 0.676666666666667 ;  ; 0.328165773373247 ; 0.166666666666667 ; 
css.in.JS ; 0.282813969181477 ; 0.23 ;  ; 0.192387501706322 ; 0.776666666666667 ; 
css.in.JS..jquery ; 0.281047044372054 ; 0.45 ;  ; 0.365113575386738 ; 0.233333333333333 ; 
max.lines ; 0.215358804879954 ; 0.656666666666667 ;  ; 0.129901387640602 ; 0.95 ; 
max.lines.per.function ; 0.262688235883497 ; 0.42 ;  ; 0.325769859549006 ; 0.36 ; 
max.params ; 0.178188068126899 ; 0.77 ;  ; 0.276577715835334 ; 0.51 ; 
complexity ; 0.129507676616352 ; 0.913333333333333 ;  ; 0.174818455251712 ; 0.726666666666667 ; 
max.depth ; 0.197836547515317 ; 0 ; * ; 0.173141030458969 ; 0.816666666666667 ; 
max.nested.callbacks ; 0.243205337784913 ; 0 ; * ; 0.238586962612637 ; 0.586666666666667 ; 
