1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
3;CyclomaticComplexity ; 0.107499483730946 ; 0.946666666666667 ; 0.539221512340723 ; 0.286666666666667 ; 0.356690053170099 ; 0.67 ; 0.27774738583561 ; 0.993333333333333 ; 0.166155067337018 ; 0.846666666666667 ; 0.235608479787942 ; 0 ; 0.182835186822226 ; 0.45 ; 0.372439811509187 ; 0.496666666666667 ; 0.281970881615539 ; 0.9 ; 0.0896845535980492 ; 0.976666666666667 
4;NPathComplexity ; 0.103198419962246 ; 0.94 ; 0.539221512340723 ; 0.286666666666667 ; 0.217512449628104 ; 0.99 ; 0.27774738583561 ; 0.993333333333333 ; 0.170536562764055 ; 0.686666666666667 ; 0.199287844734581 ; 0.00666666666666667 ; 0.195573809058833 ; 0.396666666666667 ; 0.372439811509187 ; 0.496666666666667 ; 0.284485278306456 ; 0.853333333333333 ; 0.127868810484528 ; 0.94 
5;ExcessiveMethodLength ; 0.12343173934903 ; 0 ; 0.414303642623216 ; 0.633333333333333 ; 0.356690053170099 ; 0 ; 0.27774738583561 ; 0.993333333333333 ; 0.191425743672908 ; 0.63 ; 0.260303370302441 ; 0.41 ; 0.320357202951265 ; 0.2 ; 0.372439811509187 ; 0.496666666666667 ; 0.326814909620222 ; 0.66 ; 0.123032167970489 ; 0.723333333333333 
6;ExcessiveClassLength ; 0.108741005348455 ; 0.946666666666667 ; 0.357387868164108 ; 0.88 ; 0.428803812004375 ; 0.06 ; 0.467189420501342 ; 0.563333333333333 ; 0.240165700467175 ; 0.576666666666667 ; 0.236804494131464 ; 0.54 ; 0.241098141515977 ; 0.7 ; 0.199784152091939 ; 0.823333333333333 ; 0.281970881615539 ; 0.876666666666667 ; 0 ; 0 
7;ExcessiveParameterList ; 0.0843017387994315 ; 0.743333333333333 ; 0 ; 0 ; 0.511397557590649 ; 0.426666666666667 ; 0.373670364543252 ; 0.85 ; 0.310371285095385 ; 0.503333333333333 ; 0 ; 0 ; 0.180985431020222 ; 0.923333333333333 ; 0 ; 0 ; 0.257592371576353 ; 0.893333333333333 ; 0.162354959627037 ; 0.616666666666667 
8;ExcessivePublicCount ; 0.114776234963173 ; 0.92 ; 0.406314853241891 ; 0.7 ; 0.356690053170099 ; 0.83 ; 0.446334319333478 ; 0.816666666666667 ; 0.170680423740166 ; 0.72 ; 0.263944679552202 ; 0.273333333333333 ; 0.312734339325236 ; 0.376666666666667 ; 0 ; 0 ; 0.38560059627218 ; 0.653333333333333 ; 0 ; 0 
9;TooManyFields ; 0.104640290211975 ; 0.886666666666667 ; 0.406314853241891 ; 0.68 ; 1 ;  all cs=1 ; 0.465823760512743 ; 0.846666666666667 ; 0.180251707945397 ; 0.883333333333333 ; 0.275531021365791 ; 0.526666666666667 ; 0.315789443577255 ; 0.19 ; 0.164134370659662 ; 0.936666666666667 ; 0.294992372011407 ; 0.873333333333333 ; 0 ; 0 
10;TooManyMethods ; 0.190558823156485 ; 0.866666666666667 ; 0.406314853241891 ; 0.76 ; 0.356690053170099 ; 0.83 ; 0.433029200006237 ; 0.8 ; 0.180424916348869 ; 0.82 ; 0.218283128453043 ; 0.686666666666667 ; 0.292204574215627 ; 0.366666666666667 ; 0.164134370659662 ; 0.936666666666667 ; 0.314913627769325 ; 0 ; 0 ; 0 
11;TooManyPublicMethods ; 0.142947606246765 ; 0.606666666666667 ; 0.539221512340723 ; 0.286666666666667 ; 0.356690053170099 ; 0 ; 0.397010562157339 ; 0.85 ; 0.168539238438703 ; 0.453333333333333 ; 0.193847885913639 ; 0.86 ; 0.253687868321782 ; 0.55 ; 0.269576621864739 ; 0.713333333333333 ; 0.326814909620222 ; 0.763333333333333 ; 0.0533418252257251 ; 0.953333333333333 
12;ExcessiveClassComplexity ; 0.131501404474396 ; 0.846666666666667 ; 0.414303642623216 ; 0.57 ; 0.428803812004375 ; 0.296666666666667 ; 0.433029200006237 ; 0.656666666666667 ; 0.17882774561595 ; 0.806666666666667 ; 0.130297623533757 ; 0.0333333333333333 ; 0.228025950838729 ; 0 ; 0.21586578670275 ; 0.856666666666667 ; 0.340659566631433 ; 0.606666666666667 ; 0.120792746060764 ; 0.883333333333333 
13;NumberOfChildren ; 0.198840511666924 ; 0.806666666666667 ; 0 ; 0 ; 0 ; 0 ; 0.251784679822441 ; 0.993333333333333 ; 0.15650274648301 ; 0.82 ; 0.245197436095743 ; 0.62 ; 0.184096566370399 ; 0.776666666666667 ; 1 ;  all cs=1 ; 0.314913627769325 ; 0.313333333333333 ; 0.151853290310047 ; 0.726666666666667 
14;DepthOfInheritance ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0128672776629295 ; 0.843333333333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 
