CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.281970881615539 ; 0.9 ;  ; 0.372479032979489 ; 0.77 ; 
NPathComplexity ; 0.284485278306456 ; 0.853333333333333 ;  ; 0.411364352006412 ; 0.656666666666667 ; 
ExcessiveMethodLength ; 0.326814909620222 ; 0.66 ;  ; 0.394207417005677 ; 0.686666666666667 ; 
ExcessiveClassLength ; 0.281970881615539 ; 0.876666666666667 ;  ; 0.463833221928688 ; 0.45 ; 
ExcessiveParameterList ; 0.257592371576353 ; 0.893333333333333 ;  ; 0.394454053427175 ; 0.62 ; 
ExcessivePublicCount ; 0.38560059627218 ; 0.653333333333333 ;  ; 0.478355891472069 ; 0.363333333333333 ; 
TooManyFields ; 0.294992372011407 ; 0.873333333333333 ;  ; 0.450115441186617 ; 0.35 ; 
TooManyMethods ; 0.314913627769325 ; 0 ; * ; 0.191735469018401 ; 0.96 ; 
TooManyPublicMethods ; 0.326814909620222 ; 0.763333333333333 ;  ; 0.364316163050604 ; 0.85 ; 
ExcessiveClassComplexity ; 0.340659566631433 ; 0.606666666666667 ;  ; 0.388612909167005 ; 0.74 ; 
NumberOfChildren ; 0.314913627769325 ; 0.313333333333333 ;  ; 0.219076863128437 ; 0.94 ; 
DepthOfInheritance ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.356888422094948 ; 0.746666666666667 ;  ; 0.300607110509121 ; 0.836666666666667 ; 
DevelopmentCodeFragment ; 0.356888422094948 ; 0.736666666666667 ;  ; 0.252862949510731 ; 0.953333333333333 ; 
UnusedPrivateField ; 0.294992372011407 ; 0.79 ;  ; 0.376639164224538 ; 0.353333333333333 ; 
UnusedLocalVariable ; 0.246820330822951 ; 0.913333333333333 ;  ; 0.379511480505167 ; 0.803333333333333 ; 
UnusedPrivateMethod ; 0.382141629943457 ; 0.576666666666667 ;  ; 0.262140252818459 ; 0.883333333333333 ; 
UnusedFormalParameter ; 0.304063466780817 ; 0 ; * ; 0.211764815340362 ; 0.846666666666667 ; 
embed.JS ; 0.326814909620222 ; 0.586666666666667 ;  ; 0.228369276013247 ; 0.83 ; 
inline.JS ; 0.326814909620222 ; 0.586666666666667 ;  ; 0.228369276013247 ; 0.83 ; 
embed.CSS ; 0.326814909620222 ; 0.706666666666667 ;  ; 0.310900767662826 ; 0.746666666666667 ; 
inline.CSS ; 0.294992372011407 ; 0.806666666666667 ;  ; 0.483044053535083 ; 0.476666666666667 ; 
css.in.JS ; 0.326814909620222 ; 0.676666666666667 ;  ; 0.0430814140565607 ; 1 ; 
css.in.JS..jquery ; 0.314913627769325 ; 0.81 ;  ; 0.288279392743963 ; 0.913333333333333 ; 
max.lines ; 0.326814909620222 ; 0.793333333333333 ;  ; 0.175170244366843 ; 0.976666666666667 ; 
max.lines.per.function ; 0.381798176233417 ; 0.696666666666667 ;  ; 0.29420531599748 ; 0.913333333333333 ; 
max.params ; 0.326814909620222 ; 0.833333333333333 ;  ; 0.392453777236102 ; 0.583333333333333 ; 
complexity ; 0.475084797831512 ; 0.363333333333333 ;  ; 0.425209009017623 ; 0.65 ; 
max.depth ; 0.475084797831512 ; 0.323333333333333 ;  ; 0.355291055759272 ; 0.876666666666667 ; 
max.nested.callbacks ; 0.356888422094948 ; 0.673333333333333 ;  ; 0.234181013920128 ; 0.91 ; 
