CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.359311894828564 ; 0.633333333333333 ;  ; 0.172805023523752 ; 0.963333333333333 ; 
NPathComplexity ; 0.359311894828564 ; 0.633333333333333 ;  ; 0.172805023523752 ; 0.963333333333333 ; 
ExcessiveMethodLength ; 0.359311894828564 ; 0.523333333333333 ;  ; 0.198279853328774 ; 0.923333333333333 ; 
ExcessiveClassLength ; 0.289133036484563 ; 0.9 ;  ; 0.360472314273938 ; 0.643333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0.286057647904521 ; 0.906666666666667 ;  ; 0.0937954265685694 ; 0.986666666666667 ; 
TooManyFields ; 0.286057647904521 ; 0.74 ;  ; 0.345240316144638 ; 0.52 ; 
TooManyMethods ; 0.286057647904521 ; 0.906666666666667 ;  ; 0.21238163230119 ; 0.893333333333333 ; 
TooManyPublicMethods ; 0.359311894828564 ; 0.633333333333333 ;  ; 0.0691421314197489 ; 0.993333333333333 ; 
ExcessiveClassComplexity ; 0.359311894828564 ; 0.716666666666667 ;  ; 0.183051646421493 ; 0.96 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.268954122051803 ; 0.876666666666667 ;  ; 0.460216706484794 ; 0.16 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.289133036484563 ; 0.72 ;  ; 0.176886639484248 ; 0.933333333333333 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.218264704887064 ; 0.93 ;  ; 0.252194268457641 ; 0.79 ; 
embed.JS ; 0.236965974117215 ; 0.97 ;  ; 0.221755302143274 ; 0.803333333333333 ; 
inline.JS ; 0.268954122051803 ; 0.926666666666667 ;  ; 0.351489982318296 ; 0.546666666666667 ; 
embed.CSS ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
inline.CSS ; 0.359311894828565 ; 0.626666666666667 ;  ; 0.138706973359743 ; 0.963333333333333 ; 
css.in.JS ; 0.178429637539077 ; 0.976666666666667 ;  ; 0.384532466053639 ; 0.143333333333333 ; 
css.in.JS..jquery ; 0.236965974117215 ; 0.643333333333333 ;  ; 0.270797252348981 ; 0.58 ; 
max.lines ; 0.268954122051803 ; 0.923333333333333 ;  ; 0.381603394770743 ; 0.293333333333333 ; 
max.lines.per.function ; 0.0990151712558338 ; 0 ; * ; 0.111654702731262 ; 0.613333333333333 ; 
max.params ; 0.0990151712558338 ; 0 ; * ; 0.111654702731262 ; 0.613333333333333 ; 
complexity ; 0.0990151712558338 ; 0 ; * ; 0.111654702731262 ; 0.613333333333333 ; 
max.depth ; 0.236965974117215 ; 0 ; * ; 0.192668950205965 ; 0.723333333333333 ; 
max.nested.callbacks ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
