CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.149623241430125 ; 0.986666666666667 ;  ; 0.379301285197221 ; 0.15 ; 
NPathComplexity ; 0.149623241430125 ; 0.986666666666667 ;  ; 0.379301285197221 ; 0.15 ; 
ExcessiveMethodLength ; 0.149623241430125 ; 0.986666666666667 ;  ; 0.379301285197221 ; 0.15 ; 
ExcessiveClassLength ; 0.368395201903199 ; 0.87 ;  ; 0.409438904883195 ; 0.07 ; 
ExcessiveParameterList ; 0.223286912077575 ; 0.993333333333333 ;  ; 0.254942421832061 ; 0.61 ; 
ExcessivePublicCount ; 0.368395201903199 ; 0.883333333333333 ;  ; 0.41333599706684 ; 0.156666666666667 ; 
TooManyFields ; 0.368395201903199 ; 0.6 ;  ; 0.287502224226436 ; 0.67 ; 
TooManyMethods ; 0.296205930719001 ; 0.97 ;  ; 0.412593835116822 ; 0.16 ; 
TooManyPublicMethods ; 0.368395201903199 ; 0.89 ;  ; 0.246606814313296 ; 0.73 ; 
ExcessiveClassComplexity ; 0.296205930719001 ; 0.976666666666667 ;  ; 0.396622069372867 ; 0.136666666666667 ; 
NumberOfChildren ; 0.296205930719001 ; 0.966666666666667 ;  ; 0.335792813925022 ; 0.19 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.296205930719001 ; 0.96 ;  ; 0.274549320054329 ; 0.453333333333333 ; 
DevelopmentCodeFragment ; 0.149623241430125 ; 0.986666666666667 ;  ; 0.379301285197221 ; 0.15 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.149623241430125 ; 0.996666666666667 ;  ; 0.337530280127184 ; 0.323333333333333 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.368395201903199 ; 0.703333333333333 ;  ; 0.437560183996495 ; 0.106666666666667 ; 
embed.JS ; 0.368395201903199 ; 0.36 ;  ; 0.491474030219295 ; 0.0633333333333333 ; 
inline.JS ; 0.296205930719001 ; 0 ; * ; 0.218863837356176 ; 0.666666666666667 ; 
embed.CSS ; 0.296205930719001 ; 0 ; * ; 0.250734453039277 ; 0.433333333333333 ; 
inline.CSS ; 0.368395201903199 ; 0 ; * ; 0.311967590363053 ; 0.55 ; 
css.in.JS ; 0.223286912077575 ; 0.923333333333333 ;  ; 0.245730682826412 ; 0.436666666666667 ; 
css.in.JS..jquery ; 0.296205930719001 ; 0.99 ;  ; 0.318340610153555 ; 0.253333333333333 ; 
max.lines ; 0.223286912077575 ; 0.933333333333333 ;  ; 0.222943033060006 ; 0.846666666666667 ; 
max.lines.per.function ; 0.296205930719001 ; 0.883333333333333 ;  ; 0.227040166445605 ; 0.803333333333333 ; 
max.params ; 0.368395201903199 ; 0.7 ;  ; 0.329939324614442 ; 0.423333333333333 ; 
complexity ; 0.296205930719001 ; 0.633333333333333 ;  ; 0.360111427758252 ; 0.33 ; 
max.depth ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
max.nested.callbacks ; 0.296205930719001 ; 0.886666666666667 ;  ; 0.432671576368432 ; 0.03 ; *
