CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.16365452277533 ; 0.883333333333333 ;  ; 0.206297280553897 ; 0.23 ; 
NPathComplexity ; 0.142194356429794 ; 0.93 ;  ; 0.128910488343506 ; 0.956666666666667 ; 
ExcessiveMethodLength ; 0.140629917933284 ; 0 ; * ; 0.0857819721223514 ; 0.936666666666667 ; 
ExcessiveClassLength ; 0.168672753332953 ; 0.873333333333333 ;  ; 0.206450987773354 ; 0.236666666666667 ; 
ExcessiveParameterList ; 0.0772569657086961 ; 0.933333333333333 ;  ; 0.0931423903279241 ; 0.98 ; 
ExcessivePublicCount ; 0.152486691593754 ; 0.913333333333333 ;  ; 0.168483172846665 ; 0.623333333333333 ; 
TooManyFields ; 0.146630545285115 ; 0.866666666666667 ;  ; 0.113516110984802 ; 0.956666666666667 ; 
TooManyMethods ; 0.267116585134945 ; 0.66 ;  ; 0.326777435147357 ; 0.0433333333333333 ; *
TooManyPublicMethods ; 0.132746733007689 ; 0.95 ;  ; 0.172071808670444 ; 0.4 ; 
ExcessiveClassComplexity ; 0.169256117170332 ; 0.86 ;  ; 0.202359223316087 ; 0.363333333333333 ; 
NumberOfChildren ; 0.239327025354428 ; 0.93 ;  ; 0.198363004202345 ; 0.64 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.216323036544218 ; 0.956666666666667 ;  ; 0.243796242156104 ; 0.433333333333333 ; 
DevelopmentCodeFragment ; 0.149037926301155 ; 0.00666666666666667 ; * ; 0.10201040847081 ; 0.933333333333333 ; 
UnusedPrivateField ; 0.168786638423863 ; 0.876666666666667 ;  ; 0.159488832648603 ; 0.9 ; 
UnusedLocalVariable ; 0.192009806522339 ; 0.93 ;  ; 0.172239569570287 ; 0.656666666666667 ; 
UnusedPrivateMethod ; 0.212954881574167 ; 0.543333333333333 ;  ; 0.214668741465648 ; 0.2 ; 
UnusedFormalParameter ; 0.253507950946266 ; 0.693333333333333 ;  ; 0.208354216488332 ; 0.57 ; 
embed.JS ; 0.218633797840304 ; 0.796666666666667 ;  ; 0.187471812414459 ; 0.803333333333333 ; 
inline.JS ; 0.26428756183181 ; 0.393333333333333 ;  ; 0.239094930872971 ; 0.416666666666667 ; 
embed.CSS ; 0.259974474760594 ; 0.756666666666667 ;  ; 0.245634941062174 ; 0.34 ; 
inline.CSS ; 0.317801645879248 ; 0.223333333333333 ;  ; 0.275819847772331 ; 0.156666666666667 ; 
css.in.JS ; 0.200293707123506 ; 0.96 ;  ; 0.236354767168741 ; 0.413333333333333 ; 
css.in.JS..jquery ; 0.142198376611032 ; 0.856666666666667 ;  ; 0.160596374328885 ; 0.84 ; 
max.lines ; 0.145419934625818 ; 1 ;  ; 0.138715484576693 ; 0.953333333333333 ; 
max.lines.per.function ; 0.218124300577863 ; 0.986666666666667 ;  ; 0.229090561568019 ; 0.543333333333333 ; 
max.params ; 0.250858638040435 ; 0.596666666666667 ;  ; 0.23701497931569 ; 0.183333333333333 ; 
complexity ; 0.257673655025167 ; 0.536666666666667 ;  ; 0.187576295011415 ; 0.523333333333333 ; 
max.depth ; 0.128503154599617 ; 0.673333333333333 ;  ; 0.0862175068990869 ; 0.993333333333333 ; 
max.nested.callbacks ; 0.1602301843065 ; 0.39 ;  ; 0.139911216655824 ; 0.883333333333333 ; 
