CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.177458689209967 ; 0.00333333333333333 ; * ; 0.11693415328113 ; 0.916666666666667 ; 
NPathComplexity ; 0.174882520339834 ; 0.00333333333333333 ; * ; 0.107993338795391 ; 0.936666666666667 ; 
ExcessiveMethodLength ; 0.182854945938842 ; 0.886666666666667 ;  ; 0.195194865546499 ; 0.853333333333333 ; 
ExcessiveClassLength ; 0.155507504181899 ; 0.93 ;  ; 0.188738949099463 ; 0.786666666666667 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.236242836062929 ; 0.713333333333333 ;  ; 0.212006467077045 ; 0.82 ; 
TooManyFields ; 0.180468583716509 ; 0.97 ;  ; 0.131535330165206 ; 0.98 ; 
TooManyMethods ; 0.151982075954848 ; 0.943333333333333 ;  ; 0.205045631955159 ; 0.763333333333333 ; 
TooManyPublicMethods ; 0.171517838866337 ; 0.923333333333333 ;  ; 0.11732221709963 ; 0.973333333333333 ; 
ExcessiveClassComplexity ; 0.117970233434133 ; 0.01 ; * ; 0.154145246953389 ; 0.826666666666667 ; 
NumberOfChildren ; 0.13171845268864 ; 0.996666666666667 ;  ; 0.22988482061672 ; 0.603333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.21722450680614 ; 0.68 ;  ; 0.152878555326998 ; 0.74 ; 
DevelopmentCodeFragment ; 0.18651080569918 ; 0.686666666666667 ;  ; 0.128925871079598 ; 0.966666666666667 ; 
UnusedPrivateField ; 0.0805670317604615 ; 1 ;  ; 0.222669402650623 ; 0.316666666666667 ; 
UnusedLocalVariable ; 0.177843351061761 ; 0.0166666666666667 ; * ; 0.110705613082127 ; 0.986666666666667 ; 
UnusedPrivateMethod ; 0.0973152450639491 ; 0.986666666666667 ;  ; 0.127124418838721 ; 0.84 ; 
UnusedFormalParameter ; 0.17517533137316 ; 0 ; * ; 0.175389159781876 ; 0.71 ; 
embed.JS ; 0.220981341587992 ; 0.913333333333333 ;  ; 0.361889684388657 ; 0.19 ; 
inline.JS ; 0.0836477259050402 ; 0.996666666666667 ;  ; 0.206212739023159 ; 0.536666666666667 ; 
embed.CSS ; 0.174180450400342 ; 0.756666666666667 ;  ; 0.142931455312147 ; 0.916666666666667 ; 
inline.CSS ; 0.108918953444579 ; 0.9 ;  ; 0.223572373521445 ; 0.246666666666667 ; 
css.in.JS ; 0.25622962297126 ; 0.366666666666667 ;  ; 0.217343100385791 ; 0.716666666666667 ; 
css.in.JS..jquery ; 0.110068016334121 ; 1 ;  ; 0.125559939761644 ; 0.973333333333333 ; 
max.lines ; 0.155507504181899 ; 0.896666666666667 ;  ; 0.211545914808282 ; 0.59 ; 
max.lines.per.function ; 0.101350223210908 ; 0.996666666666667 ;  ; 0.177986684738356 ; 0.936666666666667 ; 
max.params ; 0.155599644041817 ; 0.973333333333333 ;  ; 0.346719458922029 ; 0.0666666666666667 ; 
complexity ; 0.155507504181899 ; 0.88 ;  ; 0.194250279086731 ; 0.5 ; 
max.depth ; 0.158103649931816 ; 0.96 ;  ; 0.152438498515889 ; 0.95 ; 
max.nested.callbacks ; 0.0644036259983361 ; 1 ;  ; 0.212671392961496 ; 0.556666666666667 ; 
