CS; r^2; p; issig
CyclomaticComplexity ; 0.29192567146743 ; 0.00205506327163732 ; *
NPathComplexity ; 0.25528897292287 ; 0.0044001696032559 ; *
ExcessiveMethodLength ; 0.246186637268137 ; 0.0052933372203464 ; *
ExcessiveClassLength ; 0.355375928408131 ; 0.00050831232260456 ; *
ExcessiveParameterList ; 0.12561372565745 ; 0.0546488437566787 ; 
ExcessivePublicCount ; 0.0699780261941062 ; 0.157757315076126 ; 
TooManyFields ; 0.238279044500348 ; 0.00620725498141914 ; *
TooManyMethods ; 0.0889982613148306 ; 0.109316614136319 ; 
TooManyPublicMethods ; 0.185840459922855 ; 0.0173891725472364 ; *
ExcessiveClassComplexity ; 0.356818587167247 ; 0.000491767135752112 ; *
NumberOfChildren ; 0.0313658455618487 ; 0.349144239342068 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0288894280236412 ; 0.369207557396984 ; 
DevelopmentCodeFragment ; 0.0753161178782278 ; 0.14220334590568 ; 
UnusedPrivateField ; 0 ; 0 ; 
UnusedLocalVariable ; 0.048839372814718 ; 0.240558035646966 ; 
UnusedPrivateMethod ; 0.00437490568191236 ; 0.728390529627294 ; 
UnusedFormalParameter ; 0.319498724180073 ; 0.00113494566300373 ; *
embed.JS ; 0.00233591995058444 ; 0.799788095127049 ; 
inline.JS ; 0.0185425887528734 ; 0.473065018841103 ; 
embed.CSS ; 0.342937731173404 ; 0.000674370215081653 ; *
inline.CSS ; 0.0192829617322228 ; 0.464276541621667 ; 
css.in.JS ; 0.164990303246938 ; 0.0259289531829115 ; *
css.in.JS..jquery ; 0.0436587364363379 ; 0.267816145005362 ; 
max.lines ; 0.346411233978029 ; 0.000623471052381525 ; *
max.lines.per.function ; 0.249638724659812 ; 0.00493597446955713 ; *
max.params ; 0.0673129879355023 ; 0.166201827013433 ; 
complexity ; 0.0355051611481836 ; 0.318677730229319 ; 
max.depth ; 0.0478102466254873 ; 0.245702787379459 ; 
max.nested.callbacks ; 0.0409540277409248 ; 0.283505172820729 ; 
