CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.105193953645782 ; 0.693333333333333 ;  ; 0.0935951931436657 ; 0.796666666666667 ; 
NPathComplexity ; 0.105193953645782 ; 0.693333333333333 ;  ; 0.0935951931436657 ; 0.796666666666667 ; 
ExcessiveMethodLength ; 0.105193953645782 ; 0.693333333333333 ;  ; 0.0935951931436657 ; 0.796666666666667 ; 
ExcessiveClassLength ; 0.154171787785244 ; 0.486666666666667 ;  ; 0.141083386380855 ; 0.643333333333333 ; 
ExcessiveParameterList ; 0.105193953645782 ; 0 ; * ; 0.0602061633960591 ; 0.87 ; 
ExcessivePublicCount ; 0.251295788219471 ; 0.17 ;  ; 0.188923126432849 ; 0.346666666666667 ; 
TooManyFields ; 0.0906294277445053 ; 0.87 ;  ; 0.107014167718296 ; 0.783333333333333 ; 
TooManyMethods ; 0.246611548737933 ; 0.163333333333333 ;  ; 0.19027344395327 ; 0.363333333333333 ; 
TooManyPublicMethods ; 0.0906294277445053 ; 0.0333333333333333 ; * ; 0.0736251379706889 ; 0.853333333333333 ; 
ExcessiveClassComplexity ; 0.154171787785244 ; 0.52 ;  ; 0.154171787785244 ; 0.54 ; 
NumberOfChildren ; 0.0935678145619319 ; 0.02 ; * ; 0.119863618450173 ; 0.663333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0935678145619319 ; 0.02 ; * ; 0.119863618450173 ; 0.663333333333333 ; 
DevelopmentCodeFragment ; 0.174501296917774 ; 0.716666666666667 ;  ; 0.206739109692641 ; 0.296666666666667 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.174501296917774 ; 0.06 ;  ; 0.209656501084956 ; 0.263333333333333 ; 
UnusedPrivateMethod ; 0.135425779715147 ; 0.473333333333333 ;  ; 0.335532797060774 ; 0.01 ; *
UnusedFormalParameter ; 0.0906294277445053 ; 0.0433333333333333 ; * ; 0.0736251379706889 ; 0.833333333333333 ; 
embed.JS ; 0.174501296917774 ; 0.0266666666666667 ; * ; 0.188494292252998 ; 0.353333333333333 ; 
inline.JS ; 0.174501296917774 ; 0.03 ; * ; 0.0802520755626256 ; 0.82 ; 
embed.CSS ; 0.0906294277445053 ; 0.0433333333333333 ; * ; 0.0736251379706889 ; 0.833333333333333 ; 
inline.CSS ; 0.174501296917774 ; 0.06 ;  ; 0.126932298267448 ; 0.633333333333333 ; 
css.in.JS ; 0.105193953645782 ; 0 ; * ; 0.0602061633960591 ; 0.873333333333333 ; 
css.in.JS..jquery ; 0.147095141659236 ; 0.00666666666666667 ; * ; 0.136873995170735 ; 0.706666666666667 ; 
max.lines ; 0.0906294277445053 ; 0.0333333333333333 ; * ; 0.0736251379706889 ; 0.853333333333333 ; 
max.lines.per.function ; 0.0906294277445053 ; 0.0333333333333333 ; * ; 0.0736251379706889 ; 0.853333333333333 ; 
max.params ; 0.207577809688911 ; 0.196666666666667 ;  ; 0.124738106084009 ; 0.663333333333333 ; 
complexity ; 0.212064328735039 ; 0.49 ;  ; 0.299737995515931 ; 0.0666666666666667 ; 
max.depth ; 0.133199626931638 ; 0.00333333333333333 ; * ; 0.242359993357673 ; 0.156666666666667 ; 
max.nested.callbacks ; 0.133199626931638 ; 0.713333333333333 ;  ; 0.288817490219546 ; 0.0433333333333333 ; *
