CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0667521084857274 ; 0.0466666666666667 ; * ; 0.031658068936448 ; 0.913333333333333 ; 
NPathComplexity ; 0.0613540410294528 ; 0.06 ;  ; 0.0316078396458661 ; 0.91 ; 
ExcessiveMethodLength ; 0.0653171538925209 ; 0.00333333333333333 ; * ; 0.0165997109973882 ; 0.996666666666667 ; 
ExcessiveClassLength ; 0.0673392203535735 ; 0.00666666666666667 ; * ; 0.0183221289242323 ; 0.97 ; 
ExcessiveParameterList ; 0.0613540410294528 ; 0.0233333333333333 ; * ; 0.0211622182189145 ; 0.96 ; 
ExcessivePublicCount ; 0.0673392203535735 ; 0.00333333333333333 ; * ; 0.0183221289242323 ; 0.976666666666667 ; 
TooManyFields ; 0.0613540410294528 ; 0.08 ;  ; 0.0270722028500259 ; 0.93 ; 
TooManyMethods ; 0.058315072263412 ; 0.0166666666666667 ; * ; 0.0415854024343768 ; 0.693333333333333 ; 
TooManyPublicMethods ; 0.0949130410630314 ; 0.00333333333333333 ; * ; 0.0339154558125225 ; 0.803333333333333 ; 
ExcessiveClassComplexity ; 0.0653171538925209 ; 0.00666666666666667 ; * ; 0.0165997109973882 ; 0.983333333333333 ; 
NumberOfChildren ; 0.143103607435714 ; 0 ; * ; 0.043478435989116 ; 0.716666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0653171538925209 ; 0 ; * ; 0.0165997109973882 ; 0.986666666666667 ; 
DevelopmentCodeFragment ; 0.120499643391838 ; 0 ; * ; 0.0554965977422052 ; 0.473333333333333 ; 
UnusedPrivateField ; 0.111581419496464 ; 0.00333333333333333 ; * ; 0.0198773086285731 ; 0.98 ; 
UnusedLocalVariable ; 0.10299392470687 ; 0 ; * ; 0.025054441634399 ; 0.926666666666667 ; 
UnusedPrivateMethod ; 0.0711006577091663 ; 0.0333333333333333 ; * ; 0.0321887429701201 ; 0.876666666666667 ; 
UnusedFormalParameter ; 0.0822788586739648 ; 0.00666666666666667 ; * ; 0.0441103045633619 ; 0.55 ; 
embed.JS ; 0.0580501277420922 ; 0.07 ;  ; 0.0534628825554337 ; 0.35 ; 
inline.JS ; 0.0573737609577056 ; 0.0766666666666667 ;  ; 0.0287245794466688 ; 0.876666666666667 ; 
embed.CSS ; 0.047022134679357 ; 0.19 ;  ; 0.0364391685320664 ; 0.733333333333333 ; 
inline.CSS ; 0.0355820345909053 ; 0.42 ;  ; 0.0364391685320664 ; 0.776666666666667 ; 
css.in.JS ; 0.0418269072287888 ; 0.503333333333333 ;  ; 0.0407346310193664 ; 0.656666666666667 ; 
css.in.JS..jquery ; 0.0980816161890405 ; 0 ; * ; 0.0194994979068999 ; 0.97 ; 
max.lines ; 0.0440282060628746 ; 0.16 ;  ; 0.0287139317659097 ; 0.913333333333333 ; 
max.lines.per.function ; 0.054329103229685 ; 0.0266666666666667 ; * ; 0.0251102518955239 ; 0.963333333333333 ; 
max.params ; 0.0508318907585222 ; 0.04 ; * ; 0.0222287839265757 ; 0.966666666666667 ; 
complexity ; 0.0499686195478341 ; 0.0166666666666667 ; * ; 0.0165989407646498 ; 0.993333333333333 ; 
max.depth ; 0.0498237282982402 ; 0.113333333333333 ;  ; 0.0266849552167663 ; 0.906666666666667 ; 
max.nested.callbacks ; 0.0792828450149183 ; 0 ; * ; 0.015550930690563 ; 0.993333333333333 ; 
