CS; r^2; p; issig
CyclomaticComplexity ; 0.00197390593252076 ; 0.714958945016414 ; 
NPathComplexity ; 0.0141226880116704 ; 0.327158734119657 ; 
ExcessiveMethodLength ; 0.0201006167039849 ; 0.241697126801597 ; 
ExcessiveClassLength ; 2.24845516254109e-06 ; 0.99017054861778 ; 
ExcessiveParameterList ; 0.0423158054621714 ; 0.0875600418500527 ; 
ExcessivePublicCount ; 0.180525565830245 ; 0.000246219203721486 ; *
TooManyFields ; 0.0507661283627353 ; 0.060743610308276 ; 
TooManyMethods ; 0.0969082807440866 ; 0.00871180383707314 ; *
TooManyPublicMethods ; 0.0314436494314072 ; 0.141955434325812 ; 
ExcessiveClassComplexity ; 0.00948505288193412 ; 0.422511777651845 ; 
NumberOfChildren ; 0.00731871198143373 ; 0.481331262906539 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0123922066632396 ; 0.358902567870995 ; 
DevelopmentCodeFragment ; 0.00280735391630775 ; 0.663109433861167 ; 
UnusedPrivateField ; 0.119611086014221 ; 0.00336192623113389 ; *
UnusedLocalVariable ; 0.0139974691595931 ; 0.329327989706394 ; 
UnusedPrivateMethod ; 0.0141566902575313 ; 0.326572915231379 ; 
UnusedFormalParameter ; 0.0302846953425307 ; 0.149640959105017 ; 
embed.JS ; 0.0249481740041253 ; 0.191578396184577 ; 
inline.JS ; 0.0353785972456917 ; 0.11892340927722 ; 
embed.CSS ; 0.0156861834632263 ; 0.301567579412639 ; 
inline.CSS ; 0.0560621113386721 ; 0.048440073999711 ; *
css.in.JS ; 0.0415800040812919 ; 0.0904231515462101 ; 
css.in.JS..jquery ; 0.0160500919146813 ; 0.295981970205102 ; 
max.lines ; 0.0606659111195483 ; 0.0398395715022382 ; *
max.lines.per.function ; 0.0029562168174178 ; 0.654845168241482 ; 
max.params ; 0.0118770794463455 ; 0.369148175382266 ; 
complexity ; 0.0125611625512858 ; 0.355626454738226 ; 
max.depth ; 0.00266553335744816 ; 0.671228076091752 ; 
max.nested.callbacks ; 0.0120479081554727 ; 0.365706689942642 ; 
