CS; r^2; p; issig
CyclomaticComplexity ; 0.106174284825347 ; 0.00915904928584212 ; *
NPathComplexity ; 0.0701206814673192 ; 0.035965312750729 ; *
ExcessiveMethodLength ; 0.0442336965301481 ; 0.09802962620415 ; 
ExcessiveClassLength ; 0.00939911042884743 ; 0.449719528358392 ; 
ExcessiveParameterList ; 0 ; 0 ; 
ExcessivePublicCount ; 0.0954723137224064 ; 0.0137392706270941 ; *
TooManyFields ; 0.000764182148988137 ; 0.829717831095421 ; 
TooManyMethods ; 0.0440391089403895 ; 0.0987885408327962 ; 
TooManyPublicMethods ; 0.107317586632083 ; 0.00877038314533646 ; *
ExcessiveClassComplexity ; 0.140057733201887 ; 0.00251437101154551 ; *
NumberOfChildren ; 0.0968826315932809 ; 0.0130246411241612 ; *
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0600082424280391 ; 0.0529885580880417 ; 
DevelopmentCodeFragment ; 0.000917979811016116 ; 0.813647810462071 ; 
UnusedPrivateField ; 0.0278680424284839 ; 0.190979269425991 ; 
UnusedLocalVariable ; 0.158075067352199 ; 0.00125233933781386 ; *
UnusedPrivateMethod ; 0.168033835227634 ; 0.000848702005323018 ; *
UnusedFormalParameter ; 0.125865395670768 ; 0.00433101172646097 ; *
embed.JS ; 0.237865178867099 ; 5.02844299010927e-05 ; *
inline.JS ; 0.20320755641386 ; 0.000209281391971506 ; *
embed.CSS ; 0.00045466077892143 ; 0.868256117590911 ; 
inline.CSS ; 0.217555755641865 ; 0.000116677748460192 ; *
css.in.JS ; 0.0804030423028894 ; 0.0243214388970014 ; *
css.in.JS..jquery ; 0.0786424626168736 ; 0.0260028552897151 ; *
max.lines ; 0.250401691688717 ; 2.96328232785896e-05 ; *
max.lines.per.function ; 0.133496941584232 ; 0.00323460239876808 ; *
max.params ; 0.0396513346773806 ; 0.117681220822921 ; 
complexity ; 0.0578255641347955 ; 0.0576426662772824 ; 
max.depth ; 0.00141083672226188 ; 0.77008393962631 ; 
max.nested.callbacks ; 0.190973294930864 ; 0.000342261600200583 ; *
