CS; r^2; p; issig
CyclomaticComplexity ; 0.0988027471606827 ; 0.00804808053846094 ; *
NPathComplexity ; 0.146631271905478 ; 0.00106882166776685 ; *
ExcessiveMethodLength ; 0.14125090486677 ; 0.00134476610917309 ; *
ExcessiveClassLength ; 0.0207582843820773 ; 0.234064739490235 ; 
ExcessiveParameterList ; 0.139026622119911 ; 0.00147835513855155 ; *
ExcessivePublicCount ; 0.119492115903507 ; 0.00337880953691457 ; *
TooManyFields ; 0.0215656972088578 ; 0.22508230463127 ; 
TooManyMethods ; 0.0934721317871084 ; 0.0100580035800551 ; *
TooManyPublicMethods ; 0.0458138750158406 ; 0.0752004667201773 ; 
ExcessiveClassComplexity ; 0.0969240094287604 ; 0.00870607470497874 ; *
NumberOfChildren ; 0.000325473078780394 ; 0.882157308889221 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0189897448240994 ; 0.255278047280433 ; 
DevelopmentCodeFragment ; 0.00157757771385836 ; 0.744079273654045 ; 
UnusedPrivateField ; 0.113412246700122 ; 0.00436312894921906 ; *
UnusedLocalVariable ; 0.159235566582537 ; 0.000621976046108818 ; *
UnusedPrivateMethod ; 0.022212079616863 ; 0.218183278734139 ; 
UnusedFormalParameter ; 0.0189322642420897 ; 0.25600550141992 ; 
embed.JS ; 0.0249481740041253 ; 0.191578396184577 ; 
inline.JS ; 0.0353785972456917 ; 0.11892340927722 ; 
embed.CSS ; 0.0156861834632263 ; 0.301567579412639 ; 
inline.CSS ; 0.0560621113386721 ; 0.048440073999711 ; *
css.in.JS ; 0.0415800040812919 ; 0.0904231515462101 ; 
css.in.JS..jquery ; 0.0160500919146813 ; 0.295981970205102 ; 
max.lines ; 0.0606659111195483 ; 0.0398395715022382 ; *
max.lines.per.function ; 0.0029562168174178 ; 0.654845168241482 ; 
max.params ; 0.0118770794463455 ; 0.369148175382266 ; 
complexity ; 0.0125611625512858 ; 0.355626454738226 ; 
max.depth ; 0.00266553335744816 ; 0.671228076091752 ; 
max.nested.callbacks ; 0.0120479081554727 ; 0.365706689942642 ; 
