CS; r^2; p; issig
CyclomaticComplexity ; 0.0192746508699782 ; 0.498796706484886 ; 
NPathComplexity ; 0.0192819454012526 ; 0.498714678927066 ; 
ExcessiveMethodLength ; 0.0186316561992696 ; 0.506115977618653 ; 
ExcessiveClassLength ; 0.0177092010463177 ; 0.516935278485927 ; 
ExcessiveParameterList ; 0.00577755433289753 ; 0.712089905663863 ; 
ExcessivePublicCount ; 0.00104050447603465 ; 0.875694552107808 ; 
TooManyFields ; 1 ;  all cs=1 ; 
TooManyMethods ; 0.000980792791496795 ; 0.879287656772773 ; 
TooManyPublicMethods ; 3.92762455698305e-05 ; 0.975760395471253 ; 
ExcessiveClassComplexity ; 0.0148503669023361 ; 0.553158212039687 ; 
NumberOfChildren ; 6.4242511988406e-05 ; 0.96900211577023 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0139779705782594 ; 0.565139763064038 ; 
DevelopmentCodeFragment ; 0.00791766143599187 ; 0.665551011364051 ; 
UnusedPrivateField ; 0.021937158022227 ; 0.470245006323035 ; 
UnusedLocalVariable ; 0.00825087221151933 ; 0.658994989123884 ; 
UnusedPrivateMethod ; 0.00935205167609727 ; 0.638384709925439 ; 
UnusedFormalParameter ; 0.0265376527253657 ; 0.426537726434526 ; 
embed.JS ; 0.0122216365168892 ; 0.590830208748437 ; 
inline.JS ; 0.0164890921155512 ; 0.531866699861928 ; 
embed.CSS ; 0.000533791954660981 ; 0.910801076780666 ; 
inline.CSS ; 0.0129647522458482 ; 0.579687363126449 ; 
css.in.JS ; 0.012269991852535 ; 0.590092165888642 ; 
css.in.JS..jquery ; 0.0140337466106288 ; 0.564359207567446 ; 
max.lines ; 0.0301196332171856 ; 0.396507814025326 ; 
max.lines.per.function ; 0.00339607080958119 ; 0.777348851093058 ; 
max.params ; 0.0226873340500888 ; 0.4626660708455 ; 
complexity ; 0.0224982229602734 ; 0.464558665429662 ; 
max.depth ; 0.021065077353427 ; 0.47930262460776 ; 
max.nested.callbacks ; 0.00937600115695317 ; 0.637953078531089 ; 
