CS; r^2; p; issig
CyclomaticComplexity ; 0.00694954018076057 ; 0.655702613501417 ; 
NPathComplexity ; 0.0145781811855374 ; 0.517631580001344 ; 
ExcessiveMethodLength ; 0.00661900512492582 ; 0.663500137612953 ; 
ExcessiveClassLength ; 0.000643500694292544 ; 0.892250814100449 ; 
ExcessiveParameterList ; 0.0609634572288834 ; 0.180547016100635 ; 
ExcessivePublicCount ; 0.0462408885555906 ; 0.245346497647338 ; 
TooManyFields ; 2.25752549205082e-05 ; 0.97976197644559 ; 
TooManyMethods ; 0.00147797809243918 ; 0.837314879015679 ; 
TooManyPublicMethods ; 0.00677999201917571 ; 0.659674243310558 ; 
ExcessiveClassComplexity ; 0.00737279678501814 ; 0.646033314003247 ; 
NumberOfChildren ; 1 ;  all cs=1 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0170423652337293 ; 0.483935562801924 ; 
DevelopmentCodeFragment ; 0.0184491546937303 ; 0.466267462401534 ; 
UnusedPrivateField ; 0.0556439364627854 ; 0.201417066240355 ; 
UnusedLocalVariable ; 0.146994880419219 ; 0.033248135571544 ; *
UnusedPrivateMethod ; 0.0609634572288834 ; 0.180547016100635 ; 
UnusedFormalParameter ; 0.0123425109992232 ; 0.551851189533806 ; 
embed.JS ; 0.123170241904336 ; 0.0528895824703483 ; 
inline.JS ; 0.0735484598617496 ; 0.140015057103103 ; 
embed.CSS ; 0.0980200661399083 ; 0.0863550690196047 ; 
inline.CSS ; 0.0834806139284103 ; 0.114928886574021 ; 
css.in.JS ; 0.0529970228773925 ; 0.212800076132047 ; 
css.in.JS..jquery ; 0.0940733421929082 ; 0.0932966319039779 ; 
max.lines ; 0.0220014882389983 ; 0.425833002323132 ; 
max.lines.per.function ; 0.0253357432941265 ; 0.392393156490175 ; 
max.params ; 0.0413683629559341 ; 0.272456254159161 ; 
complexity ; 0.0381762164225557 ; 0.292175804513063 ; 
max.depth ; 0.0912922246663697 ; 0.0985314021575861 ; 
max.nested.callbacks ; 0.099897022569548 ; 0.0832420939208717 ; 
