CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.284376988353539 ; 0.12 ;  ; 0.114249542325923 ; 0.76 ; 
NPathComplexity ; 0.171880542351606 ; 0.52 ;  ; 0.204491373684373 ; 0.183333333333333 ; 
ExcessiveMethodLength ; 0.252234999364475 ; 0.243333333333333 ;  ; 0.246027463595771 ; 0.133333333333333 ; 
ExcessiveClassLength ; 0.0629855124469613 ; 0.493333333333333 ;  ; 0.0889125464803558 ; 0.0733333333333333 ; 
ExcessiveParameterList ; 0.183568092382291 ; 0.163333333333333 ;  ; 0.150742199261114 ; 0.47 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0.0616665747069238 ; 0.493333333333333 ;  ; 0.0866299277363027 ; 0.0633333333333333 ; 
TooManyMethods ; 0.18102401695557 ; 0.576666666666667 ;  ; 0.326510950822015 ; 0.0166666666666667 ; *
TooManyPublicMethods ; 0.0983515361286985 ; 0.773333333333333 ;  ; 0.295825909381644 ; 0.02 ; *
ExcessiveClassComplexity ; 0.132926518334803 ; 0.693333333333333 ;  ; 0.297008986903135 ; 0.0366666666666667 ; *
NumberOfChildren ; 0.249616793816725 ; 0.196666666666667 ;  ; 0.305585452333296 ; 0.02 ; *
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.212127366371625 ; 0.493333333333333 ;  ; 0.347834066246913 ; 0.00333333333333333 ; *
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.132926518334803 ; 0.693333333333333 ;  ; 0.136397467810387 ; 0.586666666666667 ; 
UnusedPrivateMethod ; 0.0849936849521217 ; 0.59 ;  ; 0.128499050017241 ; 0.146666666666667 ; 
UnusedFormalParameter ; 0.317044709292378 ; 0.0733333333333333 ;  ; 0.296348346441426 ; 0.0166666666666667 ; *
embed.JS ; 0.136952203093806 ; 0.673333333333333 ;  ; 0.317202510213365 ; 0.00666666666666667 ; *
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.180326382977466 ; 0.186666666666667 ;  ; 0.174494698590424 ; 0.33 ; 
inline.CSS ; 0.179018883426537 ; 0.3 ;  ; 0.230938336424519 ; 0.1 ; 
css.in.JS ; 0.240017411857705 ; 0.306666666666667 ;  ; 0.162568162229712 ; 0.5 ; 
css.in.JS..jquery ; 0.211280642818966 ; 0.273333333333333 ;  ; 0.148236730867717 ; 0.523333333333333 ; 
max.lines ; 0.249959876250944 ; 0.13 ;  ; 0.244844772096715 ; 0.08 ; 
max.lines.per.function ; 0.194676136993768 ; 0.366666666666667 ;  ; 0.180395882754274 ; 0.346666666666667 ; 
max.params ; 0.420095973811903 ; 0 ; * ; 0.255430702122861 ; 0.0333333333333333 ; *
complexity ; 0.414108919360622 ; 0 ; * ; 0.226067384633476 ; 0.133333333333333 ; 
max.depth ; 0.414108919360622 ; 0 ; * ; 0.226067384633476 ; 0.133333333333333 ; 
max.nested.callbacks ; 0.189784331006693 ; 0.443333333333333 ;  ; 0.206448545086651 ; 0.153333333333333 ; 
