CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.258713587925651 ; 0.203333333333333 ;  ; 0.191732229471274 ; 0.203333333333333 ; 
NPathComplexity ; 0.169538573536755 ; 0.55 ;  ; 0.339509737459317 ; 0 ; *
ExcessiveMethodLength ; 0.169538573536755 ; 0.573333333333333 ;  ; 0.228134987776865 ; 0.06 ; 
ExcessiveClassLength ; 0.11301130291097 ; 0.88 ;  ; 0.301416586003975 ; 0.01 ; *
ExcessiveParameterList ; 0.189601842833447 ; 0.516666666666667 ;  ; 0.203812327980677 ; 0.193333333333333 ; 
ExcessivePublicCount ; 0.122877342118317 ; 0.816666666666667 ;  ; 0.289875016126631 ; 0.01 ; *
TooManyFields ; 0.125250320386553 ; 0.816666666666667 ;  ; 0.397111550685744 ; 0 ; *
TooManyMethods ; 0.049106986389366 ; 0.983333333333333 ;  ; 0.140799892611471 ; 0.46 ; 
TooManyPublicMethods ; 0.169538573536755 ; 0.303333333333333 ;  ; 0.298149945809959 ; 0.00333333333333333 ; *
ExcessiveClassComplexity ; 0.173925625463606 ; 0.493333333333333 ;  ; 0.232069197899381 ; 0.03 ; *
NumberOfChildren ; 0.120110518415173 ; 0.543333333333333 ;  ; 0.203553625930329 ; 0.0433333333333333 ; *
DepthOfInheritance ; 0.0195290319233067 ; 0.623333333333333 ;  ; 0.164124092432639 ; 0.0133333333333333 ; *
CouplingBetweenObjects ; 0.256113581123953 ; 0.23 ;  ; 0.29360251005373 ; 0.0133333333333333 ; *
DevelopmentCodeFragment ; 0.221937408289254 ; 0.313333333333333 ;  ; 0.233186139887152 ; 0.0733333333333333 ; 
UnusedPrivateField ; 0.173773402672233 ; 0.18 ;  ; 0.294328612457786 ; 0 ; *
UnusedLocalVariable ; 0.112919456603611 ; 0.87 ;  ; 0.312185520031574 ; 0.00666666666666667 ; *
UnusedPrivateMethod ; 0.147911109415474 ; 0.713333333333333 ;  ; 0.246460782972078 ; 0.04 ; *
UnusedFormalParameter ; 0.11301130291097 ; 0.883333333333333 ;  ; 0.312264627500213 ; 0.00666666666666667 ; *
embed.JS ; 0.0935622086516777 ; 0.866666666666667 ;  ; 0.182262839008202 ; 0.21 ; 
inline.JS ; 0.122877342118317 ; 0.823333333333333 ;  ; 0.289493948222413 ; 0.00333333333333333 ; *
embed.CSS ; 0.139592463719826 ; 0.77 ;  ; 0.0862987582714868 ; 0.756666666666667 ; 
inline.CSS ; 0.0185568067158521 ; 0.956666666666667 ;  ; 0.106505052928728 ; 0.69 ; 
css.in.JS ; 0.0872457762870428 ; 0.926666666666667 ;  ; 0.131665865943365 ; 0.426666666666667 ; 
css.in.JS..jquery ; 0.0879556944104152 ; 0.92 ;  ; 0.267276784921363 ; 0.0566666666666667 ; 
max.lines ; 0.122877342118317 ; 0.743333333333333 ;  ; 0.240063231629438 ; 0.0266666666666667 ; *
max.lines.per.function ; 0.0935622086516777 ; 0.786666666666667 ;  ; 0.227458915208022 ; 0.0633333333333333 ; 
max.params ; 0.0565172914011273 ; 0.973333333333333 ;  ; 0.22827927549559 ; 0.0666666666666667 ; 
complexity ; 0.0889793196389486 ; 0.873333333333333 ;  ; 0.249569862110287 ; 0.0233333333333333 ; *
max.depth ; 0.0185568067158521 ; 0.983333333333333 ;  ; 0.177130866845887 ; 0.206666666666667 ; 
max.nested.callbacks ; 0.145632230285794 ; 0.706666666666667 ;  ; 0.232667867845788 ; 0.0633333333333333 ; 
