CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.140690105452998 ; 0.0333333333333333 ; * ; 0.0776540299808536 ; 0.776666666666667 ; 
NPathComplexity ; 0.13946913451275 ; 0.03 ; * ; 0.0809729302096673 ; 0.743333333333333 ; 
ExcessiveMethodLength ; 0.1100388293626 ; 0.116666666666667 ;  ; 0.0588536951357636 ; 0.896666666666667 ; 
ExcessiveClassLength ; 0.11202549908189 ; 0.0866666666666667 ;  ; 0.050468437632723 ; 0.933333333333333 ; 
ExcessiveParameterList ; 0.169729403992018 ; 0 ; * ; 0.0430226414622484 ; 0.953333333333333 ; 
ExcessivePublicCount ; 0.12809078114662 ; 0.04 ; * ; 0.0825888813236175 ; 0.753333333333333 ; 
TooManyFields ; 0.138799345967589 ; 0.00333333333333333 ; * ; 0.0841677370816985 ; 0.743333333333333 ; 
TooManyMethods ; 0.150886011161131 ; 0.0733333333333333 ;  ; 0.14723138805929 ; 0.203333333333333 ; 
TooManyPublicMethods ; 0.130432757495662 ; 0.336666666666667 ;  ; 0.18034167510451 ; 0.08 ; 
ExcessiveClassComplexity ; 0.12809078114662 ; 0.04 ; * ; 0.0825888813236175 ; 0.75 ; 
NumberOfChildren ; 0.152214974063945 ; 0.106666666666667 ;  ; 0.0853900540272566 ; 0.693333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0898591353623582 ; 0.773333333333333 ;  ; 0.153000886262816 ; 0.176666666666667 ; 
DevelopmentCodeFragment ; 0.156933365311338 ; 0.00333333333333333 ; * ; 0.126713959136706 ; 0.426666666666667 ; 
UnusedPrivateField ; 0.230521906879681 ; 0 ; * ; 0.0941783344423671 ; 0.526666666666667 ; 
UnusedLocalVariable ; 0.0987786289174469 ; 0.503333333333333 ;  ; 0.150275681734469 ; 0.2 ; 
UnusedPrivateMethod ; 0.149235432033783 ; 0.0233333333333333 ; * ; 0.0674319562404643 ; 0.83 ; 
UnusedFormalParameter ; 0.145794829740498 ; 0.09 ;  ; 0.120954293632491 ; 0.39 ; 
embed.JS ; 0.0988015575280021 ; 0.54 ;  ; 0.171910288005804 ; 0.0966666666666667 ; 
inline.JS ; 0.1663317703141 ; 0.0366666666666667 ; * ; 0.15613013066274 ; 0.176666666666667 ; 
embed.CSS ; 0.174007617534089 ; 0.0166666666666667 ; * ; 0.136079663906185 ; 0.276666666666667 ; 
inline.CSS ; 0.109515988310459 ; 0.436666666666667 ;  ; 0.101719999353187 ; 0.606666666666667 ; 
css.in.JS ; 0.101031372881762 ; 0.613333333333333 ;  ; 0.129084257818889 ; 0.343333333333333 ; 
css.in.JS..jquery ; 0.141202165152952 ; 0.01 ; * ; 0.161078017231417 ; 0.0766666666666667 ; 
max.lines ; 0.16070468144366 ; 0.03 ; * ; 0.116819619293214 ; 0.406666666666667 ; 
max.lines.per.function ; 0.12843249566091 ; 0.236666666666667 ;  ; 0.105349557919843 ; 0.606666666666667 ; 
max.params ; 0.203223384696652 ; 0 ; * ; 0.134072488574668 ; 0.283333333333333 ; 
complexity ; 0.105607183229787 ; 0.35 ;  ; 0.132153585966806 ; 0.29 ; 
max.depth ; 0.141815479053366 ; 0.01 ; * ; 0.0942744929391913 ; 0.626666666666667 ; 
max.nested.callbacks ; 0.126710997959514 ; 0.0133333333333333 ; * ; 0.148384564514056 ; 0.13 ; 
