CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0908250935575849 ; 0.876666666666667 ;  ; 0.230722226152528 ; 0.0366666666666667 ; *
NPathComplexity ; 0.016994999636631 ; 0.983333333333333 ;  ; 0.21299823515117 ; 0.0666666666666667 ; 
ExcessiveMethodLength ; 0.0908250935575849 ; 0.856666666666667 ;  ; 0.32062915703435 ; 0 ; *
ExcessiveClassLength ; 0.149531488957937 ; 0.61 ;  ; 0.146886555807949 ; 0.286666666666667 ; 
ExcessiveParameterList ; 0.0749460229973244 ; 0.93 ;  ; 0.125850771351363 ; 0.453333333333333 ; 
ExcessivePublicCount ; 0.107885038295898 ; 0.76 ;  ; 0.268031429091844 ; 0.0133333333333333 ; *
TooManyFields ; 0.0854952121343096 ; 0.783333333333333 ;  ; 0.147811695103491 ; 0.32 ; 
TooManyMethods ; 0.0898518656552691 ; 0.86 ;  ; 0.357871325545301 ; 0 ; *
TooManyPublicMethods ; 0.0854952121343096 ; 0.783333333333333 ;  ; 0.157344689038023 ; 0.243333333333333 ; 
ExcessiveClassComplexity ; 0.016994999636631 ; 0.973333333333333 ;  ; 0.209907585561583 ; 0.0666666666666667 ; 
NumberOfChildren ; 0.10869007693669 ; 0.43 ;  ; 0.164493950013558 ; 0.0566666666666667 ; 
DepthOfInheritance ; 0.0232002336886036 ; 0.623333333333333 ;  ; 0.127378180991173 ; 0.0166666666666667 ; *
CouplingBetweenObjects ; 0.0748391980775717 ; 0.95 ;  ; 0.12655942489757 ; 0.46 ; 
DevelopmentCodeFragment ; 0.156471823683496 ; 0.41 ;  ; 0.150625959233559 ; 0.236666666666667 ; 
UnusedPrivateField ; 0.133616583850993 ; 0.57 ;  ; 0.138207803112299 ; 0.31 ; 
UnusedLocalVariable ; 0.217478331660429 ; 0.00666666666666667 ; * ; 0.0773375397480457 ; 0.756666666666667 ; 
UnusedPrivateMethod ; 0.206002538774345 ; 0.21 ;  ; 0.217815339156378 ; 0.04 ; *
UnusedFormalParameter ; 0.0854952121343096 ; 0.84 ;  ; 0.150183059771119 ; 0.246666666666667 ; 
embed.JS ; 0.0854952121343096 ; 0.84 ;  ; 0.150183059771119 ; 0.246666666666667 ; 
inline.JS ; 0.105240080885013 ; 0.756666666666667 ;  ; 0.236335830219238 ; 0.01 ; *
embed.CSS ; 0.127964203541398 ; 0.67 ;  ; 0.0769233641001019 ; 0.75 ; 
inline.CSS ; 0.0243081743999648 ; 0.953333333333333 ;  ; 0.0899335672160121 ; 0.7 ; 
css.in.JS ; 0.0749756002534076 ; 0.93 ;  ; 0.109024771260045 ; 0.49 ; 
css.in.JS..jquery ; 0.0722209118469303 ; 0.933333333333333 ;  ; 0.221316775877257 ; 0.0766666666666667 ; 
max.lines ; 0.105240080885013 ; 0.63 ;  ; 0.185971190629663 ; 0.0633333333333333 ; 
max.lines.per.function ; 0.0854952121343096 ; 0.73 ;  ; 0.178945808936407 ; 0.116666666666667 ; 
max.params ; 0.0528898171918312 ; 0.963333333333333 ;  ; 0.190503872667173 ; 0.0833333333333333 ; 
complexity ; 0.0817843748381349 ; 0.803333333333333 ;  ; 0.206000017506434 ; 0.05 ; *
max.depth ; 0.0243081743999648 ; 0.98 ;  ; 0.146130745130084 ; 0.25 ; 
max.nested.callbacks ; 0.13121871974071 ; 0.62 ;  ; 0.195602882212663 ; 0.0733333333333333 ; 
