CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.156930224694597 ; 0.253333333333333 ;  ; 0.333444702640989 ; 0.04 ; *
NPathComplexity ; 0.233407529681472 ; 0.00333333333333333 ; * ; 0.346386049230219 ; 0.0333333333333333 ; *
ExcessiveMethodLength ; 0.233407529681472 ; 0.00333333333333333 ; * ; 0.346386049230219 ; 0.0333333333333333 ; *
ExcessiveClassLength ; 0.233407529681472 ; 0.00333333333333333 ; * ; 0.346386049230219 ; 0.0333333333333333 ; *
ExcessiveParameterList ; 0.250198583111012 ; 0.103333333333333 ;  ; 0.240464178199266 ; 0.07 ; 
ExcessivePublicCount ; 0.233407529681472 ; 0.00333333333333333 ; * ; 0.346386049230219 ; 0.0333333333333333 ; *
TooManyFields ; 0.233407529681472 ; 0.00333333333333333 ; * ; 0.346386049230219 ; 0.0333333333333333 ; *
TooManyMethods ; 0.151088504143421 ; 0.236666666666667 ;  ; 0.101824415506679 ; 0.676666666666667 ; 
TooManyPublicMethods ; 0.156930224694597 ; 0.253333333333333 ;  ; 0.333444702640989 ; 0.04 ; *
ExcessiveClassComplexity ; 0.156930224694597 ; 0.326666666666667 ;  ; 0.343389860561894 ; 0.05 ; *
NumberOfChildren ; 0.131312806162558 ; 0.406666666666667 ;  ; 0.343389860561894 ; 0.0333333333333333 ; *
DepthOfInheritance ; 0.279911325347621 ; 0.0833333333333333 ;  ; 0.20839468065253 ; 0.206666666666667 ; 
CouplingBetweenObjects ; 0.233407529681472 ; 0.00333333333333333 ; * ; 0.0896063058395883 ; 0.706666666666667 ; 
DevelopmentCodeFragment ; 0.131312806162558 ; 0.333333333333333 ;  ; 0.333444702640989 ; 0.0366666666666667 ; *
UnusedPrivateField ; 0.313724988708899 ; 0 ; * ; 0.0682732327652334 ; 0.79 ; 
UnusedLocalVariable ; 0.131312806162558 ; 0.333333333333333 ;  ; 0.205310957062449 ; 0.203333333333333 ; 
UnusedPrivateMethod ; 0.364191891053448 ; 0 ; * ; 0.0733455500723663 ; 0.826666666666667 ; 
UnusedFormalParameter ; 0.151088504143421 ; 0.236666666666667 ;  ; 0.101824415506679 ; 0.676666666666667 ; 
embed.JS ; 0.131707170112853 ; 0.266666666666667 ;  ; 0.111022208631851 ; 0.42 ; 
inline.JS ; 0.131312806162558 ; 0.256666666666667 ;  ; 0.085033362077139 ; 0.846666666666667 ; 
embed.CSS ; 0.156930224694597 ; 0.12 ;  ; 0.085033362077139 ; 0.873333333333333 ; 
inline.CSS ; 0.152330300805309 ; 0.28 ;  ; 0.107209711533442 ; 0.68 ; 
css.in.JS ; 0.131312806162558 ; 0.213333333333333 ;  ; 0.0814118332383433 ; 0.903333333333333 ; 
css.in.JS..jquery ; 0.250198583111012 ; 0.01 ; * ; 0.280187134044716 ; 0.0433333333333333 ; *
max.lines ; 0.108037564080532 ; 0.476666666666667 ;  ; 0.127813262061393 ; 0.486666666666667 ; 
max.lines.per.function ; 0.156930224694597 ; 0.19 ;  ; 0.0814118332383433 ; 0.91 ; 
max.params ; 0.108037564080532 ; 0.476666666666667 ;  ; 0.127813262061393 ; 0.426666666666667 ; 
complexity ; 0.131312806162558 ; 0.37 ;  ; 0.121578401250813 ; 0.666666666666667 ; 
max.depth ; 0.156930224694597 ; 0.263333333333333 ;  ; 0.117240196686518 ; 0.686666666666667 ; 
max.nested.callbacks ; 0.131707170112853 ; 0.293333333333333 ;  ; 0.346386049230219 ; 0.04 ; *
