CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.283314103065847 ; 0.03 ; * ; 0.228538106670271 ; 0.226666666666667 ; 
NPathComplexity ; 0.283314103065847 ; 0.03 ; * ; 0.228538106670271 ; 0.226666666666667 ; 
ExcessiveMethodLength ; 0.283314103065847 ; 0.03 ; * ; 0.228538106670271 ; 0.226666666666667 ; 
ExcessiveClassLength ; 0.297150821932534 ; 0.0266666666666667 ; * ; 0.453953004116768 ; 0.00333333333333333 ; *
ExcessiveParameterList ; 0.283314103065847 ; 0 ; * ; 0.189186669064438 ; 0.39 ; 
ExcessivePublicCount ; 0.290948251775072 ; 0.0366666666666667 ; * ; 0.299410269616522 ; 0.123333333333333 ; 
TooManyFields ; 0.270465259617074 ; 0.05 ; * ; 0.251592040236311 ; 0.156666666666667 ; 
TooManyMethods ; 0.288650041513067 ; 0.0333333333333333 ; * ; 0.30261193504016 ; 0.116666666666667 ; 
TooManyPublicMethods ; 0.270465259617074 ; 0 ; * ; 0.212240602630476 ; 0.306666666666667 ; 
ExcessiveClassComplexity ; 0.409749611219063 ; 0.00666666666666667 ; * ; 0.354939381677551 ; 0.0466666666666667 ; *
NumberOfChildren ; 0.220734488969145 ; 0.00333333333333333 ; * ; 0.132613580108396 ; 0.743333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.220734488969145 ; 0.00333333333333333 ; * ; 0.132613580108396 ; 0.743333333333333 ; 
DevelopmentCodeFragment ; 0.325172920325435 ; 0.0466666666666667 ; * ; 0.304024806016078 ; 0.17 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.118680013514637 ; 0.0533333333333333 ;  ; 0.14274901205955 ; 0.576666666666667 ; 
UnusedPrivateMethod ; 0.057051147824911 ; 0.643333333333333 ;  ; 0.152599708388317 ; 0.126666666666667 ; 
UnusedFormalParameter ; 0.270465259617074 ; 0 ; * ; 0.212240602630476 ; 0.306666666666667 ; 
embed.JS ; 0.118680013514637 ; 0.03 ; * ; 0.119006277316283 ; 0.623333333333333 ; 
inline.JS ; 0.157115348669238 ; 0.02 ; * ; 0.0741926865705229 ; 0.896666666666667 ; 
embed.CSS ; 0.270465259617074 ; 0 ; * ; 0.212240602630476 ; 0.306666666666667 ; 
inline.CSS ; 0.157115348669238 ; 0.03 ; * ; 0.102507062265497 ; 0.776666666666667 ; 
css.in.JS ; 0.283314103065847 ; 0 ; * ; 0.189186669064438 ; 0.376666666666667 ; 
css.in.JS..jquery ; 0.249265040936931 ; 0 ; * ; 0.244578316643527 ; 0.283333333333333 ; 
max.lines ; 0.270465259617074 ; 0 ; * ; 0.212240602630476 ; 0.306666666666667 ; 
max.lines.per.function ; 0.270465259617074 ; 0 ; * ; 0.212240602630476 ; 0.306666666666667 ; 
max.params ; 0.397397998788605 ; 0.00333333333333333 ; * ; 0.256804193412353 ; 0.19 ; 
complexity ; 0.143446943851505 ; 0.556666666666667 ;  ; 0.178036528539059 ; 0.326666666666667 ; 
max.depth ; 0.217692093783847 ; 0 ; * ; 0.105274469684284 ; 0.82 ; 
max.nested.callbacks ; 0.217692093783847 ; 0.103333333333333 ;  ; 0.128065238608965 ; 0.676666666666667 ; 
