CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.143084413795132 ; 0.206666666666667 ;  ; 0.197397812995785 ; 0.366666666666667 ; 
NPathComplexity ; 0.283286735731895 ; 0.0966666666666667 ;  ; 0.33963775881626 ; 0.0466666666666667 ; *
ExcessiveMethodLength ; 0.283286735731895 ; 0.0966666666666667 ;  ; 0.33963775881626 ; 0.0633333333333333 ; 
ExcessiveClassLength ; 0.143084413795132 ; 0.36 ;  ; 0.12375678052386 ; 0.586666666666667 ; 
ExcessiveParameterList ; 0.191653556748875 ; 0.03 ; * ; 0.105306552908548 ; 0.776666666666667 ; 
ExcessivePublicCount ; 0.393971978686677 ; 0.01 ; * ; 0.565945559033502 ; 0 ; *
TooManyFields ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
TooManyMethods ; 0.393971978686677 ; 0.01 ; * ; 0.565945559033502 ; 0 ; *
TooManyPublicMethods ; 0.283286735731895 ; 0.04 ; * ; 0.320815858734812 ; 0.136666666666667 ; 
ExcessiveClassComplexity ; 0.143084413795132 ; 0.35 ;  ; 0.12375678052386 ; 0.533333333333333 ; 
NumberOfChildren ; 0.347453834472896 ; 0.0533333333333333 ;  ; 0.0942966720750326 ; 0.71 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.515033422530422 ; 0 ; * ; 0.343610798257222 ; 0.13 ; 
DevelopmentCodeFragment ; 0.37944180469713 ; 0.00666666666666667 ; * ; 0.0742518664183339 ; 0.79 ; 
UnusedPrivateField ; 0.121834944567403 ; 0.493333333333333 ;  ; 0.136396559067095 ; 0.423333333333333 ; 
UnusedLocalVariable ; 0.461101352239556 ; 0.00666666666666667 ; * ; 0.237703281932021 ; 0.253333333333333 ; 
UnusedPrivateMethod ; 0.283286735731895 ; 0.00333333333333333 ; * ; 0.222384285472396 ; 0.3 ; 
UnusedFormalParameter ; 0.283286735731895 ; 0.0933333333333333 ;  ; 0.354518266129043 ; 0.0566666666666667 ; 
embed.JS ; 0.23397795163561 ; 0.0833333333333333 ;  ; 0.0976692876675965 ; 0.676666666666667 ; 
inline.JS ; 0.264979310806884 ; 0.00333333333333333 ; * ; 0.213124636714272 ; 0.23 ; 
embed.CSS ; 0.143084413795132 ; 0.23 ;  ; 0.0976692876675965 ; 0.726666666666667 ; 
inline.CSS ; 0.264979310806884 ; 0.0833333333333333 ;  ; 0.352530836425641 ; 0.0133333333333333 ; *
css.in.JS ; 0.143084413795132 ; 0.396666666666667 ;  ; 0.12375678052386 ; 0.55 ; 
css.in.JS..jquery ; 0.143084413795132 ; 0.266666666666667 ;  ; 0.130420307470316 ; 0.526666666666667 ; 
max.lines ; 0.448094017266098 ; 0.01 ; * ; 0.203950407571996 ; 0.22 ; 
max.lines.per.function ; 0.618307539728812 ; 0 ; * ; 0.254094056385272 ; 0.286666666666667 ; 
max.params ; 0.283286735731895 ; 0.00333333333333333 ; * ; 0.203770378081607 ; 0.31 ; 
complexity ; 0.121834944567403 ; 0.44 ;  ; 0.116090206358022 ; 0.46 ; 
max.depth ; 0.330815346621011 ; 0.0166666666666667 ; * ; 0.136329272665236 ; 0.383333333333333 ; 
max.nested.callbacks ; 0.23397795163561 ; 0.133333333333333 ;  ; 0.241042765208065 ; 0.24 ; 
