CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.169838409116554 ; 0.936666666666667 ;  ; 0.29330393852076 ; 0.31 ; 
NPathComplexity ; 0.148880561487945 ; 0.896666666666667 ;  ; 0.445980854869803 ; 0.00333333333333333 ; *
ExcessiveMethodLength ; 0.190234516534776 ; 0.916666666666667 ;  ; 0.55183369614349 ; 0 ; *
ExcessiveClassLength ; 0.0886629268353366 ; 0.996666666666667 ;  ; 0.43921820248587 ; 0.02 ; *
ExcessiveParameterList ; 0.347241872206321 ; 0.656666666666667 ;  ; 0.512982701883687 ; 0.00333333333333333 ; *
ExcessivePublicCount ; 0.148880561487945 ; 0.896666666666667 ;  ; 0.445980854869803 ; 0.00333333333333333 ; *
TooManyFields ; 0.148880561487945 ; 0.896666666666667 ;  ; 0.445980854869803 ; 0.00333333333333333 ; *
TooManyMethods ; 0.239906409740083 ; 0.82 ;  ; 0.289189433940885 ; 0.273333333333333 ; 
TooManyPublicMethods ; 0.169838409116554 ; 0.936666666666667 ;  ; 0.29330393852076 ; 0.31 ; 
ExcessiveClassComplexity ; 0.207653860182228 ; 0.816666666666667 ;  ; 0.260180409058429 ; 0.433333333333333 ; 
NumberOfChildren ; 0.207653860182228 ; 0.6 ;  ; 0.260180409058429 ; 0.42 ; 
DepthOfInheritance ; 0.289048914523141 ; 0.5 ;  ; 0.394880480570595 ; 0.0533333333333333 ; 
CouplingBetweenObjects ; 0.0794064205497721 ; 0.99 ;  ; 0.37094233027118 ; 0.06 ; 
DevelopmentCodeFragment ; 0.237732567692987 ; 0.71 ;  ; 0.302577877396777 ; 0.226666666666667 ; 
UnusedPrivateField ; 0.120551581889445 ; 0.943333333333333 ;  ; 0.308259146077016 ; 0.0666666666666667 ; 
UnusedLocalVariable ; 0.277997115278339 ; 0.723333333333333 ;  ; 0.396524896407125 ; 0.0733333333333333 ; 
UnusedPrivateMethod ; 0.0427103345027237 ; 1 ;  ; 0.139718046653103 ; 0.68 ; 
UnusedFormalParameter ; 0.343286395227965 ; 0.283333333333333 ;  ; 0.195242414930539 ; 0.713333333333333 ; 
embed.JS ; 0.19906948318252 ; 0.453333333333333 ;  ; 0.223597160593218 ; 0.196666666666667 ; 
inline.JS ; 0.19906948318252 ; 0.453333333333333 ;  ; 0.223597160593218 ; 0.196666666666667 ; 
embed.CSS ; 0.343286395227965 ; 0.283333333333333 ;  ; 0.195242414930539 ; 0.713333333333333 ; 
inline.CSS ; 0.169961194227348 ; 0.86 ;  ; 0.249984899556625 ; 0.236666666666667 ; 
css.in.JS ; 0.209450066449404 ; 0.8 ;  ; 0.294053492261608 ; 0.373333333333333 ; 
css.in.JS..jquery ; 0.349447970448782 ; 0.456666666666667 ;  ; 0.421380790541372 ; 0.01 ; *
max.lines ; 0.262035707569107 ; 0.653333333333333 ;  ; 0.206828052730686 ; 0.64 ; 
max.lines.per.function ; 0.290368331636325 ; 0.803333333333333 ;  ; 0.428382121332846 ; 0.06 ; 
max.params ; 0.241423329694828 ; 0.676666666666667 ;  ; 0.342872457426454 ; 0.05 ; *
complexity ; 0.247561659930462 ; 0.753333333333333 ;  ; 0.101269944742499 ; 0.966666666666667 ; 
max.depth ; 0.170403432183103 ; 0.68 ;  ; 0.1989373980272 ; 0.69 ; 
max.nested.callbacks ; 0.148880561487945 ; 0.92 ;  ; 0.445980854869803 ; 0.00333333333333333 ; *
