CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.349438146897373 ; 0.0766666666666667 ;  ; 0.314024609679272 ; 0.123333333333333 ; 
NPathComplexity ; 0.349438146897373 ; 0.0766666666666667 ;  ; 0.314024609679272 ; 0.12 ; 
ExcessiveMethodLength ; 0.353893473162845 ; 0.0433333333333333 ; * ; 0.312005845487792 ; 0.0833333333333333 ; 
ExcessiveClassLength ; 0.353893473162845 ; 0.0433333333333333 ; * ; 0.312005845487792 ; 0.0833333333333333 ; 
ExcessiveParameterList ; 0.338837525564853 ; 0.213333333333333 ;  ; 0.281230521809795 ; 0.23 ; 
ExcessivePublicCount ; 0.257489562585503 ; 0.36 ;  ; 0.269963345011329 ; 0.226666666666667 ; 
TooManyFields ; 0.251462865808556 ; 0.2 ;  ; 0.189900772620684 ; 0.463333333333333 ; 
TooManyMethods ; 0.262051669785667 ; 0.406666666666667 ;  ; 0.313151508601338 ; 0.0633333333333333 ; 
TooManyPublicMethods ; 0.286864819697559 ; 0.453333333333333 ;  ; 0.255885260097641 ; 0.283333333333333 ; 
ExcessiveClassComplexity ; 0.344198206763332 ; 0.0533333333333333 ;  ; 0.293897236483958 ; 0.106666666666667 ; 
NumberOfChildren ; 0.204932487916593 ; 0.656666666666667 ;  ; 0.214219190648243 ; 0.43 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.363682232376777 ; 0.2 ;  ; 0.320128522347793 ; 0.196666666666667 ; 
DevelopmentCodeFragment ; 0.401833263559595 ; 0.0566666666666667 ;  ; 0.296828492710136 ; 0.236666666666667 ; 
UnusedPrivateField ; 0.166219667604057 ; 0.833333333333333 ;  ; 0.146600724970038 ; 0.853333333333333 ; 
UnusedLocalVariable ; 0.372451716390836 ; 0.0566666666666667 ;  ; 0.354052139143887 ; 0.0766666666666667 ; 
UnusedPrivateMethod ; 0.181477548158713 ; 0.773333333333333 ;  ; 0.230276953106914 ; 0.44 ; 
UnusedFormalParameter ; 0.37157532392923 ; 0.08 ;  ; 0.293377615727346 ; 0.176666666666667 ; 
embed.JS ; 0.143990122389169 ; 0.466666666666667 ;  ; 0.126250617011333 ; 0.823333333333333 ; 
inline.JS ; 0.124917706166873 ; 0.83 ;  ; 0.178469089490131 ; 0.596666666666667 ; 
embed.CSS ; 0.177694610648035 ; 0.87 ;  ; 0.214222317974539 ; 0.513333333333333 ; 
inline.CSS ; 0.17480278950956 ; 0.47 ;  ; 0.21693231296875 ; 0.403333333333333 ; 
css.in.JS ; 0.346327899828448 ; 0.0833333333333333 ;  ; 0.226173811838034 ; 0.38 ; 
css.in.JS..jquery ; 0.341930501772755 ; 0.226666666666667 ;  ; 0.297283530426799 ; 0.176666666666667 ; 
max.lines ; 0.128384473921697 ; 0.64 ;  ; 0.133614291221023 ; 0.773333333333333 ; 
max.lines.per.function ; 0.331537436887394 ; 0.173333333333333 ;  ; 0.292561871153652 ; 0.193333333333333 ; 
max.params ; 0.317939875634584 ; 0.223333333333333 ;  ; 0.346064480311996 ; 0.08 ; 
complexity ; 0.340495189423992 ; 0.13 ;  ; 0.229164982669529 ; 0.456666666666667 ; 
max.depth ; 0.353772482355496 ; 0 ; * ; 0.272616147479599 ; 0.176666666666667 ; 
max.nested.callbacks ; 0.240365748734794 ; 0.553333333333333 ;  ; 0.391437862437997 ; 0.0266666666666667 ; *
