CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.148449016451889 ; 0.0466666666666667 ; * ; 0.105955012153422 ; 0.973333333333333 ; 
NPathComplexity ; 0.148449016451889 ; 0.0333333333333333 ; * ; 0.137168633463292 ; 0.903333333333333 ; 
ExcessiveMethodLength ; 0.156402120585518 ; 0.0433333333333333 ; * ; 0.101059484237353 ; 0.983333333333333 ; 
ExcessiveClassLength ; 0.148449016451889 ; 0.0466666666666667 ; * ; 0.105955012153422 ; 0.973333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.278773786025428 ; 0 ; * ; 0.255592999253154 ; 0.273333333333333 ; 
TooManyFields ; 0.17476183672535 ; 0.0333333333333333 ; * ; 0.13042974480575 ; 0.916666666666667 ; 
TooManyMethods ; 0.152509834992959 ; 0.756666666666667 ;  ; 0.191832722161197 ; 0.676666666666667 ; 
TooManyPublicMethods ; 0.136212355207822 ; 0.06 ;  ; 0.111529421429917 ; 0.906666666666667 ; 
ExcessiveClassComplexity ; 0.149413064576436 ; 0.0266666666666667 ; * ; 0.0995240279932115 ; 0.98 ; 
NumberOfChildren ; 0.190259198764934 ; 0.68 ;  ; 0.119245934908678 ; 0.973333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.153852558621319 ; 0.856666666666667 ;  ; 0.196472131478929 ; 0.646666666666667 ; 
DevelopmentCodeFragment ; 0.264298341474582 ; 0.343333333333333 ;  ; 0.194950719043027 ; 0.743333333333333 ; 
UnusedPrivateField ; 0.178086291425678 ; 0 ; * ; 0.147149754145794 ; 0.73 ; 
UnusedLocalVariable ; 0.25466666655184 ; 0.00666666666666667 ; * ; 0.25367207575007 ; 0.256666666666667 ; 
UnusedPrivateMethod ; 0.0905944379062866 ; 0.01 ; * ; 0.1564535052112 ; 0.543333333333333 ; 
UnusedFormalParameter ; 0.243677965547935 ; 0.00666666666666667 ; * ; 0.217773684999435 ; 0.453333333333333 ; 
embed.JS ; 0.379204809028567 ; 0.0866666666666667 ;  ; 0.312203045616078 ; 0.293333333333333 ; 
inline.JS ; 0.203275300308787 ; 0.31 ;  ; 0.212913080041551 ; 0.476666666666667 ; 
embed.CSS ; 0.155135603492527 ; 0.653333333333333 ;  ; 0.198366313963258 ; 0.653333333333333 ; 
inline.CSS ; 0.17567484453548 ; 0.283333333333333 ;  ; 0.251222906716424 ; 0.206666666666667 ; 
css.in.JS ; 0.35645915671908 ; 0.0266666666666667 ; * ; 0.21519997029527 ; 0.59 ; 
css.in.JS..jquery ; 0.320189200395153 ; 0.13 ;  ; 0.229195752302871 ; 0.53 ; 
max.lines ; 0.312981445460088 ; 0.123333333333333 ;  ; 0.269788357433478 ; 0.343333333333333 ; 
max.lines.per.function ; 0.225255591163628 ; 0.623333333333333 ;  ; 0.240678648961343 ; 0.583333333333333 ; 
max.params ; 0.38474258275479 ; 0.07 ;  ; 0.195450827857992 ; 0.666666666666667 ; 
complexity ; 0.204916091669556 ; 0.423333333333333 ;  ; 0.205381879059144 ; 0.483333333333333 ; 
max.depth ; 0.177149775160493 ; 0.716666666666667 ;  ; 0.176117739870569 ; 0.796666666666667 ; 
max.nested.callbacks ; 0.225428286595065 ; 0.553333333333333 ;  ; 0.28107980520961 ; 0.196666666666667 ; 
