CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.428114419616404 ; 0.0466666666666667 ; * ; 0.206379747427062 ; 0.543333333333333 ; 
NPathComplexity ; 0.41617666122679 ; 0.0333333333333333 ; * ; 0.379844430095802 ; 0.1 ; 
ExcessiveMethodLength ; 0.428114419616404 ; 0.0466666666666667 ; * ; 0.206379747427062 ; 0.543333333333333 ; 
ExcessiveClassLength ; 0.345324396680103 ; 0.0533333333333333 ;  ; 0.211332592263974 ; 0.523333333333333 ; 
ExcessiveParameterList ; 0.256673791283163 ; 0 ; * ; 0.157538928350078 ; 0.593333333333333 ; 
ExcessivePublicCount ; 0.159181029357396 ; 0.8 ;  ; 0.350067957949646 ; 0.15 ; 
TooManyFields ; 0.420598347712804 ; 0.00333333333333333 ; * ; 0.252357745494976 ; 0.24 ; 
TooManyMethods ; 0.157606547730128 ; 0.763333333333333 ;  ; 0.35413209010111 ; 0.163333333333333 ; 
TooManyPublicMethods ; 0.248017077371168 ; 0 ; * ; 0.198222929503539 ; 0.32 ; 
ExcessiveClassComplexity ; 0.329302421098014 ; 0.183333333333333 ;  ; 0.195832003510021 ; 0.58 ; 
NumberOfChildren ; 0.14131171534851 ; 0 ; * ; 0.273547527151156 ; 0.223333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.14131171534851 ; 0 ; * ; 0.273547527151156 ; 0.223333333333333 ; 
DevelopmentCodeFragment ; 0.272181825939873 ; 0.7 ;  ; 0.349924806588145 ; 0.216666666666667 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.185856675658874 ; 0.0166666666666667 ; * ; 0.183462523820377 ; 0.62 ; 
UnusedPrivateMethod ; 0.0127096682703896 ; 0.91 ;  ; 0.273238091695643 ; 0.02 ; *
UnusedFormalParameter ; 0.248017077371168 ; 0 ; * ; 0.198222929503539 ; 0.293333333333333 ; 
embed.JS ; 0.185856675658874 ; 0.00333333333333333 ; * ; 0.167020264641331 ; 0.68 ; 
inline.JS ; 0.136158513225191 ; 0.0166666666666667 ; * ; 0.18603334234586 ; 0.52 ; 
embed.CSS ; 0.248017077371168 ; 0 ; * ; 0.198222929503539 ; 0.293333333333333 ; 
inline.CSS ; 0.133689061230618 ; 0.0166666666666667 ; * ; 0.25747248271481 ; 0.33 ; 
css.in.JS ; 0.256673791283163 ; 0 ; * ; 0.157538928350078 ; 0.6 ; 
css.in.JS..jquery ; 0.13141987972269 ; 0 ; * ; 0.330201847950927 ; 0.116666666666667 ; 
max.lines ; 0.248017077371168 ; 0 ; * ; 0.198222929503539 ; 0.32 ; 
max.lines.per.function ; 0.248017077371168 ; 0 ; * ; 0.198222929503539 ; 0.32 ; 
max.params ; 0.419597051281362 ; 0.0533333333333333 ;  ; 0.28612663369337 ; 0.193333333333333 ; 
complexity ; 0.0998738094524294 ; 0.993333333333333 ;  ; 0.359088905813644 ; 0.11 ; 
max.depth ; 0.112588824873135 ; 0 ; * ; 0.21984564314525 ; 0.4 ; 
max.nested.callbacks ; 0.112588824873135 ; 0.833333333333333 ;  ; 0.257484468422905 ; 0.303333333333333 ; 
