CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.184365448520081 ; 0.77 ;  ; 0.23602414548713 ; 0.526666666666667 ; 
NPathComplexity ; 0.184365448520081 ; 0.77 ;  ; 0.23602414548713 ; 0.526666666666667 ; 
ExcessiveMethodLength ; 0.184365448520081 ; 0.77 ;  ; 0.23602414548713 ; 0.526666666666667 ; 
ExcessiveClassLength ; 0.202781488406501 ; 0.636666666666667 ;  ; 0.250260141882878 ; 0.396666666666667 ; 
ExcessiveParameterList ; 0.227208455569949 ; 0.383333333333333 ;  ; 0.195453647731902 ; 0.693333333333333 ; 
ExcessivePublicCount ; 0.182424699500349 ; 0.35 ;  ; 0.189400034595878 ; 0.44 ; 
TooManyFields ; 0.182024486423575 ; 0.713333333333333 ;  ; 0.234793886930864 ; 0.386666666666667 ; 
TooManyMethods ; 0.182024486423575 ; 0.713333333333333 ;  ; 0.234793886930864 ; 0.386666666666667 ; 
TooManyPublicMethods ; 0.182024486423575 ; 0.736666666666667 ;  ; 0.234793886930864 ; 0.386666666666667 ; 
ExcessiveClassComplexity ; 0.16483974842655 ; 0.773333333333333 ;  ; 0.276523899860052 ; 0.303333333333333 ; 
NumberOfChildren ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.182024486423575 ; 0.736666666666667 ;  ; 0.234793886930864 ; 0.386666666666667 ; 
DevelopmentCodeFragment ; 0.182424699500349 ; 0.35 ;  ; 0.189400034595878 ; 0.44 ; 
UnusedPrivateField ; 0.187523572156788 ; 0 ; * ; 0.155481148345586 ; 0.76 ; 
UnusedLocalVariable ; 0.16483974842655 ; 0.773333333333333 ;  ; 0.276523899860052 ; 0.303333333333333 ; 
UnusedPrivateMethod ; 0.227208455569949 ; 0.383333333333333 ;  ; 0.195453647731902 ; 0.693333333333333 ; 
UnusedFormalParameter ; 0.182424699500349 ; 0.35 ;  ; 0.189400034595878 ; 0.44 ; 
embed.JS ; 0.361163041261224 ; 0.3 ;  ; 0.409580005289818 ; 0.143333333333333 ; 
inline.JS ; 0.290133015549153 ; 0.426666666666667 ;  ; 0.376308373995514 ; 0.11 ; 
embed.CSS ; 0.293160791166155 ; 0.48 ;  ; 0.417103205192702 ; 0.103333333333333 ; 
inline.CSS ; 0.198572023904995 ; 0.726666666666667 ;  ; 0.366281255924575 ; 0.12 ; 
css.in.JS ; 0.306636287279173 ; 0.27 ;  ; 0.225130376769056 ; 0.686666666666667 ; 
css.in.JS..jquery ; 0.293160791166155 ; 0.48 ;  ; 0.417103205192702 ; 0.103333333333333 ; 
max.lines ; 0.213998040246293 ; 0.753333333333333 ;  ; 0.144418983177719 ; 0.953333333333333 ; 
max.lines.per.function ; 0.2662599417126 ; 0.49 ;  ; 0.34099449431645 ; 0.343333333333333 ; 
max.params ; 0.194822047344098 ; 0.763333333333333 ;  ; 0.30323172413171 ; 0.383333333333333 ; 
complexity ; 0.136200810939152 ; 0.916666666666667 ;  ; 0.195660474308688 ; 0.713333333333333 ; 
max.depth ; 0.23270195340606 ; 0.00333333333333333 ; * ; 0.205240833840348 ; 0.72 ; 
max.nested.callbacks ; 0.242871357697254 ; 0 ; * ; 0.265943659726486 ; 0.533333333333333 ; 
