CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ;0.077063859;0.02; * ;0.040210472;0.87; 
NPathComplexity ;0.07457555;0.013333333; * ;0.03631596;0.906666667; 
ExcessiveMethodLength ;0.061993148;0.066666667;  ;0.038301097;0.89; 
ExcessiveClassLength ;0.064020316;0.04; * ;0.033624091;0.926666667; 
ExcessiveParameterList ;0.098885276;0.003333333; * ;0.023158792;0.96; 
ExcessivePublicCount ;0.073042363;0.016666667; * ;0.048409682;0.763333333; 
TooManyFields ;0.076008188;0; * ;0.031813526;0.916666667; 
TooManyMethods ;0.079074213;0.07;  ;0.062522404;0.563333333; 
TooManyPublicMethods ;0.080839334;0.15;  ;0.107503513;0.073333333; 
ExcessiveClassComplexity ;0.073042363;0.016666667; * ;0.048409682;0.78; 
NumberOfChildren ;0.117840298;0; * ;0.033516467;0.93; 
DepthOfInheritance ;0;0;  ;0;0; 
CouplingBetweenObjects ;0.057134858;0.513333333;  ;0.079451462;0.343333333; 
DevelopmentCodeFragment ;0.115185742;0; * ;0.065512381;0.603333333; 
UnusedPrivateField ;0.154631731;0; * ;0.041531121;0.876666667; 
UnusedLocalVariable ;0.056576422;0.273333333;  ;0.077711308;0.343333333; 
UnusedPrivateMethod ;0.085134205;0.006666667; * ;0.049874669;0.726666667; 
UnusedFormalParameter ;0.09573755;0.013333333; * ;0.063212643;0.553333333; 
embed.JS ;0.06829532;0.2;  ;0.109062999;0.086666667; 
inline.JS ;0.120287666;0.003333333; * ;0.082450078;0.296666667; 
embed.CSS ;0.130021077;0; * ;0.065496358;0.546666667; 
inline.CSS ;0.086156673;0.053333333;  ;0.050848955;0.756666667; 
css.in.JS ;0.049473833;0.593333333;  ;0.055236738;0.69; 
css.in.JS..jquery ;0.07530119;0.006666667; * ;0.086389328;0.17; 
max.lines ;0.092311258;0.016666667; * ;0.04775302;0.78; 
max.lines.per.function ;0.073530997;0.136666667;  ;0.064716063;0.55; 
max.params ;0.166207503;0; * ;0.079311776;0.313333333; 
complexity ;0.07267835;0.063333333;  ;0.055218711;0.703333333; 
max.depth ;0.081643034;0.003333333; * ;0.037220944;0.88; 
max.nested.callbacks ;0.067292728;0.013333333; * ;0.07883329;0.296666667; 
