CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.133871056851291 ; 0.11 ;  ; 0.102715558126225 ; 0.593333333333333 ; 
NPathComplexity ; 0.133871056851291 ; 0.11 ;  ; 0.102715558126225 ; 0.626666666666667 ; 
ExcessiveMethodLength ; 0.157196373280028 ; 0.03 ; * ; 0.0967054387011392 ; 0.63 ; 
ExcessiveClassLength ; 0.157196373280028 ; 0.03 ; * ; 0.0967054387011392 ; 0.63 ; 
ExcessiveParameterList ; 0.157196373280028 ; 0.0766666666666667 ;  ; 0.0906798210991214 ; 0.703333333333333 ; 
ExcessivePublicCount ; 0.110688396138734 ; 0.33 ;  ; 0.134568261406831 ; 0.243333333333333 ; 
TooManyFields ; 0.130216559302377 ; 0.0366666666666667 ; * ; 0.131313008830268 ; 0.28 ; 
TooManyMethods ; 0.163763318503614 ; 0.04 ; * ; 0.200938906667882 ; 0.03 ; *
TooManyPublicMethods ; 0.136133760439619 ; 0.176666666666667 ;  ; 0.138356848576797 ; 0.213333333333333 ; 
ExcessiveClassComplexity ; 0.133871056851291 ; 0.11 ;  ; 0.05808914710493 ; 0.93 ; 
NumberOfChildren ; 0.174056487755141 ; 0.0433333333333333 ; * ; 0.091624312800283 ; 0.64 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.144517702426852 ; 0.146666666666667 ;  ; 0.185695352796351 ; 0.0333333333333333 ; *
DevelopmentCodeFragment ; 0.234601755346178 ; 0 ; * ; 0.234488957451639 ; 0.0133333333333333 ; *
UnusedPrivateField ; 0.113720290729695 ; 0.243333333333333 ;  ; 0.0676061519029244 ; 0.876666666666667 ; 
UnusedLocalVariable ; 0.157196373280028 ; 0.0633333333333333 ;  ; 0.100556790230559 ; 0.616666666666667 ; 
UnusedPrivateMethod ; 0.107704332162426 ; 0.31 ;  ; 0.100406949943113 ; 0.603333333333333 ; 
UnusedFormalParameter ; 0.157196373280028 ; 0.0566666666666667 ;  ; 0.0636545780484202 ; 0.886666666666667 ; 
embed.JS ; 0.12693175299489 ; 0.0166666666666667 ; * ; 0.0520471788940942 ; 0.94 ; 
inline.JS ; 0.114942936363449 ; 0.153333333333333 ;  ; 0.189960082157677 ; 0.0433333333333333 ; *
embed.CSS ; 0.181470159620498 ; 0.0266666666666667 ; * ; 0.103868863512798 ; 0.563333333333333 ; 
inline.CSS ; 0.132991239493162 ; 0.02 ; * ; 0.0622183205142483 ; 0.85 ; 
css.in.JS ; 0.129464545812847 ; 0.12 ;  ; 0.0707342233910684 ; 0.866666666666667 ; 
css.in.JS..jquery ; 0.202016713753431 ; 0.0333333333333333 ; * ; 0.278290359243188 ; 0 ; *
max.lines ; 0.112182884210806 ; 0.0366666666666667 ; * ; 0.0557434853072707 ; 0.946666666666667 ; 
max.lines.per.function ; 0.14314800959052 ; 0.0766666666666667 ;  ; 0.127324889475263 ; 0.303333333333333 ; 
max.params ; 0.152002073509122 ; 0.06 ;  ; 0.193915705079191 ; 0.0533333333333333 ; 
complexity ; 0.16470800859365 ; 0.0566666666666667 ;  ; 0.191223616929457 ; 0.0466666666666667 ; *
max.depth ; 0.189986387644629 ; 0 ; * ; 0.151142012143205 ; 0.196666666666667 ; 
max.nested.callbacks ; 0.135092796736233 ; 0.266666666666667 ;  ; 0.104204994514232 ; 0.543333333333333 ; 
