CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.160971917495809 ; 0.08 ;  ; 0.111057128861629 ; 0.276666666666667 ; 
NPathComplexity ; 0.096050638921586 ; 0.336666666666667 ;  ; 0.116535236033706 ; 0.246666666666667 ; 
ExcessiveMethodLength ; 0.146684045025453 ; 0.136666666666667 ;  ; 0.130026942865029 ; 0.166666666666667 ; 
ExcessiveClassLength ; 0.0184334044954754 ; 0.616666666666667 ;  ; 0.0235879184266276 ; 0.213333333333333 ; 
ExcessiveParameterList ; 0.0998975161981537 ; 0.0866666666666667 ;  ; 0.0479592043487117 ; 0.906666666666667 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0.0215938796613277 ; 0.606666666666667 ;  ; 0.0224032715000208 ; 0.176666666666667 ; 
TooManyMethods ; 0.13517735467158 ; 0.4 ;  ; 0.207007879543347 ; 0.0133333333333333 ; *
TooManyPublicMethods ; 0.0565742129524313 ; 0.763333333333333 ;  ; 0.138868455941653 ; 0.09 ; 
ExcessiveClassComplexity ; 0.112422466608732 ; 0.253333333333333 ;  ; 0.14765062689745 ; 0.07 ; 
NumberOfChildren ; 0.147885387171367 ; 0.0866666666666667 ;  ; 0.098256243329659 ; 0.386666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.121750264380793 ; 0.35 ;  ; 0.165930804848591 ; 0.0266666666666667 ; *
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.112422466608732 ; 0.23 ;  ; 0.0735331724171281 ; 0.65 ; 
UnusedPrivateMethod ; 0.030070179569973 ; 0.506666666666667 ;  ; 0.0306179243906702 ; 0.436666666666667 ; 
UnusedFormalParameter ; 0.0908320095452364 ; 0.626666666666667 ;  ; 0.091374852444575 ; 0.443333333333333 ; 
embed.JS ; 0.0644480751873662 ; 0.563333333333333 ;  ; 0.142366611512164 ; 0.0833333333333333 ; 
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.0993620174245343 ; 0.09 ;  ; 0.0878055530380528 ; 0.533333333333333 ; 
inline.CSS ; 0.100101799048653 ; 0.126666666666667 ;  ; 0.137882664629338 ; 0.11 ; 
css.in.JS ; 0.161228271213561 ; 0.14 ;  ; 0.0841618164557036 ; 0.566666666666667 ; 
css.in.JS..jquery ; 0.129465152935947 ; 0.123333333333333 ;  ; 0.0789462491800796 ; 0.59 ; 
max.lines ; 0.137201990157302 ; 0.0966666666666667 ;  ; 0.115647505042586 ; 0.28 ; 
max.lines.per.function ; 0.0975756768203488 ; 0.276666666666667 ;  ; 0.0605381544029796 ; 0.833333333333333 ; 
max.params ; 0.244291096523918 ; 0.00333333333333333 ; * ; 0.102393031092192 ; 0.26 ; 
complexity ; 0.255591830424663 ; 0 ; * ; 0.0919859907489234 ; 0.48 ; 
max.depth ; 0.255591830424663 ; 0 ; * ; 0.0919859907489234 ; 0.48 ; 
max.nested.callbacks ; 0.111002940514784 ; 0.25 ;  ; 0.141691785487037 ; 0.146666666666667 ; 
