CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.186315393038259 ; 0.203333333333333 ;  ; 0.122626827415835 ; 0.546666666666667 ; 
NPathComplexity ; 0.186315393038259 ; 0.203333333333333 ;  ; 0.122626827415835 ; 0.546666666666667 ; 
ExcessiveMethodLength ; 0.227438925733617 ; 0.0866666666666667 ;  ; 0.10636477941966 ; 0.683333333333333 ; 
ExcessiveClassLength ; 0.196638516519912 ; 0.17 ;  ; 0.197143641375896 ; 0.146666666666667 ; 
ExcessiveParameterList ; 0.246372194422594 ; 0 ; * ; 0.0797685117067462 ; 0.83 ; 
ExcessivePublicCount ; 0.227438925733617 ; 0.0866666666666667 ;  ; 0.10636477941966 ; 0.66 ; 
TooManyFields ; 0.390173988795231 ; 0 ; * ; 0.0861635637548092 ; 0.726666666666667 ; 
TooManyMethods ; 0.227438925733617 ; 0.0633333333333333 ;  ; 0.10636477941966 ; 0.686666666666667 ; 
TooManyPublicMethods ; 0.284029025173114 ; 0.0466666666666667 ; * ; 0.138689403862817 ; 0.473333333333333 ; 
ExcessiveClassComplexity ; 0.186315393038259 ; 0.203333333333333 ;  ; 0.122626827415835 ; 0.543333333333333 ; 
NumberOfChildren ; 0.311845950951244 ; 0 ; * ; 0.0694734761148741 ; 0.846666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.308844741698107 ; 0 ; * ; 0.245320612967368 ; 0.1 ; 
DevelopmentCodeFragment ; 0.299794668672747 ; 0.00333333333333333 ; * ; 0.0861650867602603 ; 0.74 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.157909369322846 ; 0.296666666666667 ;  ; 0.0834857527086273 ; 0.8 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.152272928381559 ; 0.316666666666667 ;  ; 0.19543669721957 ; 0.19 ; 
embed.JS ; 0.284029025173114 ; 0.0133333333333333 ; * ; 0.097576697475113 ; 0.72 ; 
inline.JS ; 0.224241720371448 ; 0.0833333333333333 ;  ; 0.233194520260681 ; 0.133333333333333 ; 
embed.CSS ; 0.186315393038259 ; 0.07 ;  ; 0.097576697475113 ; 0.756666666666667 ; 
inline.CSS ; 0.284029025173114 ; 0.0133333333333333 ; * ; 0.097576697475113 ; 0.72 ; 
css.in.JS ; 0.273192994173734 ; 0 ; * ; 0.0683120261712799 ; 0.82 ; 
css.in.JS..jquery ; 0.109333979664997 ; 0 ; * ; 0.0412788837682318 ; 0.983333333333333 ; 
max.lines ; 0.174002365876833 ; 0.0833333333333333 ;  ; 0.210162913543712 ; 0.2 ; 
max.lines.per.function ; 0.0696267894964514 ; 0.293333333333333 ;  ; 0.174159175133663 ; 0.0533333333333333 ; 
max.params ; 0.0468463177571141 ; 0.57 ;  ; 0.0670549746246801 ; 0.546666666666667 ; 
complexity ; 0.0468463177571141 ; 0.57 ;  ; 0.0670549746246801 ; 0.546666666666667 ; 
max.depth ; 0.136867814192464 ; 0.206666666666667 ;  ; 0.181047821362049 ; 0.216666666666667 ; 
max.nested.callbacks ; 0.124580639265385 ; 0.3 ;  ; 0.054597021949137 ; 0.943333333333333 ; 
