CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.088020162502136 ; 0.233333333333333 ;  ; 0.0494162889162847 ; 0.953333333333333 ; 
NPathComplexity ; 0.124203288672156 ; 0.0333333333333333 ; * ; 0.0600714546127482 ; 0.91 ; 
ExcessiveMethodLength ; 0.132991239493162 ; 0.19 ;  ; 0.0538545126174001 ; 0.916666666666667 ; 
ExcessiveClassLength ; 0.137892597431306 ; 0.156666666666667 ;  ; 0.114410159432053 ; 0.44 ; 
ExcessiveParameterList ; 0.118881971888393 ; 0.316666666666667 ;  ; 0.0846111016542228 ; 0.753333333333333 ; 
ExcessivePublicCount ; 0.132991239493162 ; 0.176666666666667 ;  ; 0.0713512781863629 ; 0.83 ; 
TooManyFields ; 0.200086671181467 ; 0.0133333333333333 ; * ; 0.151795121134819 ; 0.16 ; 
TooManyMethods ; 0.168037785884317 ; 0.0366666666666667 ; * ; 0.127613946694942 ; 0.316666666666667 ; 
TooManyPublicMethods ; 0.116676858513606 ; 0.196666666666667 ;  ; 0.0965086571001292 ; 0.596666666666667 ; 
ExcessiveClassComplexity ; 0.137892597431306 ; 0.0133333333333333 ; * ; 0.106972449142683 ; 0.526666666666667 ; 
NumberOfChildren ; 0.128976501769627 ; 0.103333333333333 ;  ; 0.0763252106067616 ; 0.82 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.163763318503614 ; 0.0366666666666667 ; * ; 0.0896953462301698 ; 0.63 ; 
DevelopmentCodeFragment ; 0.18168385883366 ; 0.01 ; * ; 0.25517556387476 ; 0.00333333333333333 ; *
UnusedPrivateField ; 0.113720290729695 ; 0.243333333333333 ;  ; 0.0676061519029244 ; 0.876666666666667 ; 
UnusedLocalVariable ; 0.106697646712964 ; 0.103333333333333 ;  ; 0.0762221918807785 ; 0.823333333333333 ; 
UnusedPrivateMethod ; 0.127762424007849 ; 0.13 ;  ; 0.103584197340527 ; 0.573333333333333 ; 
UnusedFormalParameter ; 0.14368542490772 ; 0.113333333333333 ;  ; 0.168749729306126 ; 0.1 ; 
embed.JS ; 0.12693175299489 ; 0.0166666666666667 ; * ; 0.0520471788940942 ; 0.94 ; 
inline.JS ; 0.114942936363449 ; 0.153333333333333 ;  ; 0.189960082157677 ; 0.0433333333333333 ; *
embed.CSS ; 0.181470159620498 ; 0.0266666666666667 ; * ; 0.103868863512798 ; 0.563333333333333 ; 
inline.CSS ; 0.132991239493162 ; 0.02 ; * ; 0.0622183205142483 ; 0.85 ; 
css.in.JS ; 0.129464545812847 ; 0.12 ;  ; 0.0707342233910684 ; 0.866666666666667 ; 
css.in.JS..jquery ; 0.202016713753431 ; 0.0333333333333333 ; * ; 0.278290359243188 ; 0 ; *
max.lines ; 0.112182884210806 ; 0.0366666666666667 ; * ; 0.0557434853072707 ; 0.946666666666667 ; 
max.lines.per.function ; 0.14314800959052 ; 0.0766666666666667 ;  ; 0.127324889475263 ; 0.303333333333333 ; 
max.params ; 0.152002073509122 ; 0.06 ;  ; 0.193915705079191 ; 0.0533333333333333 ; 
complexity ; 0.16470800859365 ; 0.0566666666666667 ;  ; 0.191223616929457 ; 0.0466666666666667 ; *
max.depth ; 0.189986387644629 ; 0 ; * ; 0.151142012143205 ; 0.196666666666667 ; 
max.nested.callbacks ; 0.135092796736233 ; 0.266666666666667 ;  ; 0.104204994514232 ; 0.543333333333333 ; 
