CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.208912117780319 ; 0.13 ;  ; 0.173411299541008 ; 0.233333333333333 ; 
NPathComplexity ; 0.208912117780319 ; 0.13 ;  ; 0.173411299541008 ; 0.233333333333333 ; 
ExcessiveMethodLength ; 0.227679953563174 ; 0.133333333333333 ;  ; 0.186268027901756 ; 0.343333333333333 ; 
ExcessiveClassLength ; 0.208912117780319 ; 0.13 ;  ; 0.173411299541008 ; 0.233333333333333 ; 
ExcessiveParameterList ; 0.198444503685305 ; 0.00333333333333333 ; * ; 0.17444619260398 ; 0.246666666666667 ; 
ExcessivePublicCount ; 0.198444503685305 ; 0.0166666666666667 ; * ; 0.0640859925872798 ; 0.796666666666667 ; 
TooManyFields ; 0.198444503685305 ; 0.0166666666666667 ; * ; 0.0640859925872798 ; 0.796666666666667 ; 
TooManyMethods ; 0.33202303275714 ; 0.00333333333333333 ; * ; 0.182930308818048 ; 0.223333333333333 ; 
TooManyPublicMethods ; 0.105277557976547 ; 0.263333333333333 ;  ; 0.0620439598187814 ; 0.89 ; 
ExcessiveClassComplexity ; 0.102341397921119 ; 0.37 ;  ; 0.0697767397372363 ; 0.876666666666667 ; 
NumberOfChildren ; 0.116975873955608 ; 0.34 ;  ; 0.186268027901756 ; 0.283333333333333 ; 
DepthOfInheritance ; 0.257910476607807 ; 0.0766666666666667 ;  ; 0.16915612163595 ; 0.37 ; 
CouplingBetweenObjects ; 0.21770711080059 ; 0.00333333333333333 ; * ; 0.0640859925872782 ; 0.796666666666667 ; 
DevelopmentCodeFragment ; 0.223646330621388 ; 0.00333333333333333 ; * ; 0.0640859925872782 ; 0.786666666666667 ; 
UnusedPrivateField ; 0.304542632507761 ; 0 ; * ; 0.048162924950787 ; 0.826666666666667 ; 
UnusedLocalVariable ; 0.198444503685305 ; 0.00333333333333333 ; * ; 0.17444619260398 ; 0.246666666666667 ; 
UnusedPrivateMethod ; 0.366546078148901 ; 0 ; * ; 0.0551569868363703 ; 0.86 ; 
UnusedFormalParameter ; 0.21770711080059 ; 0.00333333333333333 ; * ; 0.0444483490327632 ; 0.926666666666667 ; 
embed.JS ; 0.102341397921119 ; 0.263333333333333 ;  ; 0.0833485997025666 ; 0.496666666666667 ; 
inline.JS ; 0.12604053723295 ; 0.23 ;  ; 0.0620439598187814 ; 0.896666666666667 ; 
embed.CSS ; 0.126279244841386 ; 0.143333333333333 ;  ; 0.0620439598187814 ; 0.906666666666667 ; 
inline.CSS ; 0.123021138495925 ; 0.283333333333333 ;  ; 0.0754572367904161 ; 0.79 ; 
css.in.JS ; 0.12604053723295 ; 0.18 ;  ; 0.0532489667985094 ; 0.953333333333333 ; 
css.in.JS..jquery ; 0.227679953563174 ; 0.00333333333333333 ; * ; 0.230325592030942 ; 0.0633333333333333 ; 
max.lines ; 0.105277557976547 ; 0.36 ;  ; 0.0933214424651484 ; 0.57 ; 
max.lines.per.function ; 0.126279244841386 ; 0.18 ;  ; 0.0532489667985094 ; 0.96 ; 
max.params ; 0.105277557976547 ; 0.36 ;  ; 0.0933214424651484 ; 0.553333333333333 ; 
complexity ; 0.12604053723295 ; 0.306666666666667 ;  ; 0.090539718993639 ; 0.72 ; 
max.depth ; 0.126279244841386 ; 0.26 ;  ; 0.091474633470616 ; 0.786666666666667 ; 
max.nested.callbacks ; 0.102341397921119 ; 0.293333333333333 ;  ; 0.313952508652926 ; 0.0466666666666667 ; *
