CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.218377999799758 ; 0.593333333333333 ;  ; 0.281002583558343 ; 0.253333333333333 ; 
NPathComplexity ; 0.196202676701802 ; 0.676666666666667 ;  ; 0.273915347454125 ; 0.26 ; 
ExcessiveMethodLength ; 0.195447092968454 ; 0.686666666666667 ;  ; 0.289786768773358 ; 0.173333333333333 ; 
ExcessiveClassLength ; 0.184079493767447 ; 0.723333333333333 ;  ; 0.272173128449706 ; 0.373333333333333 ; 
ExcessiveParameterList ; 0.212044865363856 ; 0.503333333333333 ;  ; 0.306319769620959 ; 0.19 ; 
ExcessivePublicCount ; 0.196758809219691 ; 0.683333333333333 ;  ; 0.264362569415307 ; 0.223333333333333 ; 
TooManyFields ; 0.164342432061065 ; 0.6 ;  ; 0.15278988287371 ; 0.833333333333333 ; 
TooManyMethods ; 0.213092705072825 ; 0.633333333333333 ;  ; 0.305210196394641 ; 0.143333333333333 ; 
TooManyPublicMethods ; 0.226063432788315 ; 0.383333333333333 ;  ; 0.182294633979165 ; 0.666666666666667 ; 
ExcessiveClassComplexity ; 0.182791715981969 ; 0.643333333333333 ;  ; 0.23564210126732 ; 0.44 ; 
NumberOfChildren ; 0.230110368060247 ; 0.106666666666667 ;  ; 0.0870635925996341 ; 0.96 ; 
DepthOfInheritance ; 0.086268048709264 ; 0.213333333333333 ;  ; 0.112922972962556 ; 0.02 ; *
CouplingBetweenObjects ; 0.232373221296364 ; 0.523333333333333 ;  ; 0.310489678804745 ; 0.183333333333333 ; 
DevelopmentCodeFragment ; 0.184347110716191 ; 0.406666666666667 ;  ; 0.212097530443033 ; 0.473333333333333 ; 
UnusedPrivateField ; 0.348398880622482 ; 0.01 ; * ; 0.132442340407683 ; 0.923333333333333 ; 
UnusedLocalVariable ; 0.270444028400859 ; 0 ; * ; 0.151713432756062 ; 0.756666666666667 ; 
UnusedPrivateMethod ; 0.23447421849528 ; 0.29 ;  ; 0.210443430888753 ; 0.51 ; 
UnusedFormalParameter ; 0.159106078879699 ; 0.496666666666667 ;  ; 0.134470884524744 ; 0.896666666666667 ; 
embed.JS ; 0.159106078879699 ; 0.496666666666667 ;  ; 0.134470884524744 ; 0.896666666666667 ; 
inline.JS ; 0.15063701554214 ; 0.656666666666667 ;  ; 0.242682202264842 ; 0.36 ; 
embed.CSS ; 0.175404225031962 ; 0.28 ;  ; 0.152446013443771 ; 0.82 ; 
inline.CSS ; 0.208929702150739 ; 0.436666666666667 ;  ; 0.251014519308088 ; 0.233333333333333 ; 
css.in.JS ; 0.151404823578158 ; 0.493333333333333 ;  ; 0.222282927213773 ; 0.593333333333333 ; 
css.in.JS..jquery ; 0.230457098001281 ; 0.606666666666667 ;  ; 0.228073625205932 ; 0.593333333333333 ; 
max.lines ; 0.195832007129085 ; 0.46 ;  ; 0.135098753370342 ; 0.78 ; 
max.lines.per.function ; 0.129983290739484 ; 0.636666666666667 ;  ; 0.118856990386905 ; 0.923333333333333 ; 
max.params ; 0.240286531207086 ; 0.343333333333333 ;  ; 0.270608612321306 ; 0.143333333333333 ; 
complexity ; 0.219248127790106 ; 0.326666666666667 ;  ; 0.176172572255058 ; 0.456666666666667 ; 
max.depth ; 0.17737662343556 ; 0.603333333333333 ;  ; 0.173506890925989 ; 0.616666666666667 ; 
max.nested.callbacks ; 0.326890943506081 ; 0.0433333333333333 ; * ; 0.239938619031606 ; 0.273333333333333 ; 
