CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.45968711892015 ; 0.0333333333333333 ; * ; 0.175792787421791 ; 0.856666666666667 ; 
NPathComplexity ; 0.45968711892015 ; 0.0333333333333333 ; * ; 0.175792787421791 ; 0.856666666666667 ; 
ExcessiveMethodLength ; 0.376211516119432 ; 0.136666666666667 ;  ; 0.181937648647386 ; 0.77 ; 
ExcessiveClassLength ; 0.346909780256418 ; 0.116666666666667 ;  ; 0.283471988110434 ; 0.273333333333333 ; 
ExcessiveParameterList ; 0.347252286864431 ; 0 ; * ; 0.0564185970442409 ; 0.993333333333333 ; 
ExcessivePublicCount ; 0.376211516119432 ; 0.136666666666667 ;  ; 0.181937648647386 ; 0.81 ; 
TooManyFields ; 0.440201387987034 ; 0 ; * ; 0.139021243536237 ; 0.763333333333333 ; 
TooManyMethods ; 0.324201693413362 ; 0.166666666666667 ;  ; 0.0904543108778797 ; 0.986666666666667 ; 
TooManyPublicMethods ; 0.300398372581082 ; 0.23 ;  ; 0.192045778839858 ; 0.82 ; 
ExcessiveClassComplexity ; 0.45968711892015 ; 0.0333333333333333 ; * ; 0.175792787421791 ; 0.84 ; 
NumberOfChildren ; 0.476172781030776 ; 0 ; * ; 0.166636391548645 ; 0.726666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.326840521472381 ; 0 ; * ; 0.297243469256044 ; 0.163333333333333 ; 
DevelopmentCodeFragment ; 0.318772189900514 ; 0 ; * ; 0.189222992984752 ; 0.63 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.295790968555894 ; 0.276666666666667 ;  ; 0.160952290373109 ; 0.836666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.262960063445852 ; 0.386666666666667 ;  ; 0.0956086409532475 ; 0.98 ; 
embed.JS ; 0.267749722376115 ; 0.133333333333333 ;  ; 0.148012771253979 ; 0.836666666666667 ; 
inline.JS ; 0.231754951236245 ; 0.433333333333333 ;  ; 0.0930599319143732 ; 0.98 ; 
embed.CSS ; 0.19761095402312 ; 0.183333333333333 ;  ; 0.0840819932785942 ; 0.99 ; 
inline.CSS ; 0.267749722376115 ; 0.133333333333333 ;  ; 0.148012771253979 ; 0.836666666666667 ; 
css.in.JS ; 0.336454129173996 ; 0 ; * ; 0.115729746239776 ; 0.85 ; 
css.in.JS..jquery ; 0.147268938728117 ; 0 ; * ; 0.163182834603918 ; 0.633333333333333 ; 
max.lines ; 0.186812579779715 ; 0.47 ;  ; 0.205191131196669 ; 0.65 ; 
max.lines.per.function ; 0.0751743042158863 ; 0.606666666666667 ;  ; 0.0483460265897667 ; 0.953333333333333 ; 
max.params ; 0.169708188952272 ; 0.22 ;  ; 0.138919391723524 ; 0.58 ; 
complexity ; 0.169708188952272 ; 0.22 ;  ; 0.138919391723524 ; 0.58 ; 
max.depth ; 0.157912632276733 ; 0.386666666666667 ;  ; 0.0552701826951099 ; 1 ; 
max.nested.callbacks ; 0.166823852625695 ; 0.27 ;  ; 0.0670732920057484 ; 0.98 ; 
