CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.18445467884728 ; 0.586666666666667 ;  ; 0.121702711221739 ; 0.663333333333333 ; 
NPathComplexity ; 0.145325469731434 ; 0.75 ;  ; 0.183449338899494 ; 0.316666666666667 ; 
ExcessiveMethodLength ; 0.161972543141853 ; 0.503333333333333 ;  ; 0.306121722778832 ; 0.03 ; *
ExcessiveClassLength ; 0.0274686709674769 ; 0.63 ;  ; 0.040652289940327 ; 0.283333333333333 ; 
ExcessiveParameterList ; 0.223642138082234 ; 0.0766666666666667 ;  ; 0.0784584950149211 ; 0.88 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0.0213619689292653 ; 0.63 ;  ; 0.094762156278285 ; 0.0466666666666667 ; *
TooManyMethods ; 0.229841026620137 ; 0.483333333333333 ;  ; 0.317863579718845 ; 0.06 ; 
TooManyPublicMethods ; 0.143570595810373 ; 0.556666666666667 ;  ; 0.241486689433017 ; 0.12 ; 
ExcessiveClassComplexity ; 0.209998576841253 ; 0.346666666666667 ;  ; 0.225920941921526 ; 0.166666666666667 ; 
NumberOfChildren ; 0.182177365749686 ; 0.38 ;  ; 0.260951629530904 ; 0.0866666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.216459890763312 ; 0.293333333333333 ;  ; 0.329039344031883 ; 0.0266666666666667 ; *
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.248125067021851 ; 0.17 ;  ; 0.204952014443773 ; 0.2 ; 
UnusedPrivateMethod ; 0.0406101516856522 ; 0.79 ;  ; 0.0391980090282345 ; 0.583333333333333 ; 
UnusedFormalParameter ; 0.244015604455663 ; 0.156666666666667 ;  ; 0.26913307618586 ; 0.0866666666666667 ; 
embed.JS ; 0.201107847423095 ; 0.42 ;  ; 0.158694084118169 ; 0.35 ; 
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.133065585362638 ; 0.42 ;  ; 0.184861438732261 ; 0.23 ; 
inline.CSS ; 0.135060968365214 ; 0.53 ;  ; 0.154273560579287 ; 0.433333333333333 ; 
css.in.JS ; 0.279008704744542 ; 0.353333333333333 ;  ; 0.40005749683664 ; 0.00666666666666667 ; *
css.in.JS..jquery ; 0.199505181722869 ; 0.09 ;  ; 0.204910158595104 ; 0.21 ; 
max.lines ; 0.185884488075205 ; 0.343333333333333 ;  ; 0.104162116915684 ; 0.793333333333333 ; 
max.lines.per.function ; 0.106681345107616 ; 0.823333333333333 ;  ; 0.0855300117441038 ; 0.866666666666667 ; 
max.params ; 0.210516437052686 ; 0.176666666666667 ;  ; 0.148006140174854 ; 0.426666666666667 ; 
complexity ; 0.253015805193998 ; 0.07 ;  ; 0.136817513001362 ; 0.553333333333333 ; 
max.depth ; 0.253015805193998 ; 0.07 ;  ; 0.136817513001362 ; 0.553333333333333 ; 
max.nested.callbacks ; 0.198571454789784 ; 0.776666666666667 ;  ; 0.181846859396665 ; 0.44 ; 
