CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.212485573978846 ; 0.0333333333333333 ; * ; 0.142476531453924 ; 0.39 ; 
NPathComplexity ; 0.194078002509406 ; 0.0466666666666667 ; * ; 0.170962523626244 ; 0.323333333333333 ; 
ExcessiveMethodLength ; 0.212485573978846 ; 0.0333333333333333 ; * ; 0.142476531453924 ; 0.39 ; 
ExcessiveClassLength ; 0.212485573978846 ; 0.0333333333333333 ; * ; 0.159426702888192 ; 0.323333333333333 ; 
ExcessiveParameterList ; 0.212485573978846 ; 0 ; * ; 0.121342531799018 ; 0.49 ; 
ExcessivePublicCount ; 0.196810592412825 ; 0.07 ;  ; 0.240725281617307 ; 0.21 ; 
TooManyFields ; 0.203870259683975 ; 0.05 ; * ; 0.158714751938954 ; 0.273333333333333 ; 
TooManyMethods ; 0.194736304588876 ; 0.0733333333333333 ;  ; 0.244304317915647 ; 0.163333333333333 ; 
TooManyPublicMethods ; 0.203870259683975 ; 0.00333333333333333 ; * ; 0.137580752284051 ; 0.366666666666667 ; 
ExcessiveClassComplexity ; 0.295628795159685 ; 0 ; * ; 0.142476531453924 ; 0.41 ; 
NumberOfChildren ; 0.145030976894321 ; 0 ; * ; 0.11421592534039 ; 0.64 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.145030976894321 ; 0 ; * ; 0.11421592534039 ; 0.64 ; 
DevelopmentCodeFragment ; 0.264825971598867 ; 0.0733333333333333 ;  ; 0.211029498614927 ; 0.223333333333333 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.203870259683975 ; 0.00666666666666667 ; * ; 0.0962943304674275 ; 0.54 ; 
UnusedPrivateMethod ; 0.0336133705135402 ; 0.32 ;  ; 0.125355377097623 ; 0.176666666666667 ; 
UnusedFormalParameter ; 0.203870259683975 ; 0.00333333333333333 ; * ; 0.137580752284051 ; 0.376666666666667 ; 
embed.JS ; 0.0772460949020613 ; 0.0466666666666667 ; * ; 0.0564035231663889 ; 0.756666666666667 ; 
inline.JS ; 0.075133355872715 ; 0.0833333333333333 ;  ; 0.0629141153946437 ; 0.763333333333333 ; 
embed.CSS ; 0.203870259683975 ; 0.00333333333333333 ; * ; 0.137580752284051 ; 0.376666666666667 ; 
inline.CSS ; 0.075133355872715 ; 0.0533333333333333 ;  ; 0.0786612074601127 ; 0.636666666666667 ; 
css.in.JS ; 0.212485573978846 ; 0 ; * ; 0.121342531799018 ; 0.473333333333333 ; 
css.in.JS..jquery ; 0.166393203442819 ; 0 ; * ; 0.202342038985212 ; 0.273333333333333 ; 
max.lines ; 0.203870259683975 ; 0.00333333333333333 ; * ; 0.137580752284051 ; 0.366666666666667 ; 
max.lines.per.function ; 0.203870259683975 ; 0.00333333333333333 ; * ; 0.137580752284051 ; 0.366666666666667 ; 
max.params ; 0.346170580671284 ; 0 ; * ; 0.167091045090564 ; 0.326666666666667 ; 
complexity ; 0.0760110851010416 ; 0.58 ;  ; 0.180149498188672 ; 0.23 ; 
max.depth ; 0.153566019014517 ; 0 ; * ; 0.0937553259712756 ; 0.713333333333333 ; 
max.nested.callbacks ; 0.153566019014517 ; 0.12 ;  ; 0.103792872441644 ; 0.703333333333333 ; 
