CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0691271795747277 ; 0.0633333333333333 ;  ; 0.0380020689232714 ; 0.93 ; 
NPathComplexity ; 0.0446694344853542 ; 0.126666666666667 ;  ; 0.0380020689232714 ; 0.923333333333333 ; 
ExcessiveMethodLength ; 0.0486531641754482 ; 0.683333333333333 ;  ; 0.0480160951191503 ; 0.84 ; 
ExcessiveClassLength ; 0.0486531641754482 ; 0.576666666666667 ;  ; 0.0663454249725119 ; 0.583333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.113778283177922 ; 0.1 ;  ; 0.072198527934161 ; 0.593333333333333 ; 
TooManyFields ; 0.0817766183487234 ; 0.333333333333333 ;  ; 0.0655364460838652 ; 0.666666666666667 ; 
TooManyMethods ; 0.0702305547372487 ; 0.396666666666667 ;  ; 0.0440523257441535 ; 0.85 ; 
TooManyPublicMethods ; 0.0728339681802603 ; 0.353333333333333 ;  ; 0.0507475337459837 ; 0.803333333333333 ; 
ExcessiveClassComplexity ; 0.0716070605899314 ; 0.0566666666666667 ;  ; 0.0380020689232714 ; 0.926666666666667 ; 
NumberOfChildren ; 0.0718473235802801 ; 0.313333333333333 ;  ; 0.109177191461272 ; 0.163333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0503343318984354 ; 0.503333333333333 ;  ; 0.044219515959911 ; 0.836666666666667 ; 
DevelopmentCodeFragment ; 0.0660412344270661 ; 0.353333333333333 ;  ; 0.0536115597723101 ; 0.793333333333333 ; 
UnusedPrivateField ; 0.102531880474743 ; 0.0566666666666667 ;  ; 0.0831390328535407 ; 0.41 ; 
UnusedLocalVariable ; 0.118730442520331 ; 0.13 ;  ; 0.116956985925848 ; 0.116666666666667 ; 
UnusedPrivateMethod ; 0.0602867323807853 ; 0.226666666666667 ;  ; 0.112645397029425 ; 0.13 ; 
UnusedFormalParameter ; 0.0769422033380967 ; 0.0533333333333333 ;  ; 0.0481323274591179 ; 0.833333333333333 ; 
embed.JS ; 0.0765936122987845 ; 0.44 ;  ; 0.0670490747090711 ; 0.636666666666667 ; 
inline.JS ; 0.0902711419454371 ; 0.0833333333333333 ;  ; 0.106330967594121 ; 0.17 ; 
embed.CSS ; 0.0498885512713482 ; 0.55 ;  ; 0.0456459711033134 ; 0.843333333333333 ; 
inline.CSS ; 0.0902711419454371 ; 0.0633333333333333 ;  ; 0.125611123647306 ; 0.0733333333333333 ; 
css.in.JS ; 0.0899584570496583 ; 0.236666666666667 ;  ; 0.0848212251019052 ; 0.343333333333333 ; 
css.in.JS..jquery ; 0.117229367261395 ; 0.0766666666666667 ;  ; 0.110501755838171 ; 0.19 ; 
max.lines ; 0.142948973075137 ; 0.0433333333333333 ; * ; 0.126773122047675 ; 0.0933333333333333 ; 
max.lines.per.function ; 0.0956097525241457 ; 0.24 ;  ; 0.109774332207238 ; 0.223333333333333 ; 
max.params ; 0.122872490314028 ; 0.0766666666666667 ;  ; 0.123476406536431 ; 0.15 ; 
complexity ; 0.0789959515518423 ; 0.203333333333333 ;  ; 0.0965256826485343 ; 0.223333333333333 ; 
max.depth ; 0.0826852448045813 ; 0.243333333333333 ;  ; 0.0417038302369582 ; 0.91 ; 
max.nested.callbacks ; 0.0864867685911715 ; 0.266666666666667 ;  ; 0.0759862322556408 ; 0.44 ; 
