CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0346637470345485 ; 0.0566666666666667 ;  ; 0.0772635733270476 ; 0.05 ; *
NPathComplexity ; 0.0447057422983792 ; 0.0133333333333333 ; * ; 0.0112291769831679 ; 0.996666666666667 ; 
ExcessiveMethodLength ; 0.0612602898452496 ; 0 ; * ; 0.025135776527004 ; 0.906666666666667 ; 
ExcessiveClassLength ; 0.0419045643697411 ; 0.0233333333333333 ; * ; 0.0732917754022914 ; 0.0666666666666667 ; 
ExcessiveParameterList ; 0.055253862802083 ; 0.00333333333333333 ; * ; 0.0410699192030793 ; 0.54 ; 
ExcessivePublicCount ; 0.0419045643697411 ; 0.0233333333333333 ; * ; 0.0367360559321047 ; 0.596666666666667 ; 
TooManyFields ; 0.0486333174590104 ; 0.01 ; * ; 0.0139151429926058 ; 0.983333333333333 ; 
TooManyMethods ; 0.0738000850091189 ; 0.00666666666666667 ; * ; 0.0595884677440426 ; 0.2 ; 
TooManyPublicMethods ; 0.110488586853406 ; 0 ; * ; 0.0632949366482921 ; 0.153333333333333 ; 
ExcessiveClassComplexity ; 0.0346637470345485 ; 0.0766666666666667 ;  ; 0.0490811534350784 ; 0.383333333333333 ; 
NumberOfChildren ; 0.129137608711133 ; 0 ; * ; 0.0222103586679726 ; 0.95 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0419045643697411 ; 0.166666666666667 ;  ; 0.0475533782361236 ; 0.463333333333333 ; 
DevelopmentCodeFragment ; 0.113992318803905 ; 0 ; * ; 0.0293959737600487 ; 0.84 ; 
UnusedPrivateField ; 0.116552264784398 ; 0 ; * ; 0.0137697590094318 ; 0.996666666666667 ; 
UnusedLocalVariable ; 0.0695370750823359 ; 0.0133333333333333 ; * ; 0.0348101059316119 ; 0.716666666666667 ; 
UnusedPrivateMethod ; 0.0421536170263534 ; 0.0233333333333333 ; * ; 0.066289944401646 ; 0.123333333333333 ; 
UnusedFormalParameter ; 0.0752935865346008 ; 0.00666666666666667 ; * ; 0.0471843461754925 ; 0.423333333333333 ; 
embed.JS ; 0.0570212519376312 ; 0.04 ; * ; 0.0791340968797593 ; 0.05 ; *
inline.JS ; 0.103257677955914 ; 0.00333333333333333 ; * ; 0.0474328386694961 ; 0.433333333333333 ; 
embed.CSS ; 0.113809931344613 ; 0 ; * ; 0.0359415037831315 ; 0.71 ; 
inline.CSS ; 0.0812611238367284 ; 0.01 ; * ; 0.0295445727749083 ; 0.836666666666667 ; 
css.in.JS ; 0.0280089426857416 ; 0.563333333333333 ;  ; 0.024935681070275 ; 0.893333333333333 ; 
css.in.JS..jquery ; 0.039926888979814 ; 0.0166666666666667 ; * ; 0.052282867861254 ; 0.31 ; 
max.lines ; 0.0521253317000265 ; 0.03 ; * ; 0.0168573246040693 ; 0.99 ; 
max.lines.per.function ; 0.0439932116492792 ; 0.14 ;  ; 0.049695900533856 ; 0.373333333333333 ; 
max.params ; 0.151844285904351 ; 0 ; * ; 0.0583282556306897 ; 0.206666666666667 ; 
complexity ; 0.0628602580931708 ; 0.0133333333333333 ; * ; 0.0221991144734267 ; 0.94 ; 
max.depth ; 0.0505116019721447 ; 0.00666666666666667 ; * ; 0.0133789993058453 ; 0.99 ; 
max.nested.callbacks ; 0.0374723643650386 ; 0.0266666666666667 ; * ; 0.0480844654630833 ; 0.44 ; 
