CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.243770193678445 ; 0.12 ;  ; 0.101796340897 ; 0.726666666666667 ; 
NPathComplexity ; 0.29886327514531 ; 0.0766666666666667 ;  ; 0.1534834186075 ; 0.34 ; 
ExcessiveMethodLength ; 0.179085557659941 ; 0.303333333333333 ;  ; 0.172215543052223 ; 0.28 ; 
ExcessiveClassLength ; 0.0928712811993495 ; 0.66 ;  ; 0.101032313349424 ; 0.583333333333333 ; 
ExcessiveParameterList ; 0.248187921064294 ; 0.116666666666667 ;  ; 0.0917332813609714 ; 0.776666666666667 ; 
ExcessivePublicCount ; 0.29886327514531 ; 0.0766666666666667 ;  ; 0.1534834186075 ; 0.34 ; 
TooManyFields ; 0.29886327514531 ; 0.0766666666666667 ;  ; 0.1534834186075 ; 0.34 ; 
TooManyMethods ; 0.248187921064294 ; 0.106666666666667 ;  ; 0.0917332813609714 ; 0.73 ; 
TooManyPublicMethods ; 0.243770193678445 ; 0.12 ;  ; 0.101796340897 ; 0.726666666666667 ; 
ExcessiveClassComplexity ; 0.13475011905875 ; 0.406666666666667 ;  ; 0.0799186004135308 ; 0.81 ; 
NumberOfChildren ; 0.0842605773748296 ; 0.623333333333333 ;  ; 0.0799186004135308 ; 0.816666666666667 ; 
DepthOfInheritance ; 0.290994816599328 ; 0.0466666666666667 ; * ; 0.0515533201909603 ; 0.963333333333333 ; 
CouplingBetweenObjects ; 0.233963128931373 ; 0.2 ;  ; 0.224270002746669 ; 0.15 ; 
DevelopmentCodeFragment ; 0.244727949152417 ; 0.113333333333333 ;  ; 0.312870947760116 ; 0.0533333333333333 ; 
UnusedPrivateField ; 0.121423750082366 ; 0.35 ;  ; 0.0395435860946789 ; 0.96 ; 
UnusedLocalVariable ; 0.248187921064294 ; 0.106666666666667 ;  ; 0.399827469499246 ; 0.00666666666666667 ; *
UnusedPrivateMethod ; 0.311185836021509 ; 0.0366666666666667 ; * ; 0.0813031212297895 ; 0.78 ; 
UnusedFormalParameter ; 0.0718715068258253 ; 0.62 ;  ; 0.0495980117825164 ; 0.953333333333333 ; 
embed.JS ; 0.335144442803425 ; 0.02 ; * ; 0.136061593647698 ; 0.413333333333333 ; 
inline.JS ; 0.335144442803425 ; 0.02 ; * ; 0.136061593647698 ; 0.413333333333333 ; 
embed.CSS ; 0.0718715068258253 ; 0.62 ;  ; 0.0495980117825164 ; 0.953333333333333 ; 
inline.CSS ; 0.320919650670503 ; 0.0633333333333333 ;  ; 0.130725282397291 ; 0.44 ; 
css.in.JS ; 0.161410034366888 ; 0.353333333333333 ;  ; 0.249183864676084 ; 0.173333333333333 ; 
css.in.JS..jquery ; 0.335144442803425 ; 0.0666666666666667 ;  ; 0.141797718066193 ; 0.41 ; 
max.lines ; 0.320597146208741 ; 0.0533333333333333 ;  ; 0.291849391117554 ; 0.05 ; *
max.lines.per.function ; 0.17121709911396 ; 0.32 ;  ; 0.244856776728689 ; 0.166666666666667 ; 
max.params ; 0.215366725318056 ; 0.216666666666667 ;  ; 0.159665928396177 ; 0.273333333333333 ; 
complexity ; 0.211906753406179 ; 0.203333333333333 ;  ; 0.265646324839232 ; 0.113333333333333 ; 
max.depth ; 0.233963128931373 ; 0.0666666666666667 ;  ; 0.170020738191408 ; 0.356666666666667 ; 
max.nested.callbacks ; 0.29886327514531 ; 0.06 ;  ; 0.1534834186075 ; 0.34 ; 
