CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0640274471752654 ; 0.586666666666667 ;  ; 0.133675572600392 ; 0.233333333333333 ; 
NPathComplexity ; 0.0640274471752654 ; 0.586666666666667 ;  ; 0.133675572600392 ; 0.233333333333333 ; 
ExcessiveMethodLength ; 0.0640274471752654 ; 0.586666666666667 ;  ; 0.133675572600392 ; 0.233333333333333 ; 
ExcessiveClassLength ; 0.0640274471752654 ; 0.566666666666667 ;  ; 0.042609545963982 ; 0.823333333333333 ; 
ExcessiveParameterList ; 0.0749387266807876 ; 0.24 ;  ; 0.100804112928027 ; 0.433333333333333 ; 
ExcessivePublicCount ; 0.0614899628563044 ; 0.356666666666667 ;  ; 0.100402941620571 ; 0.336666666666667 ; 
TooManyFields ; 0.0640274471752654 ; 0.486666666666667 ;  ; 0.0276908433628156 ; 0.93 ; 
TooManyMethods ; 0.0640274471752654 ; 0.486666666666667 ;  ; 0.0276908433628156 ; 0.93 ; 
TooManyPublicMethods ; 0.0640274471752654 ; 0.546666666666667 ;  ; 0.0276908433628156 ; 0.92 ; 
ExcessiveClassComplexity ; 0.0640274471752654 ; 0.486666666666667 ;  ; 0.121587317447562 ; 0.273333333333333 ; 
NumberOfChildren ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0640274471752654 ; 0.546666666666667 ;  ; 0.0276908433628156 ; 0.92 ; 
DevelopmentCodeFragment ; 0.0614899628563044 ; 0.356666666666667 ;  ; 0.100402941620571 ; 0.336666666666667 ; 
UnusedPrivateField ; 0.0822108646138604 ; 0 ; * ; 0.0918295834054489 ; 0.47 ; 
UnusedLocalVariable ; 0.0640274471752654 ; 0.486666666666667 ;  ; 0.121587317447562 ; 0.273333333333333 ; 
UnusedPrivateMethod ; 0.0749387266807876 ; 0.24 ;  ; 0.100804112928027 ; 0.433333333333333 ; 
UnusedFormalParameter ; 0.0614899628563044 ; 0.356666666666667 ;  ; 0.100402941620571 ; 0.336666666666667 ; 
embed.JS ; 0.0963305121377461 ; 0.396666666666667 ;  ; 0.078617184892975 ; 0.576666666666667 ; 
inline.JS ; 0.0497758099420054 ; 0.786666666666667 ;  ; 0.0724688156810127 ; 0.533333333333333 ; 
embed.CSS ; 0.0711675953989638 ; 0.523333333333333 ;  ; 0.145283851559642 ; 0.236666666666667 ; 
inline.CSS ; 0.0711675953989638 ; 0.636666666666667 ;  ; 0.0724688156810127 ; 0.51 ; 
css.in.JS ; 0.0822108646138604 ; 0.343333333333333 ;  ; 0.0487579151759443 ; 0.866666666666667 ; 
css.in.JS..jquery ; 0.0711675953989638 ; 0.523333333333333 ;  ; 0.145283851559642 ; 0.236666666666667 ; 
max.lines ; 0.178780372190628 ; 0.12 ;  ; 0.0448381015706647 ; 0.866666666666667 ; 
max.lines.per.function ; 0.107373781352643 ; 0.436666666666667 ;  ; 0.363444963721692 ; 0 ; *
max.params ; 0.141605393347454 ; 0.19 ;  ; 0.18219129152038 ; 0.1 ; 
complexity ; 0.0822108646138604 ; 0.486666666666667 ;  ; 0.042609545963982 ; 0.83 ; 
max.depth ; 0.141605393347454 ; 0.213333333333333 ;  ; 0.197676575716503 ; 0.103333333333333 ; 
max.nested.callbacks ; 0.096204973516417 ; 0 ; * ; 0.180382542370442 ; 0.19 ; 
