CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.24657113181185 ; 0.356666666666667 ;  ; 0.253868659263251 ; 0.303333333333333 ; 
NPathComplexity ; 0.24657113181185 ; 0.356666666666667 ;  ; 0.253868659263251 ; 0.303333333333333 ; 
ExcessiveMethodLength ; 0.24657113181185 ; 0.356666666666667 ;  ; 0.253868659263251 ; 0.266666666666667 ; 
ExcessiveClassLength ; 0.0346475348460028 ; 0.973333333333333 ;  ; 0.172163785901058 ; 0.6 ; 
ExcessiveParameterList ; 0.0997201821439554 ; 0.623333333333333 ;  ; 0.0396614366551896 ; 0.98 ; 
ExcessivePublicCount ; 0.00776992816393551 ; 0.976666666666667 ;  ; 0.467656435590515 ; 0.00666666666666667 ; *
TooManyFields ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
TooManyMethods ; 0.00776992816393551 ; 0.976666666666667 ;  ; 0.467656435590515 ; 0.00666666666666667 ; *
TooManyPublicMethods ; 0.0451350128061559 ; 0.88 ;  ; 0.253868659263251 ; 0.25 ; 
ExcessiveClassComplexity ; 0.24155595999782 ; 0.38 ;  ; 0.0419450622974041 ; 0.933333333333333 ; 
NumberOfChildren ; 0.0160777820347671 ; 0.906666666666667 ;  ; 0.0113079874743555 ; 0.993333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.232629972575278 ; 0.00333333333333333 ; * ; 0.232157571862744 ; 0.313333333333333 ; 
DevelopmentCodeFragment ; 0.0160777820347671 ; 0.68 ;  ; 0.0946413208076888 ; 0.786666666666667 ; 
UnusedPrivateField ; 0.0346475348460028 ; 0.95 ;  ; 0.401019017843658 ; 0.0266666666666667 ; *
UnusedLocalVariable ; 0.0451350128061559 ; 0.383333333333333 ;  ; 0.0285904385759539 ; 0.95 ; 
UnusedPrivateMethod ; 0.0250037694573087 ; 0.00666666666666667 ; * ; 0.251104245050004 ; 0.22 ; 
UnusedFormalParameter ; 0.236927366423155 ; 0.446666666666667 ;  ; 0.251104245050004 ; 0.19 ; 
embed.JS ; 0.24155595999782 ; 0.16 ;  ; 0.235498863727771 ; 0.263333333333333 ; 
inline.JS ; 0.0160777820347671 ; 0 ; * ; 0.253313410269346 ; 0.106666666666667 ; 
embed.CSS ; 0.0451350128061559 ; 0.74 ;  ; 0.0285904385759539 ; 0.933333333333333 ; 
inline.CSS ; 0.0160777820347671 ; 0.876666666666667 ;  ; 0.238664130929964 ; 0.136666666666667 ; 
css.in.JS ; 0.0566286072957723 ; 0.6 ;  ; 0.0307214528570502 ; 0.97 ; 
css.in.JS..jquery ; 0.0693428507605987 ; 0.623333333333333 ;  ; 0.0693428507605987 ; 0.89 ; 
max.lines ; 0.232629972575278 ; 0.18 ;  ; 0.0178145465415753 ; 0.963333333333333 ; 
max.lines.per.function ; 0.453479556963666 ; 0.00333333333333333 ; * ; 0.126854301268624 ; 0.766666666666667 ; 
max.params ; 0.0250037694573087 ; 0 ; * ; 0.235498863727771 ; 0.223333333333333 ; 
complexity ; 0.0346475348460028 ; 0.713333333333333 ;  ; 0.384323102257181 ; 0.00666666666666667 ; *
max.depth ; 0.24155595999782 ; 0.153333333333333 ;  ; 0.172399505291335 ; 0.403333333333333 ; 
max.nested.callbacks ; 0.370146223630333 ; 0.0833333333333333 ;  ; 0.265984597194544 ; 0.293333333333333 ; 
