CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0764026611761568 ; 0.166666666666667 ;  ; 0.0424592033420155 ; 0.973333333333333 ; 
NPathComplexity ; 0.069579923850479 ; 0.203333333333333 ;  ; 0.0477115376768831 ; 0.96 ; 
ExcessiveMethodLength ; 0.0689257787996663 ; 0.173333333333333 ;  ; 0.0520253017010513 ; 0.906666666666667 ; 
ExcessiveClassLength ; 0.0860485212907191 ; 0.05 ; * ; 0.045806201006626 ; 0.946666666666667 ; 
ExcessiveParameterList ; 0.081760778099905 ; 0.0666666666666667 ;  ; 0.0226773538659041 ; 1 ; 
ExcessivePublicCount ; 0.0478904756066588 ; 0.52 ;  ; 0.0440134291415999 ; 0.956666666666667 ; 
TooManyFields ; 0.0632469760042297 ; 0.0533333333333333 ;  ; 0.0105021665058025 ; 1 ; 
TooManyMethods ; 0.0537796130888292 ; 0.69 ;  ; 0.0504200063026424 ; 0.976666666666667 ; 
TooManyPublicMethods ; 0.109523905457921 ; 0.173333333333333 ;  ; 0.128054439834595 ; 0.216666666666667 ; 
ExcessiveClassComplexity ; 0.0478904756066588 ; 0.52 ;  ; 0.0440134291415999 ; 0.953333333333333 ; 
NumberOfChildren ; 0.200158044437752 ; 0 ; * ; 0.0652783686397284 ; 0.93 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.118640090610088 ; 0.206666666666667 ;  ; 0.112688087786107 ; 0.39 ; 
DevelopmentCodeFragment ; 0.153873660119991 ; 0 ; * ; 0.0747796463123372 ; 0.71 ; 
UnusedPrivateField ; 0.114288667108354 ; 0.00666666666666667 ; * ; 0.0682322282575483 ; 0.896666666666667 ; 
UnusedLocalVariable ; 0.096260124757314 ; 0.186666666666667 ;  ; 0.0843461995132028 ; 0.686666666666667 ; 
UnusedPrivateMethod ; 0.0708371145525295 ; 0.213333333333333 ;  ; 0.0631167245607353 ; 0.816666666666667 ; 
UnusedFormalParameter ; 0.127886749449909 ; 0.0366666666666667 ; * ; 0.0578762736015292 ; 0.896666666666667 ; 
embed.JS ; 0.123704618827309 ; 0.103333333333333 ;  ; 0.121173672017339 ; 0.263333333333333 ; 
inline.JS ; 0.215559442101529 ; 0 ; * ; 0.111604907315898 ; 0.36 ; 
embed.CSS ; 0.171770225752507 ; 0.00666666666666667 ; * ; 0.11900335131171 ; 0.316666666666667 ; 
inline.CSS ; 0.206573828433951 ; 0 ; * ; 0.101207147294361 ; 0.463333333333333 ; 
css.in.JS ; 0.0685275033821605 ; 0.67 ;  ; 0.0491381419497689 ; 0.96 ; 
css.in.JS..jquery ; 0.0530139301747209 ; 0.276666666666667 ;  ; 0.0503208729377832 ; 0.953333333333333 ; 
max.lines ; 0.0840755078213573 ; 0.203333333333333 ;  ; 0.0528802886435757 ; 0.95 ; 
max.lines.per.function ; 0.0885545325656446 ; 0.536666666666667 ;  ; 0.0676235912022421 ; 0.893333333333333 ; 
max.params ; 0.205118786335677 ; 0 ; * ; 0.11848839208261 ; 0.23 ; 
complexity ; 0.16860337622007 ; 0.00333333333333333 ; * ; 0.0718651838832124 ; 0.676666666666667 ; 
max.depth ; 0.0802251464636331 ; 0.0166666666666667 ; * ; 0.0351935621415799 ; 0.966666666666667 ; 
max.nested.callbacks ; 0.0762988077676 ; 0.0133333333333333 ; * ; 0.0611103408226521 ; 0.86 ; 
