CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.127268742410269 ; 0.38 ;  ; 0.0836259200466455 ; 0.946666666666667 ; 
NPathComplexity ; 0.0788665329066047 ; 0.59 ;  ; 0.0680090869053914 ; 0.946666666666667 ; 
ExcessiveMethodLength ; 0.133835427985903 ; 0.28 ;  ; 0.0476848897955655 ; 0.993333333333333 ; 
ExcessiveClassLength ; 0.133909986407549 ; 0.52 ;  ; 0.150880048894875 ; 0.666666666666667 ; 
ExcessiveParameterList ; 0.263711331868317 ; 0.06 ;  ; 0.161917522956215 ; 0.516666666666667 ; 
ExcessivePublicCount ; 0.108859657337289 ; 0.523333333333333 ;  ; 0.0837693247541979 ; 0.876666666666667 ; 
TooManyFields ; 0.100609429431296 ; 0.77 ;  ; 0.142277712433676 ; 0.59 ; 
TooManyMethods ; 0.115072077145949 ; 0.54 ;  ; 0.0502925867133122 ; 1 ; 
TooManyPublicMethods ; 0.0702239136186256 ; 0.506666666666667 ;  ; 0.0676068110219606 ; 0.893333333333333 ; 
ExcessiveClassComplexity ; 0.0793796709642362 ; 0.776666666666667 ;  ; 0.0912392268772834 ; 0.856666666666667 ; 
NumberOfChildren ; 0.160565274363458 ; 0.143333333333333 ;  ; 0.0600139161509123 ; 0.966666666666667 ; 
DepthOfInheritance ; 0.0525141240610317 ; 0.246666666666667 ;  ; 0.0881361151668152 ; 0.0266666666666667 ; *
CouplingBetweenObjects ; 0.21641073746082 ; 0.17 ;  ; 0.147882951580855 ; 0.626666666666667 ; 
DevelopmentCodeFragment ; 0.190113144602299 ; 0.25 ;  ; 0.142799762790092 ; 0.663333333333333 ; 
UnusedPrivateField ; 0.256770855931311 ; 0.00333333333333333 ; * ; 0.0963532103515519 ; 0.736666666666667 ; 
UnusedLocalVariable ; 0.062788491483438 ; 0.966666666666667 ;  ; 0.145505706282505 ; 0.64 ; 
UnusedPrivateMethod ; 0.17685460823186 ; 0.276666666666667 ;  ; 0.0788548329450168 ; 0.856666666666667 ; 
UnusedFormalParameter ; 0.120622990454329 ; 0.596666666666667 ;  ; 0.160714889991257 ; 0.613333333333333 ; 
embed.JS ; 0.108859657337289 ; 0.453333333333333 ;  ; 0.0630174497902558 ; 0.963333333333333 ; 
inline.JS ; 0.103174962974024 ; 0.59 ;  ; 0.135987859243876 ; 0.623333333333333 ; 
embed.CSS ; 0.120645294602269 ; 0.333333333333333 ;  ; 0.124160771910799 ; 0.7 ; 
inline.CSS ; 0.156202980020148 ; 0.383333333333333 ;  ; 0.169252383293244 ; 0.336666666666667 ; 
css.in.JS ; 0.078271024360002 ; 0.576666666666667 ;  ; 0.123940171848342 ; 0.8 ; 
css.in.JS..jquery ; 0.150454628086184 ; 0.746666666666667 ;  ; 0.146172665042807 ; 0.713333333333333 ; 
max.lines ; 0.143621521650756 ; 0.41 ;  ; 0.0622078692441506 ; 0.893333333333333 ; 
max.lines.per.function ; 0.0889290801028013 ; 0.566666666666667 ;  ; 0.04965021554554 ; 0.96 ; 
max.params ; 0.179187155397084 ; 0.343333333333333 ;  ; 0.185366879840726 ; 0.236666666666667 ; 
complexity ; 0.173111689120413 ; 0.236666666666667 ;  ; 0.12074720715377 ; 0.483333333333333 ; 
max.depth ; 0.132278338262798 ; 0.52 ;  ; 0.119475990245214 ; 0.6 ; 
max.nested.callbacks ; 0.252359814156471 ; 0.0533333333333333 ;  ; 0.161117385858337 ; 0.376666666666667 ; 
