1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig
3;CyclomaticComplexity ; 0.51 ;   *; 0.36 ; ; -0.02 ; ; -0.63 ;   *; 0.16 ; ; -0.72 ;   *; 0.57 ;   *; 0.72 ;   *; -0.82 ;   *; -0.25 ; 
4;NPathComplexity ; 0.51 ;   *; 0.4 ; ; -0.08 ; ; -0.55 ;   *; 0.11 ; ; -0.51 ;   *; 0.61 ;   *; 0.74 ;   *; -0.14 ; ; -0.42 ;   *
5;ExcessiveMethodLength ; 0.5 ;   *; 0.4 ; ; -0.02 ; ; -0.58 ;   *; 0.17 ; ; -0.13 ; ; 0.54 ;   *; 0.73 ;   *; -0.15 ; ; 0.32 ;   *
6;ExcessiveClassLength ; 0.21 ;   *; 0.38 ; ; -0.41 ; ; -0.75 ;   *; 0.3 ;   *; 0.45 ;   *; 0.15 ; ; 0.66 ;   *; -0.14 ; ; -0.01 ; 
7;ExcessiveParameterList ; 0.57 ;   *; -0.4 ; ; 0.3 ; ; 0.13 ; ; 0.46 ;   *; 0 ; ; 0.71 ;   *; 0.1 ; ; 0.05 ; ; -0.15 ; 
8;ExcessivePublicCount ; 0.36 ;   *; 0.05 ; ; -0.32 ; ; -0.5 ;   *; 0.23 ; ; 0.48 ;   *; -0.7 ;   *; 0.51 ;   *; 0.08 ; ; 0 ; 
9;TooManyFields ; 0.35 ;   *; 0.11 ; ; 1 ; ; -0.61 ;   *; 0.23 ; ; 0.49 ;   *; -0.27 ;   *; 0.69 ;   *; -0.1 ; ; -0.08 ; 
10;TooManyMethods ; 0.25 ;   *; 0.28 ; ; -0.36 ; ; -0.6 ;   *; 0.24 ; ; 0.33 ; ; -0.54 ;   *; 0.69 ;   *; -0.89 ;   *; 0.23 ; 
11;TooManyPublicMethods ; 0.2 ;   *; 0.31 ; ; 0.32 ; ; -0.7 ;   *; 0.19 ; ; -0.66 ;   *; -0.39 ;   *; 0.73 ;   *; -0.84 ;   *; 0.12 ; 
