CS; cor_ts; p; sig
CyclomaticComplexity ; 0.13 ; 0.61924 ; 
NPathComplexity ; 0.18 ; 0.51254 ; 
ExcessiveMethodLength ; 0.16 ; 0.56173 ; 
ExcessiveClassLength ; 0.23 ; 0.38664 ; 
ExcessiveParameterList ; -0.48 ; 0.05766 ; 
ExcessivePublicCount ; -0.48 ; 0.06064 ; 
TooManyFields ; -0.07 ; 0.79133 ; 
TooManyMethods ; -0.15 ; 0.57285 ; 
TooManyPublicMethods ; 0.07 ; 0.78313 ; 
ExcessiveClassComplexity ; 0.28 ; 0.30146 ; 
NumberOfChildren ; 0.11 ; 0.68815 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; 0.24 ; 0.36126 ; 
DevelopmentCodeFragment ; 0.07 ; 0.79313 ; 
UnusedPrivateField ; 0 ;  ; 
UnusedLocalVariable ; -0.74 ; 0.00099 ;   *
UnusedPrivateMethod ; 0 ;  ; 
UnusedFormalParameter ; -0.09 ; 0.74431 ; 
embed.JS ; -0.64 ; 0.00734 ;   *
inline.JS ; -0.27 ; 0.31351 ; 
embed.CSS ; -0.3 ; 0.26488 ; 
inline.CSS ; -0.55 ; 0.02818 ;   *
css.in.JS ; -0.68 ; 0.00385 ;   *
css.in.JS..jquery ; 0.09 ; 0.74381 ; 
max.lines ; -0.33 ; 0.21626 ; 
max.lines.per.function ; 0.61 ; 0.01147 ;   *
max.params ; 0.29 ; 0.27588 ; 
complexity ; 0.58 ; 0.01787 ;   *
max.depth ; 0.21 ; 0.43079 ; 
max.nested.callbacks ; 0.58 ; 0.01933 ;   *
