CS; cor_ts; p; sig
CyclomaticComplexity ; -0.28 ; 0.06354 ; 
NPathComplexity ; -0.43 ; 0.00309 ;   *
ExcessiveMethodLength ; 0.29 ; 0.05343 ; 
ExcessiveClassLength ; 0.02 ; 0.8838 ; 
ExcessiveParameterList ; -0.14 ; 0.37218 ; 
ExcessivePublicCount ; 0 ;  ; 
TooManyFields ; -0.16 ; 0.29103 ; 
TooManyMethods ; 0.27 ; 0.07358 ; 
TooManyPublicMethods ; 0.05 ; 0.76101 ; 
ExcessiveClassComplexity ; -0.23 ; 0.12822 ; 
NumberOfChildren ; -0.15 ; 0.32514 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; -0.14 ; 0.35775 ; 
DevelopmentCodeFragment ; 0 ;  ; 
UnusedPrivateField ; 0 ;  ; 
UnusedLocalVariable ; -0.16 ; 0.28421 ; 
UnusedPrivateMethod ; 0.32 ; 0.03018 ;   *
UnusedFormalParameter ; -0.33 ; 0.02693 ;   *
embed.JS ; -0.52 ; 0.00023 ;   *
inline.JS ; 0 ;  ; 
embed.CSS ; -0.43 ; 0.00331 ;   *
inline.CSS ; -0.38 ; 0.01067 ;   *
css.in.JS ; -0.04 ; 0.78497 ; 
css.in.JS..jquery ; 0.72 ; 0 ;   *
max.lines ; -0.33 ; 0.02915 ;   *
max.lines.per.function ; 0.12 ; 0.43161 ; 
max.params ; -0.38 ; 0.01036 ;   *
complexity ; -0.37 ; 0.01186 ;   *
max.depth ; -0.38 ; 0.01077 ;   *
max.nested.callbacks ; -0.38 ; 0.01004 ;   *
