CS; cor_ts; p; sig
CyclomaticComplexity ; 0.3 ; 0.00426 ;   *
NPathComplexity ; 0.31 ; 0.003 ;   *
ExcessiveMethodLength ; 0.38 ; 0.00021 ;   *
ExcessiveClassLength ; 0.07 ; 0.51063 ; 
ExcessiveParameterList ; 0.55 ; 0 ;   *
ExcessivePublicCount ; 0.15 ; 0.14918 ; 
TooManyFields ; 0.13 ; 0.22486 ; 
TooManyMethods ; 0.07 ; 0.53909 ; 
TooManyPublicMethods ; 0.06 ; 0.6051 ; 
ExcessiveClassComplexity ; 0.13 ; 0.22752 ; 
NumberOfChildren ; 0.12 ; 0.24106 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; -0.18 ; 0.09281 ; 
DevelopmentCodeFragment ; 0.28 ; 0.00734 ;   *
UnusedPrivateField ; -0.16 ; 0.14378 ; 
UnusedLocalVariable ; -0.19 ; 0.06773 ; 
UnusedPrivateMethod ; 0.36 ; 0.00043 ;   *
UnusedFormalParameter ; -0.34 ; 0.00093 ;   *
embed.JS ; -0.46 ; 1e-05 ;   *
inline.JS ; -0.42 ; 4e-05 ;   *
embed.CSS ; -0.3 ; 0.0044 ;   *
inline.CSS ; -0.09 ; 0.39349 ; 
css.in.JS ; 0.2 ; 0.06349 ; 
css.in.JS..jquery ; 0.29 ; 0.0055 ;   *
max.lines ; -0.21 ; 0.04511 ;   *
max.lines.per.function ; 0.06 ; 0.54323 ; 
max.params ; 0.32 ; 0.00208 ;   *
complexity ; 0.32 ; 0.0022 ;   *
max.depth ; 0.36 ; 5e-04 ;   *
max.nested.callbacks ; 0.25 ; 0.01635 ;   *
