CS; cor_ts; p; sig
CyclomaticComplexity ; 0.71 ; 0.01466 ;   *
NPathComplexity ; 0.74 ; 0.00912 ;   *
ExcessiveMethodLength ; 0.72 ; 0.01167 ;   *
ExcessiveClassLength ; 0.81 ; 0.00239 ;   *
ExcessiveParameterList ; 0.03 ; 0.92417 ; 
ExcessivePublicCount ; 0.46 ; 0.1525 ; 
TooManyFields ; 0.67 ; 0.02389 ;   *
TooManyMethods ; 0.8 ; 0.0028 ;   *
TooManyPublicMethods ; 0.74 ; 0.00854 ;   *
ExcessiveClassComplexity ; 0.75 ; 0.00758 ;   *
NumberOfChildren ; 1 ;  all cs=1 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; 0.89 ; 0.00022 ;   *
DevelopmentCodeFragment ; 0.6 ; 0.05337 ; 
UnusedPrivateField ; -0.05 ; 0.89488 ; 
UnusedLocalVariable ; 0.57 ; 0.06904 ; 
UnusedPrivateMethod ; 0.03 ; 0.92417 ; 
UnusedFormalParameter ; 0.63 ; 0.03974 ;   *
embed.JS ; 0.42 ; 0.1956 ; 
inline.JS ; 0.52 ; 0.09745 ; 
embed.CSS ; 0.44 ; 0.17956 ; 
inline.CSS ; 0.43 ; 0.18812 ; 
css.in.JS ; -0.03 ; 0.92423 ; 
css.in.JS..jquery ; 0.32 ; 0.33828 ; 
max.lines ; 0.52 ; 0.1001 ; 
max.lines.per.function ; 0.52 ; 0.0978 ; 
max.params ; -0.48 ; 0.13331 ; 
complexity ; -0.61 ; 0.04467 ;   *
max.depth ; -0.27 ; 0.42264 ; 
max.nested.callbacks ; -0.65 ; 0.03051 ;   *
